time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,05,00,00,00
1,02,00,00,00
2,00,00,00,00
3,00,00,00,00
4,13,00,00,00
5,22,00,00,00
6,29,00,00,00
7,35,00,00,00
8,38,00,00,00
9,41,00,00,00
10,44,00,00,00
11,45,00,00,00
12,47,00,00,00
13,45,00,00,00
14,36,00,00,00
15,28,00,00,00
16,24,00,00,00
17,22,00,00,00
18,19,00,00,00
19,19,00,00,00
20,21,00,00,00
21,24,00,00,00
22,22,00,00,00
23,22,00,00,00
24,17,00,00,00
25,13,00,00,00
26,08,00,00,00
27,08,00,00,00
28,18,00,00,00
29,25,23,35,00
30,30,24,33,00
31,34,25,30,00
32,40,26,27,00
33,43,28,23,00
34,44,29,23,00
35,44,29,25,00
36,45,30,27,00
37,44,30,28,00
38,39,30,28,00
39,37,30,28,00
40,33,30,26,00
41,32,29,25,00
42,30,29,22,00
43,30,28,20,00
44,29,28,20,00
45,31,28,20,00
46,30,28,19,00
47,31,29,19,00
48,30,29,18,00
49,29,29,17,00
50,29,30,17,00
51,29,30,16,00
52,32,30,16,00
53,36,31,15,00
54,38,31,14,00
55,41,32,11,00
56,48,34,07,00
57,52,35,03,00
58,54,36,03,00
59,56,37,05,00
60,58,38,09,00
61,55,39,12,00
62,52,39,13,00
63,46,40,14,00
64,44,39,13,00
65,40,39,13,00
66,35,39,13,00
67,33,39,13,00
68,29,38,14,00
69,26,38,15,00
70,25,38,16,00
71,21,37,19,00
72,20,37,20,00
73,20,37,22,00
74,20,36,24,00
75,19,36,26,00
76,27,36,26,00
77,41,36,26,00
78,55,37,29,00
79,66,38,34,00
80,77,40,42,00
81,85,42,52,00
82,92,44,64,00
83,94,46,74,00
84,94,47,82,00
85,90,49,89,00
86,81,50,92,00
87,68,51,93,00
88,58,51,94,00
89,52,51,93,00
90,46,50,93,00
91,42,50,93,00
92,38,49,94,00
93,35,49,95,00
94,34,49,95,00
95,41,49,95,00
96,33,49,95,00
97,32,49,96,00
98,31,49,95,00
99,36,49,94,00
100,53,50,92,00
101,74,52,91,00
102,81,54,90,00
103,85,56,89,00
104,91,58,88,00
105,96,61,87,00
106,98,63,87,00
107,99,65,90,00
108,99,67,93,00
109,96,68,96,00
110,87,68,97,00
111,77,68,97,00
112,69,67,95,00
113,60,66,92,00
114,54,65,90,00
115,49,63,88,00
116,45,62,88,00
117,41,61,89,00
118,38,60,91,00
119,34,60,93,00
120,31,59,96,00
121,31,59,97,00
122,30,59,99,00
123,33,59,99,00
124,44,59,98,00
125,59,60,96,00
126,70,61,94,00
127,77,62,92,00
128,81,64,89,00
129,86,66,88,00
130,86,67,89,00
131,87,67,90,00
132,85,67,90,00
133,81,67,90,00
134,73,67,88,00
135,62,65,84,00
136,56,64,80,00
137,49,62,76,00
138,44,60,71,00
139,39,59,67,00
140,36,57,65,00
141,31,55,66,00
142,28,54,68,00
143,24,53,72,00
144,22,52,76,00
145,20,51,80,00
146,19,50,84,00
147,20,49,87,00
148,30,49,88,00
149,38,49,87,00
150,49,50,86,00
151,57,51,85,00
152,66,52,84,00
153,72,53,84,00
154,76,54,86,00
155,78,55,88,00
156,77,55,89,00
157,73,55,88,00
158,65,54,86,00
159,56,53,82,00
160,50,52,77,00
161,45,51,72,00
162,41,49,67,00
163,37,48,63,00
164,34,46,60,00
165,30,45,60,00
166,26,44,61,00
167,23,44,63,00
168,21,43,65,00
169,23,42,67,00
170,21,42,69,00
171,22,41,70,00
172,24,41,71,00
173,29,41,70,00
174,40,42,68,00
175,55,43,67,00
176,63,45,66,00
177,68,46,65,00
178,75,48,67,00
179,78,49,70,00
180,76,50,73,00
181,75,51,76,00
182,68,51,76,00
183,58,50,74,00
184,51,49,72,00
185,44,48,68,00
186,41,47,64,00
187,37,46,62,00
188,34,45,60,00
189,33,44,60,00
190,30,43,61,00
191,28,43,62,00
192,26,42,63,00
193,24,42,65,00
194,23,42,66,00
195,24,41,67,00
196,31,42,66,00
197,39,42,65,00
198,47,43,63,00
199,57,44,62,00
200,69,46,62,00
201,74,47,63,00
202,80,49,64,00
203,81,51,67,00
204,80,52,70,00
205,75,53,72,00
206,68,53,73,00
207,59,53,72,00
208,52,52,69,00
209,47,51,66,00
210,42,50,64,00
211,37,49,61,00
212,33,47,60,00
213,31,47,61,00
214,29,46,62,00
215,28,45,64,00
216,25,45,66,00
217,23,44,67,00
218,26,44,68,00
219,29,44,69,00
220,30,44,69,00
221,33,44,68,00
222,35,44,67,00
223,44,45,65,00
224,54,46,63,00
225,62,47,62,00
226,68,49,62,00
227,69,50,64,00
228,72,50,66,00
229,74,51,68,00
230,76,51,70,00
231,77,51,70,00
232,77,51,69,00
233,78,51,69,00
234,78,51,68,00
235,78,51,68,00
236,78,51,70,00
237,77,52,73,00
238,76,53,75,00
239,77,54,77,00
240,76,55,79,00
241,76,56,79,00
242,75,58,78,00
243,74,59,76,00
244,74,61,73,00
245,72,62,68,00
246,71,64,62,00
247,70,65,54,00
248,67,67,46,00
249,65,68,37,00
250,62,69,27,00
251,59,70,17,00
252,60,71,06,00
253,57,71,00,00
254,51,71,01,00
255,46,70,07,00
256,41,69,15,00
257,36,68,24,00
258,32,67,33,00
259,31,66,41,00
260,29,64,47,00
261,28,62,53,00
262,23,61,59,00
263,17,59,66,00
264,15,56,72,00
265,18,54,76,00
266,30,53,76,00
267,40,52,74,00
268,43,51,72,00
269,49,50,69,00
270,57,49,66,00
271,62,49,64,00
272,68,48,62,00
273,73,48,62,00
274,74,48,62,00
275,75,48,62,00
276,77,49,64,00
277,75,49,65,00
278,73,49,66,00
279,66,49,66,00
280,54,49,65,00
281,46,48,65,00
282,37,47,64,00
283,31,47,65,00
284,30,46,66,00
285,26,45,68,00
286,23,45,70,00
287,20,44,72,00
288,19,44,75,00
289,21,43,76,00
290,25,43,77,00
291,30,43,76,00
292,45,44,75,00
293,61,45,73,00
294,70,47,71,00
295,76,49,70,00
296,83,51,73,00
297,86,52,77,00
298,88,54,82,00
299,91,55,87,00
