time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,51,00,00,01
1,51,00,00,01
2,51,00,00,01
3,52,00,00,01
4,52,00,00,01
5,51,00,00,01
6,50,00,00,01
7,50,00,00,01
8,51,00,00,01
9,51,00,00,01
10,51,00,00,01
11,51,00,00,01
12,51,00,00,01
13,51,00,00,01
14,51,00,00,01
15,50,00,00,01
16,50,00,00,01
17,51,00,00,01
18,49,00,00,01
19,49,00,00,01
20,49,00,00,01
21,50,00,00,01
22,50,00,00,01
23,50,00,00,01
24,50,00,00,01
25,50,00,00,01
26,50,00,00,01
27,49,00,00,01
28,50,00,00,01
29,50,50,00,01
30,49,50,01,01
31,49,50,01,01
32,49,50,01,01
33,49,50,00,01
34,49,50,00,01
35,50,50,00,01
36,51,50,00,00
37,51,50,00,00
38,50,50,00,00
39,51,50,00,00
40,48,50,01,00
41,48,50,01,00
42,48,50,01,00
43,49,50,01,00
44,50,50,01,00
45,49,50,01,00
46,49,50,01,00
47,49,49,01,00
48,49,49,01,00
49,49,49,01,00
50,48,49,01,00
51,48,49,01,00
52,49,49,01,00
53,49,49,01,00
54,49,49,01,00
55,48,49,01,00
56,45,49,03,00
57,46,49,04,00
58,44,49,05,00
59,40,48,09,00
60,38,48,12,00
61,39,48,15,00
62,38,47,17,00
63,30,47,23,00
64,22,46,32,00
65,11,45,46,00
66,05,43,59,00
67,04,41,69,00
68,00,40,79,00
69,18,39,81,00
70,41,38,81,00
71,50,38,81,00
72,53,39,82,00
73,54,39,82,00
74,54,39,83,00
75,55,39,84,00
76,56,39,85,00
77,56,40,86,00
78,54,40,87,00
79,55,40,88,00
80,55,40,89,00
81,56,40,90,00
82,58,41,91,00
83,58,41,92,00
84,57,41,93,00
85,57,42,94,00
86,56,42,95,00
87,56,42,96,00
88,56,43,97,00
89,56,43,97,00
90,56,44,98,00
91,56,44,99,00
92,56,45,99,00
93,55,46,98,00
94,55,47,96,00
95,56,48,89,00
96,56,50,78,00
97,57,52,63,00
98,57,54,37,00
99,56,55,14,00
100,57,56,05,00
101,58,56,03,00
102,58,56,02,00
103,56,56,02,00
104,56,56,02,00
105,57,56,02,00
106,58,56,02,00
107,58,56,02,00
108,58,56,02,00
109,59,57,02,00
110,59,57,03,00
111,59,57,03,00
112,59,57,03,00
113,60,57,04,00
114,58,57,04,00
115,58,57,04,00
116,57,57,04,00
117,56,57,04,00
118,55,57,04,00
119,55,57,04,00
120,55,57,04,00
121,54,57,05,00
122,52,57,06,00
123,51,57,08,00
124,49,56,10,00
125,48,56,12,00
126,48,56,14,00
127,48,56,16,00
128,47,55,18,00
129,46,55,19,00
130,46,55,21,00
131,45,54,22,00
132,44,54,24,00
133,44,53,26,00
134,44,53,27,00
135,44,53,28,00
136,46,52,28,00
