time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,10,00,00,01
1,11,00,00,01
2,11,00,00,01
3,10,00,00,00
4,09,00,00,00
5,10,00,00,00
6,10,00,00,00
7,10,00,00,00
8,10,00,00,00
9,09,00,00,00
10,08,00,00,00
11,10,00,00,00
12,10,00,00,00
13,09,00,00,00
14,10,00,00,00
15,11,00,00,00
16,10,00,00,00
17,10,00,00,00
18,09,00,00,00
19,09,00,00,00
20,09,00,00,00
21,09,00,00,00
22,11,00,00,00
23,12,00,00,00
24,13,00,00,00
25,12,00,00,00
26,12,00,00,00
27,12,00,00,00
28,11,00,00,00
29,11,10,00,00
30,11,10,00,00
31,10,10,00,00
32,10,10,00,00
33,10,10,00,00
34,09,10,00,00
35,10,10,00,00
36,10,10,00,00
37,10,10,00,00
38,10,10,00,00
39,10,10,00,00
40,10,10,00,00
41,11,10,00,00
42,12,10,00,00
43,13,11,00,00
44,14,11,01,00
45,14,11,01,00
46,14,11,01,00
47,14,11,02,00
48,15,11,02,00
49,14,11,02,00
50,14,12,02,00
51,14,12,02,00
52,13,12,02,00
53,13,12,02,00
54,13,12,02,00
55,14,12,02,00
56,14,12,02,00
57,17,12,03,00
58,19,12,04,00
59,20,13,05,00
60,23,13,07,00
61,25,14,09,00
62,27,14,11,00
63,30,15,13,00
64,34,16,17,00
65,36,17,20,00
66,40,18,23,00
67,43,19,26,00
68,46,20,30,00
69,49,21,34,00
70,53,23,37,00
71,56,24,41,00
72,60,26,45,00
73,62,27,49,00
74,65,29,53,00
75,66,31,56,00
76,70,33,60,00
77,74,35,63,00
78,75,37,66,00
79,78,39,69,00
80,81,41,71,00
81,83,43,73,00
82,85,46,75,00
83,87,48,76,00
84,89,51,76,00
85,91,53,76,00
86,91,56,76,00
87,91,58,75,00
88,92,61,73,00
89,91,63,71,00
90,91,65,69,00
91,90,68,66,00
92,88,70,62,00
93,86,71,58,00
94,84,73,54,00
95,83,75,50,00
96,80,76,46,00
97,78,77,41,00
98,75,78,37,00
99,71,79,33,00
100,70,79,30,00
101,67,80,28,00
102,64,80,27,00
103,61,80,28,00
104,58,80,29,00
105,55,79,31,00
106,52,79,34,00
107,49,78,38,00
108,45,77,42,00
109,42,76,47,00
110,39,74,51,00
111,36,73,55,00
112,33,71,59,00
113,29,69,63,00
114,26,67,66,00
115,22,65,69,00
116,20,62,72,00
117,17,60,74,00
118,15,57,76,00
119,15,55,77,00
120,15,52,77,00
121,13,50,77,00
122,12,47,77,00
123,12,45,76,00
124,12,42,74,00
125,12,40,72,00
126,15,38,69,00
127,15,36,66,00
128,16,34,63,00
129,17,32,60,00
130,20,30,56,00
131,22,29,52,00
132,25,27,47,00
133,28,26,43,00
134,30,25,39,00
135,33,25,35,00
136,36,24,32,00
137,38,24,30,00
138,42,24,29,00
139,45,24,30,00
140,47,24,31,00
141,49,24,33,00
142,51,25,36,00
143,53,26,39,00
144,53,27,42,00
145,52,28,45,00
146,51,29,46,00
147,51,30,47,00
148,50,31,48,00
149,49,32,48,00
150,48,33,48,00
151,45,34,47,00
152,44,35,45,00
153,41,36,43,00
154,38,37,41,00
155,35,38,38,00
156,33,39,36,00
157,30,39,33,00
158,27,39,31,00
159,24,40,30,00
160,21,40,30,00
161,19,40,30,00
162,15,39,32,00
163,14,39,35,00
164,12,38,38,00
165,10,37,41,00
166,08,36,44,00
167,07,35,47,00
168,05,34,50,00
169,05,33,52,00
170,06,32,54,00
171,05,30,55,00
172,06,29,55,00
173,07,27,54,00
174,08,26,53,00
175,11,24,51,00
176,14,23,49,00
177,15,22,47,00
178,18,21,44,00
179,23,20,41,00
180,27,19,37,00
181,31,19,35,00
182,35,18,33,00
183,39,18,33,00
184,45,18,34,00
185,49,19,37,00
186,52,20,41,00
187,57,20,45,00
188,60,22,51,00
189,65,23,56,00
190,68,24,62,00
191,72,26,67,00
192,77,28,73,00
193,80,30,78,00
194,83,33,83,00
195,86,35,87,00
196,89,38,91,00
197,93,41,94,00
198,95,44,96,00
199,96,47,98,00
200,97,50,99,00
201,98,53,99,00
202,99,56,98,00
203,98,59,97,00
204,99,62,94,00
205,99,65,91,00
206,98,68,88,00
207,96,71,83,00
208,94,73,78,00
209,93,76,73,00
210,91,78,68,00
211,90,80,62,00
212,88,82,56,00
213,86,83,51,00
214,83,84,45,00
215,81,85,40,00
216,78,86,36,00
217,76,87,32,00
218,72,87,29,00
219,69,88,28,00
220,66,87,29,00
221,62,87,31,00
222,59,87,34,00
223,56,86,38,00
224,52,85,42,00
225,51,84,47,00
226,46,82,51,00
227,42,80,56,00
228,39,79,60,00
229,35,76,64,00
230,31,74,67,00
231,28,72,71,00
232,26,69,74,00
233,23,67,76,00
234,20,64,78,00
235,18,62,80,00
236,16,59,81,00
237,15,56,82,00
238,14,54,82,00
239,14,51,81,00
240,14,48,81,00
241,15,46,79,00
242,16,43,77,00
243,16,41,74,00
244,17,39,71,00
245,20,37,67,00
246,23,35,63,00
247,25,33,58,00
248,28,32,54,00
249,30,31,49,00
250,33,29,44,00
251,36,29,40,00
252,38,28,36,00
253,39,27,33,00
254,42,27,31,00
255,44,27,30,00
256,45,27,30,00
257,46,27,30,00
258,46,27,32,00
259,46,27,33,00
260,44,28,34,00
261,44,28,35,00
262,40,29,36,00
263,40,29,36,00
264,37,30,36,00
265,35,31,36,00
266,32,31,35,00
267,29,32,33,00
268,26,32,32,00
269,23,32,31,00
270,21,32,30,00
271,19,33,29,00
272,17,33,29,00
273,00,32,33,00
274,00,32,37,00
275,00,31,40,00
276,01,30,43,00
277,02,29,46,00
278,03,29,48,00
279,05,28,50,00
280,07,27,51,00
281,09,26,52,00
282,11,25,52,00
283,12,24,52,00
284,14,23,51,00
285,16,22,50,00
286,19,21,48,00
287,22,21,46,00
288,25,20,44,00
289,28,19,41,00
290,33,19,40,00
291,36,19,38,00
292,39,19,38,00
293,42,19,39,00
294,46,19,40,00
295,51,20,43,00
296,54,20,47,00
297,59,21,52,00
298,63,23,57,00
299,66,24,62,00
