time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,74,00,00,00
1,75,00,00,00
2,75,00,00,00
3,76,00,00,00
4,76,00,00,00
5,76,00,00,00
6,75,00,00,00
7,75,00,00,00
8,74,00,00,00
9,74,00,00,00
10,75,00,00,00
11,76,00,00,00
12,77,00,00,00
13,80,00,00,00
14,81,00,00,00
15,82,00,00,00
16,84,00,00,00
17,86,00,00,00
18,88,00,00,00
19,89,00,00,00
20,93,00,00,00
21,95,00,00,00
22,95,00,00,00
23,96,00,00,00
24,98,00,00,00
25,99,00,00,00
26,99,00,00,00
27,97,00,00,00
28,96,00,00,00
29,95,84,26,00
30,94,85,26,00
31,92,86,26,00
32,92,86,25,00
33,91,87,24,00
34,90,87,23,00
35,87,87,22,00
36,85,88,21,00
37,81,88,20,00
38,79,88,19,00
39,76,88,18,00
40,71,88,19,00
41,64,88,23,00
42,57,87,29,00
43,50,86,38,00
44,46,85,46,00
45,45,84,54,00
46,46,82,60,00
47,47,81,65,00
48,48,80,69,00
49,50,78,72,00
50,51,77,74,00
51,53,76,74,00
52,54,74,74,00
53,56,73,74,00
54,58,72,72,00
55,59,70,70,00
56,58,69,67,00
57,59,68,64,00
58,59,66,61,00
59,58,65,57,00
60,58,64,53,00
61,56,63,50,00
62,55,62,45,00
63,53,60,41,00
64,50,59,36,00
65,48,58,31,00
66,46,56,26,00
67,45,55,22,00
68,43,54,18,00
69,41,53,14,00
70,40,52,12,00
71,37,51,12,00
72,36,50,14,00
73,36,50,16,00
74,35,49,18,00
75,35,49,20,00
76,36,49,21,00
77,36,48,22,00
78,37,48,24,00
79,38,48,24,00
80,38,47,25,00
81,39,47,25,00
82,39,46,25,00
83,39,46,25,00
84,39,45,24,00
85,39,44,22,00
86,39,44,21,00
87,38,43,19,00
88,38,42,16,00
89,37,42,14,00
90,36,41,11,00
91,34,40,08,00
92,34,39,05,00
93,32,39,03,00
94,31,38,01,00
95,30,37,00,00
96,28,37,00,00
97,27,36,00,00
98,27,36,01,00
99,27,35,02,00
100,26,35,03,00
101,26,34,04,00
102,25,34,06,00
103,24,34,07,00
104,24,33,08,00
105,23,33,10,00
106,22,32,11,00
107,22,32,12,00
108,22,31,13,00
109,22,31,13,00
110,21,30,14,00
111,20,30,14,00
112,21,29,14,00
113,20,28,13,00
114,18,28,13,00
115,18,27,13,00
116,18,26,12,00
117,17,26,11,00
118,15,25,10,00
119,15,24,09,00
120,16,24,08,00
121,15,23,07,00
122,14,22,07,00
123,14,22,06,00
124,14,21,05,00
125,15,21,04,00
126,15,20,04,00
127,14,20,03,00
128,13,19,03,00
129,11,19,03,00
130,09,18,04,00
131,09,18,04,00
132,07,17,04,00
133,07,16,05,00
134,06,16,06,00
135,05,15,07,00
136,03,15,08,00
137,02,14,09,00
138,01,13,10,00
139,00,12,11,00
140,01,12,12,00
141,01,11,13,00
142,02,11,12,00
143,04,10,12,00
144,08,10,11,00
145,13,09,10,00
146,19,09,10,00
147,24,10,12,00
148,30,10,16,00
149,35,11,22,00
150,39,12,28,00
151,44,13,35,00
152,47,14,42,00
153,51,15,49,00
154,56,16,57,00
155,58,18,64,00
156,62,19,71,00
157,64,21,78,00
158,65,23,84,00
159,64,24,89,00
160,63,26,92,00
161,63,28,95,00
162,64,30,97,00
163,61,32,98,00
164,63,34,99,00
165,63,36,99,00
166,62,38,97,00
167,62,40,95,00
168,62,42,92,00
169,63,44,87,00
170,64,46,82,00
171,64,48,76,00
172,65,50,68,00
173,67,52,60,00
174,69,54,52,00
175,69,56,44,00
176,71,58,37,01
177,73,59,30,01
178,74,61,25,01
179,75,62,20,01
180,77,64,17,01
181,78,65,14,01
182,77,66,12,01
183,78,67,11,01
184,76,67,11,01
185,74,68,10,01
186,73,68,10,01
187,72,68,10,01
188,69,69,10,01
189,68,69,10,01
190,66,69,10,01
191,62,69,10,01
192,58,69,11,01
193,53,68,13,01
194,46,68,18,01
195,39,67,25,01
196,32,66,33,01
197,28,65,42,01
198,78,65,43,01
199,81,66,44,01
200,83,67,46,01
201,85,67,47,01
202,87,68,49,00
203,89,69,51,00
204,91,69,54,00
205,93,70,56,00
206,93,71,58,00
207,94,72,61,00
208,93,72,62,00
209,91,73,64,00
210,92,73,65,00
211,92,74,66,00
212,87,74,67,00
213,85,74,67,00
214,84,75,68,00
215,81,75,68,00
216,79,75,68,00
217,78,75,68,00
218,75,75,68,00
219,73,76,68,00
220,71,76,67,00
221,69,76,67,00
222,67,76,66,00
223,63,77,64,00
224,60,77,62,00
225,55,78,57,00
226,51,78,51,00
227,45,79,43,00
228,39,77,52,00
229,31,76,61,00
230,26,74,70,00
231,26,72,78,00
232,26,70,84,00
233,27,68,88,00
234,27,66,91,00
235,27,63,93,00
236,28,61,94,00
237,28,59,94,00
238,28,57,93,00
239,28,55,91,00
240,29,53,89,00
241,28,51,85,00
242,28,49,82,00
243,27,47,79,00
244,27,45,75,00
245,26,43,71,00
246,26,41,67,00
247,25,39,62,00
248,24,38,58,00
249,24,36,52,00
250,23,35,47,00
251,21,33,41,00
252,22,31,34,00
253,23,30,27,00
254,21,29,19,00
255,20,28,13,00
256,19,27,07,00
257,18,26,02,00
258,16,25,00,00
259,17,24,01,00
260,16,24,02,00
261,15,24,03,00
262,14,23,05,00
263,14,23,06,00
264,13,22,07,00
265,13,22,08,00
266,12,21,09,00
267,14,21,09,00
268,12,20,09,00
269,12,20,09,00
270,10,19,09,00
271,09,19,10,00
272,08,18,10,00
273,06,17,10,00
274,05,17,11,00
275,05,16,11,00
276,06,15,11,00
277,03,14,11,00
278,04,14,11,00
279,03,13,11,00
280,03,12,11,00
281,03,12,11,00
282,03,11,11,00
283,03,11,10,00
284,03,10,09,00
285,03,09,08,00
286,03,09,07,00
287,03,08,06,00
288,02,08,06,00
289,01,07,05,00
290,00,07,05,00
291,00,06,05,00
292,01,06,04,00
293,01,06,03,00
294,02,05,02,00
295,05,05,01,00
296,10,05,01,00
297,15,05,01,00
298,22,05,05,00
299,27,06,11,00
