time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,48,00,00,01
1,44,00,00,01
2,49,00,00,01
3,58,00,00,01
4,68,00,00,01
5,71,00,00,01
6,73,00,00,01
7,74,00,00,01
8,72,00,00,01
9,75,00,00,01
10,72,00,00,01
11,69,00,00,01
12,66,00,00,01
13,63,00,00,01
14,66,00,00,01
15,66,00,00,01
16,68,00,00,01
17,65,00,00,01
18,63,00,00,01
19,61,00,00,01
20,61,00,00,01
21,65,00,00,01
22,64,00,00,01
23,63,00,00,01
24,62,00,00,01
25,62,00,00,01
26,63,00,00,01
27,65,00,00,01
28,68,00,00,01
29,64,64,11,01
30,57,65,09,01
31,48,65,08,01
32,46,65,09,01
33,46,64,12,01
34,55,64,12,01
35,66,64,12,01
36,76,64,12,01
37,75,64,13,01
38,75,64,13,01
39,74,64,13,01
40,73,64,13,01
41,75,64,14,01
42,70,64,14,01
43,67,64,14,01
44,65,64,14,01
45,63,64,14,01
46,70,64,14,01
47,64,64,14,01
48,59,64,14,01
49,56,64,15,01
50,58,64,15,01
51,63,64,15,01
52,62,64,15,01
53,63,64,15,01
54,60,64,15,01
55,61,64,15,01
56,64,64,15,01
57,63,64,15,01
58,65,63,15,01
59,66,64,15,01
60,68,64,15,01
61,67,65,13,01
62,60,65,10,01
63,49,65,09,01
64,43,65,12,01
65,42,64,17,01
66,50,63,17,01
67,63,63,15,01
68,76,63,16,01
69,76,63,16,01
70,76,63,17,01
71,73,63,16,01
72,69,63,16,01
73,75,63,17,01
74,71,63,18,01
75,69,63,18,01
76,67,63,18,01
77,62,63,18,01
78,64,63,18,01
79,63,64,17,01
80,65,64,17,01
81,64,64,17,01
82,62,64,17,01
83,62,64,17,01
84,60,64,17,01
85,61,64,17,01
86,59,64,17,01
87,58,64,17,01
88,61,63,17,01
89,58,63,17,01
90,57,63,17,01
91,61,63,17,01
92,59,63,17,01
93,44,62,19,01
94,11,61,32,01
95,00,60,47,01
96,03,58,58,01
97,23,57,62,01
98,46,56,61,01
99,45,55,60,01
100,50,54,59,01
101,83,54,60,01
102,91,55,64,01
103,77,55,64,01
104,74,55,64,01
105,87,56,67,01
106,86,57,69,01
107,82,57,71,01
108,76,58,72,01
109,65,58,72,01
110,44,57,72,01
111,18,55,76,01
112,14,54,80,01
113,25,53,82,01
114,72,53,83,01
115,92,54,86,01
116,99,55,91,01
117,90,56,94,01
118,84,57,95,01
119,84,58,97,01
120,75,59,97,01
121,76,59,98,01
122,77,60,99,01
123,80,61,99,01
124,81,63,94,01
125,71,66,84,01
126,70,68,74,01
127,65,69,68,01
128,61,70,66,01
129,64,70,64,01
130,61,71,63,01
131,60,70,63,01
132,65,69,62,01
133,65,69,62,01
134,65,69,62,01
135,64,68,60,01
136,67,67,59,01
137,73,67,59,01
138,67,67,58,01
139,67,67,58,01
140,66,67,57,01
141,62,69,48,01
142,64,70,34,01
143,61,72,23,01
144,52,71,25,01
145,45,69,26,01
146,43,68,25,01
147,44,66,24,01
148,55,65,23,01
149,68,64,20,01
150,76,64,21,01
151,77,65,21,01
152,69,64,20,01
153,68,64,18,01
154,65,63,16,01
155,61,63,15,01
156,65,63,15,01
157,63,63,15,01
158,64,63,15,01
159,70,63,15,01
160,64,63,15,01
161,62,63,15,01
162,63,63,15,01
163,59,63,15,01
164,61,63,15,01
165,61,63,15,01
166,59,62,15,01
167,63,62,14,01
168,63,62,14,01
169,65,62,14,01
170,70,62,14,01
171,65,62,15,01
172,65,62,15,01
173,64,62,15,01
174,62,63,14,01
175,66,63,11,01
176,65,64,07,01
177,67,65,02,01
178,66,65,00,01
179,60,65,00,01
180,51,64,01,01
181,46,63,03,01
182,46,62,06,01
183,52,62,06,01
184,66,62,06,01
185,75,62,08,01
186,80,63,11,01
187,74,63,12,01
188,72,63,13,01
189,69,63,13,01
190,64,63,13,01
191,67,64,13,01
192,68,64,13,01
193,67,64,13,01
194,70,64,13,01
195,67,64,13,01
