time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,47,00,00,01
1,50,00,00,01
2,38,00,00,01
3,32,00,00,01
4,39,00,00,01
5,39,00,00,01
6,41,00,00,01
7,45,00,00,01
8,37,00,00,01
9,45,00,00,01
10,59,00,00,01
11,60,00,00,01
12,68,00,00,01
13,89,00,00,00
14,89,00,00,00
15,93,00,00,00
16,99,00,00,00
17,71,00,00,00
18,57,00,00,00
19,72,00,00,00
20,75,00,00,00
21,75,00,00,00
22,87,00,00,00
23,87,00,00,00
24,83,00,00,00
25,87,00,00,00
26,79,00,00,00
27,69,00,00,00
28,65,00,00,00
29,62,65,60,00
30,61,65,59,00
31,63,66,59,00
32,67,67,56,00
33,68,68,53,00
34,67,69,50,00
35,64,70,47,00
36,64,70,44,00
37,63,71,41,00
38,61,72,37,00
39,60,72,34,00
40,59,72,35,00
41,58,72,35,00
42,57,72,36,00
43,57,71,35,00
44,59,70,34,00
45,59,69,32,00
46,61,67,27,00
47,63,67,27,00
48,64,67,26,00
49,66,67,26,00
50,67,67,26,00
51,68,66,25,00
52,68,66,23,00
53,69,65,20,00
54,69,65,17,00
55,69,64,12,00
56,70,64,10,00
57,70,64,10,00
58,70,64,10,00
59,72,64,11,00
60,72,65,12,00
61,73,65,12,00
62,74,65,13,00
63,75,66,14,00
64,76,66,15,00
65,77,66,16,00
66,76,67,17,00
67,78,67,18,00
68,78,68,18,00
69,78,68,19,00
70,79,69,19,00
71,79,70,18,00
72,78,70,18,00
73,78,71,16,00
74,77,72,15,00
75,78,72,14,00
76,79,73,13,00
77,80,74,12,00
78,80,74,11,00
79,80,75,11,00
80,80,75,11,00
81,80,75,10,00
82,80,76,10,00
83,81,76,09,00
84,81,77,09,00
85,81,77,08,00
86,80,77,07,00
87,79,78,06,00
88,79,78,05,00
89,79,78,04,00
90,78,78,03,00
91,79,79,02,00
92,78,79,01,00
93,78,79,01,00
94,78,79,00,00
95,76,79,01,00
96,77,79,00,00
97,78,79,01,00
98,77,79,01,00
99,72,79,02,00
100,72,78,04,00
101,73,78,04,00
102,74,78,05,00
103,74,78,05,00
104,73,78,06,00
105,74,78,06,00
106,73,77,06,00
107,71,77,07,00
108,70,77,07,00
109,70,76,08,00
110,69,76,09,00
111,70,76,09,00
112,68,75,09,00
113,67,75,10,00
114,65,74,10,00
115,67,74,11,00
116,66,73,11,00
117,66,73,11,00
118,66,73,11,00
119,64,72,12,00
120,66,72,11,00
121,65,71,11,00
122,65,71,11,00
123,61,70,12,00
124,48,69,16,00
125,28,68,27,00
126,04,65,44,00
127,02,63,56,00
128,03,60,65,00
129,08,58,71,00
130,14,56,75,00
131,24,54,76,00
132,52,54,75,00
133,70,54,75,00
134,71,54,75,00
135,72,53,75,00
136,74,53,75,00
137,73,54,75,00
138,74,54,75,00
139,76,54,76,00
140,75,54,76,00
141,79,54,77,00
142,76,55,78,00
143,77,55,78,00
144,78,55,79,00
145,79,56,80,00
146,81,56,81,00
147,85,57,83,00
148,86,58,84,00
149,87,58,86,00
150,88,59,88,00
151,88,60,89,00
152,90,61,91,00
153,91,62,92,00
154,90,63,93,00
155,88,65,92,00
156,86,68,85,00
157,83,71,76,00
158,78,73,65,00
159,73,75,53,00
160,70,77,39,00
161,68,79,25,00
162,67,79,21,00
163,65,79,21,00
164,66,79,22,00
165,67,79,23,00
166,67,78,23,00
167,66,78,24,00
168,67,78,25,00
169,68,78,25,00
170,67,77,26,00
171,68,77,27,00
172,67,77,27,00
173,66,76,28,00
174,67,76,28,00
175,66,76,29,00
176,66,75,29,00
177,68,75,29,00
178,68,74,28,00
179,69,73,27,00
180,69,73,26,00
181,69,72,24,00
182,70,71,22,00
183,65,71,19,00
184,66,70,16,00
185,65,69,13,00
186,65,68,09,00
187,66,68,05,00
188,65,67,02,00
189,64,67,02,00
190,65,67,01,00
191,65,67,01,00
