time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,40,00,00,01
1,35,00,00,01
2,31,00,00,01
3,19,00,00,01
4,13,00,00,01
5,11,00,00,01
6,10,00,00,01
7,12,00,00,01
8,12,00,00,01
9,21,00,00,01
10,31,00,00,01
11,55,00,00,01
12,72,00,00,01
13,76,00,00,01
14,79,00,00,01
15,80,00,00,01
16,68,00,00,01
17,70,00,00,01
18,72,00,00,01
19,72,00,00,01
20,70,00,00,01
21,61,00,00,01
22,57,00,00,01
23,60,00,00,01
24,69,00,00,01
25,60,00,00,01
26,49,00,00,01
27,37,00,00,01
28,26,00,00,01
29,20,46,77,01
30,21,46,79,01
31,47,46,79,01
32,66,47,80,01
33,69,49,78,01
34,71,51,75,01
35,80,53,71,01
36,88,56,68,01
37,89,58,64,01
38,82,61,57,01
39,60,62,49,01
40,50,62,46,01
41,57,63,45,01
42,58,62,45,01
43,49,61,45,01
44,42,60,45,01
45,43,59,44,01
46,43,58,45,01
47,42,57,45,01
48,37,56,46,01
49,33,54,47,01
50,30,53,48,01
51,28,52,51,01
52,24,51,54,01
53,22,50,57,01
54,18,48,60,01
55,15,46,63,01
56,22,46,66,01
57,46,46,65,01
58,60,47,64,01
59,62,48,62,01
60,63,50,60,01
61,68,50,61,01
62,73,51,62,01
63,71,51,62,01
64,57,50,61,01
65,38,49,57,01
66,46,47,51,01
67,51,46,42,01
68,46,45,35,01
69,36,44,35,01
70,32,44,35,01
71,33,43,35,01
72,30,42,34,01
73,27,41,35,01
74,24,41,37,01
75,20,40,39,01
76,19,39,41,01
77,17,38,43,01
78,14,37,46,01
79,12,37,49,01
80,08,36,52,01
81,13,35,54,01
82,37,36,54,01
83,53,37,54,01
84,54,38,53,01
85,54,40,52,01
86,63,41,53,01
87,72,42,57,01
88,71,42,59,01
89,65,42,60,01
90,46,42,58,01
91,35,41,55,01
92,44,40,50,01
93,47,39,46,01
94,40,38,44,01
95,32,38,44,00
96,29,38,44,00
97,29,37,44,00
98,26,36,44,00
99,21,36,45,00
100,19,35,46,00
101,16,35,48,00
102,15,34,50,00
103,15,34,51,00
104,18,34,52,00
105,22,34,51,00
106,41,34,51,00
107,60,36,52,00
108,77,38,57,00
109,81,40,61,00
110,84,43,64,00
111,75,45,64,00
112,68,46,66,00
113,69,46,68,00
114,71,47,70,00
115,72,48,72,00
116,65,48,72,00
117,59,47,71,00
118,53,47,68,00
119,50,46,67,00
120,64,47,68,00
121,53,47,68,00
122,43,47,68,00
123,37,47,68,00
124,22,46,71,00
125,16,46,73,00
126,11,45,77,00
127,09,44,80,00
128,10,44,83,00
129,14,44,84,00
130,15,44,85,00
131,26,44,84,00
132,44,45,81,00
133,49,46,78,00
134,48,47,75,00
135,44,48,72,00
136,34,47,73,00
137,32,47,73,00
138,24,45,71,00
139,31,43,66,01
140,29,41,60,01
141,30,40,55,01
142,29,39,52,01
143,38,37,48,01
144,48,37,43,01
145,40,36,36,01
146,34,35,31,01
147,25,33,28,01
148,18,32,27,01
149,10,31,27,01
150,07,29,23,01
151,05,27,23,01
152,06,26,24,01
153,07,25,25,01
154,09,25,27,01
155,00,24,30,01
156,08,24,30,01
157,15,24,29,01
158,18,25,28,01
159,20,25,28,00
160,16,25,28,00
161,12,24,29,00
162,11,23,27,00
163,11,22,24,00
164,09,21,20,00
165,12,20,17,00
166,17,19,15,00
167,27,19,14,00
168,39,19,17,00
169,34,19,18,00
170,28,19,18,00
171,23,19,17,00
172,11,19,16,00
173,05,18,15,00
174,06,16,08,00
175,07,15,04,00
176,10,14,01,00
177,20,14,00,00
178,41,15,06,00
179,62,17,22,00
180,76,19,41,00
181,81,21,57,00
182,77,24,68,00
