time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,43,00,00,00
1,53,00,00,00
2,60,00,00,00
3,67,00,00,00
4,72,00,00,00
5,75,00,00,00
6,77,00,00,00
7,79,00,00,00
8,82,00,00,00
9,83,00,00,00
10,84,00,00,00
11,86,00,00,00
12,85,00,00,00
13,86,00,00,00
14,86,00,00,00
15,86,00,00,00
16,86,00,00,00
17,87,00,00,00
18,86,00,00,00
19,87,00,00,00
20,86,00,00,00
21,86,00,00,00
22,87,00,00,00
23,87,00,00,00
24,88,00,00,00
25,88,00,00,00
26,87,00,00,00
27,87,00,00,00
28,85,00,00,00
29,85,81,28,00
30,84,82,21,00
31,85,83,15,00
32,85,84,11,00
33,87,84,08,00
34,87,85,06,00
35,88,85,04,00
36,89,86,03,00
37,89,86,02,00
38,90,86,02,00
39,90,87,02,00
40,89,87,02,00
41,89,87,02,00
42,90,87,02,00
43,91,87,02,00
44,92,87,03,00
45,91,88,03,00
46,91,88,03,00
47,91,88,03,00
48,90,88,04,00
49,91,88,04,00
50,89,88,04,00
51,91,88,04,00
52,90,88,04,00
53,92,89,04,00
54,92,89,04,00
55,93,89,04,00
56,92,89,04,00
57,92,89,05,00
58,92,90,04,00
59,91,90,04,00
60,92,90,03,00
61,94,90,03,00
62,95,91,02,00
63,94,91,02,00
64,94,91,02,00
65,94,91,02,00
66,95,92,02,00
67,95,92,02,00
68,94,92,02,00
69,94,92,02,00
70,94,92,02,00
71,94,92,02,00
72,94,93,02,00
73,93,93,02,00
74,93,93,02,00
75,91,93,02,00
76,88,93,02,00
77,80,92,05,00
78,68,91,12,00
79,59,90,19,00
80,53,89,26,00
81,47,88,33,00
82,39,86,40,00
83,34,84,48,00
84,29,82,54,00
85,26,80,61,00
86,21,77,67,00
87,17,75,73,00
88,15,72,78,00
89,12,70,83,00
90,09,67,87,00
91,10,64,90,00
92,08,61,93,00
93,07,58,95,00
94,07,55,97,00
95,06,52,97,00
96,08,49,97,00
97,18,47,96,00
98,28,45,93,00
99,38,43,89,00
100,47,41,86,00
101,59,40,82,00
102,66,39,78,00
103,73,38,75,00
104,76,38,73,00
105,79,38,71,00
106,84,37,70,00
107,86,38,71,00
108,88,38,74,00
109,88,39,77,00
110,89,40,81,00
111,91,42,84,00
112,91,44,88,00
113,91,46,91,00
114,91,48,93,00
115,93,50,95,00
116,92,52,96,00
117,92,55,96,00
118,92,57,96,00
119,91,60,94,00
120,93,63,92,00
121,93,66,89,00
122,93,68,85,00
123,93,71,80,00
124,93,74,73,00
125,92,77,65,00
126,91,80,55,00
127,92,82,45,00
128,92,84,36,00
129,93,86,29,00
130,92,88,21,00
131,92,89,16,00
132,94,90,12,00
133,95,90,09,00
134,96,91,06,00
135,94,92,04,00
136,94,92,03,00
137,96,92,02,00
138,95,92,02,00
