time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,88,00,00,00
1,87,00,00,00
2,87,00,00,00
3,87,00,00,00
4,87,00,00,00
5,86,00,00,00
6,86,00,00,00
7,85,00,00,00
8,85,00,00,00
9,86,00,00,00
10,85,00,00,00
11,84,00,00,00
12,83,00,00,00
13,82,00,00,00
14,75,00,00,00
15,60,00,00,00
16,54,00,00,00
17,46,00,00,00
18,40,00,00,00
19,35,00,00,00
20,30,00,00,00
21,25,00,00,00
22,22,00,00,00
23,20,00,00,00
24,17,00,00,00
25,14,00,00,00
26,11,00,00,00
27,08,00,00,00
28,06,00,00,00
29,05,55,94,00
30,02,53,96,00
31,01,50,98,00
32,00,47,99,00
33,13,44,98,00
34,26,42,96,00
35,38,41,93,00
36,45,39,89,00
37,52,38,86,00
38,54,37,82,00
39,59,36,79,00
40,62,36,75,00
41,65,35,72,00
42,68,34,70,00
43,69,34,68,00
44,71,34,67,00
45,72,34,69,00
46,73,35,71,00
47,75,36,74,00
48,76,37,77,00
49,76,38,80,00
50,76,40,82,00
51,76,42,84,00
52,75,43,85,00
53,75,45,85,00
54,76,47,85,00
55,76,49,85,00
56,77,52,83,00
57,76,54,81,00
58,77,56,77,00
59,76,59,72,00
60,76,61,66,00
61,77,64,57,00
62,78,66,46,00
63,78,68,36,00
64,77,70,28,00
65,78,71,23,00
66,78,72,18,00
67,79,73,15,00
68,80,74,12,00
69,80,75,09,00
70,80,76,07,00
71,82,76,06,00
72,81,77,05,00
73,82,77,04,00
74,82,77,04,00
75,83,78,04,00
76,82,78,04,00
77,82,78,04,00
78,84,78,05,00
79,83,79,05,00
80,82,79,05,00
81,82,79,05,00
82,83,79,05,00
83,83,80,05,00
84,83,80,05,00
85,83,80,04,00
86,82,80,04,00
87,83,81,04,00
88,84,81,04,00
89,86,81,04,00
90,86,81,04,00
91,86,82,04,00
92,87,82,04,00
93,86,82,04,00
94,87,83,04,00
95,86,83,04,00
96,85,83,03,00
97,84,83,03,00
98,84,83,03,00
99,84,83,02,00
100,85,84,02,00
101,85,84,02,00
102,86,84,02,00
103,86,84,02,00
104,87,84,02,00
105,85,84,02,00
106,85,84,01,00
107,85,85,01,00
108,87,85,01,00
109,86,85,01,00
110,86,85,01,00
111,83,85,01,00
112,68,84,07,00
113,60,84,13,00
114,54,83,20,00
115,48,82,27,00
116,42,80,34,00
117,38,79,40,00
118,32,77,47,00
119,29,75,53,00
120,26,73,59,00
121,24,71,64,00
122,21,69,69,00
123,18,67,73,00
124,16,64,77,00
125,14,62,81,00
126,13,59,84,00
127,12,57,86,00
128,12,55,88,00
129,10,52,90,00
130,12,50,90,00
131,26,48,89,00
132,36,46,86,00
133,45,45,84,00
134,54,44,80,00
135,59,43,78,00
136,64,42,75,00
137,69,42,73,00
138,73,41,71,00
139,75,41,69,00
140,76,40,67,00
141,78,40,66,00
142,79,41,68,00
143,79,41,70,00
144,79,42,73,00
145,80,43,75,00
146,81,44,78,00
147,81,46,80,00
148,82,47,82,00
149,84,49,84,00
150,84,51,85,00
151,84,53,85,00
152,83,55,84,00
153,84,58,83,00
154,83,60,81,00
155,83,62,78,00
156,85,64,74,00
157,83,67,68,00
158,85,69,62,00
159,82,72,53,00
160,84,74,43,00
161,84,76,34,00
162,85,78,26,00
163,84,79,20,00
164,85,80,16,00
165,85,81,12,00
166,87,82,09,00
167,89,82,07,00
168,89,83,07,00
169,88,83,06,00
170,88,84,05,01
171,89,84,05,01
172,89,84,05,01
173,88,85,05,01
174,88,85,05,01
175,88,85,04,01
176,86,85,04,01
177,85,85,03,01
178,85,86,03,01
179,84,86,03,01
180,85,86,03,01
181,87,86,03,01
182,88,86,03,01
183,89,86,03,01
184,89,86,03,01
185,89,86,03,01
186,88,86,03,01
187,88,87,03,01
188,89,87,03,01
189,87,87,02,01
190,89,87,02,01
191,87,87,02,01
192,85,87,02,01
193,86,87,01,01
194,86,87,01,01
195,86,87,01,01
196,87,87,01,01
197,87,87,01,01
198,85,87,01,01
199,84,87,01,01
200,86,87,02,01
201,86,87,01,01
202,88,87,01,01
203,88,87,01,01
204,89,87,01,01
205,89,87,02,01
206,89,87,02,01
207,89,87,02,01
208,90,87,02,00
209,82,87,02,00
210,69,87,08,00
211,59,86,16,00
