time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,87,00,00,00
1,87,00,00,00
2,88,00,00,00
3,88,00,00,00
4,88,00,00,00
5,89,00,00,00
6,90,00,00,00
7,89,00,00,00
8,89,00,00,00
9,89,00,00,00
10,89,00,00,00
11,89,00,00,00
12,87,00,00,00
13,86,00,00,00
14,86,00,00,00
15,87,00,00,00
16,86,00,00,00
17,85,00,00,00
18,86,00,00,00
19,84,00,00,00
20,82,00,00,00
21,83,00,00,00
22,83,00,00,00
23,83,00,00,00
24,83,00,00,00
25,83,00,00,00
26,81,00,00,00
27,70,00,00,00
28,56,00,00,00
29,48,83,25,00
30,41,82,33,00
31,35,80,40,00
32,31,78,48,00
33,27,76,54,00
34,23,74,60,00
35,21,72,66,00
36,20,69,70,00
37,16,67,75,00
38,12,64,79,00
39,09,62,83,00
40,08,59,86,00
41,08,56,89,00
42,07,54,91,00
43,05,51,92,00
44,06,48,93,00
45,07,46,93,00
46,23,44,91,00
47,36,42,88,00
48,48,41,85,00
49,57,40,83,00
50,64,39,80,00
51,73,39,79,00
52,75,39,78,01
53,77,38,77,01
54,79,38,76,01
55,79,38,76,01
56,81,38,76,01
57,81,38,77,01
58,82,39,80,01
59,82,40,83,01
60,84,42,86,01
61,85,44,89,01
62,86,45,91,01
63,86,47,93,01
64,87,49,94,01
65,88,52,95,01
66,89,54,96,01
67,88,56,95,01
68,88,59,93,01
69,89,62,90,01
70,88,64,87,01
71,88,67,82,01
72,90,70,76,01
73,89,72,68,01
74,88,75,58,01
75,88,78,46,01
76,89,80,35,01
77,87,82,26,01
78,87,83,20,01
79,88,84,15,01
80,86,85,11,01
81,87,85,09,01
82,88,86,07,01
83,87,86,06,01
84,88,86,06,01
85,89,87,05,01
86,89,87,04,01
87,89,87,03,01
88,88,88,02,01
89,89,88,02,01
90,89,88,01,01
91,90,88,00,01
92,90,88,00,01
93,89,88,00,01
94,89,88,00,01
95,88,88,00,01
96,89,88,00,01
97,89,88,00,01
98,87,88,00,01
99,86,88,00,00
100,87,88,00,00
101,88,88,00,00
102,89,88,00,00
103,88,88,00,00
104,88,88,00,00
105,88,88,00,00
106,88,88,00,00
107,89,88,00,00
108,87,88,00,00
109,89,88,00,00
110,88,88,00,00
111,88,88,00,00
112,87,88,00,00
113,87,88,00,00
114,87,88,00,00
115,86,88,00,00
116,85,88,01,00
117,84,88,01,00
118,86,88,02,00
119,86,88,01,00
120,85,88,02,00
121,85,87,02,00
122,85,87,02,00
123,85,87,02,00
124,86,87,02,00
125,79,87,03,00
126,62,86,12,00
127,53,85,20,00
128,47,83,27,00
129,42,82,34,00
130,37,80,41,00
131,31,78,48,00
132,29,76,54,00
133,24,74,60,00
134,20,72,66,00
135,17,69,71,00
136,13,67,76,00
137,09,64,81,00
138,08,62,85,00
139,08,59,88,00
140,06,56,91,00
141,05,53,93,00
142,04,51,95,00
143,00,48,96,00
144,09,45,96,00
145,27,43,94,00
146,36,42,91,00
147,54,41,88,00
148,53,40,85,00
149,64,39,83,00
150,73,38,81,00
151,72,38,79,00
152,81,38,78,00
153,82,38,78,00
154,83,38,77,00
155,83,38,78,00
156,83,38,81,00
157,83,39,84,00
158,82,41,86,00
159,81,42,89,00
160,90,44,92,00
161,80,45,94,00
162,90,47,96,00
163,89,50,98,00
164,90,52,99,00
165,90,54,99,00
166,91,57,98,00
167,91,60,96,00
168,92,62,94,00
169,91,65,90,00
170,91,68,85,00
171,91,71,79,00
172,92,74,70,01
173,92,77,59,01
174,93,80,47,01
175,92,82,38,01
176,90,84,29,01
177,90,85,24,01
178,90,86,18,01
179,90,87,14,01
180,89,87,12,01
181,90,88,10,01
182,90,88,09,01
183,90,89,08,01
184,91,89,08,01
185,92,89,08,01
186,91,90,07,01
187,92,90,06,01
188,93,90,06,01
189,93,91,04,01
190,93,91,04,01
191,93,91,01,01
192,92,91,01,01
193,94,91,01,01
194,95,91,02,01
195,95,92,02,01
196,94,92,02,01
197,95,92,02,01
198,95,92,03,01
199,96,92,03,01
200,96,92,03,00
201,96,92,04,00
202,96,93,04,00
203,96,93,04,00
204,96,93,04,00
205,96,93,05,00
206,97,93,05,00
207,96,93,05,00
208,96,94,05,00
209,97,94,04,00
210,98,94,04,00
211,98,94,04,00
212,98,95,04,00
213,98,95,04,00
214,99,95,04,00
215,99,95,04,00
216,99,96,04,00
217,89,96,04,00
218,90,96,05,00
219,89,95,06,00
220,89,95,06,00
221,89,95,07,00
222,88,95,07,00
223,77,94,11,00
224,60,93,20,00
225,59,92,27,00
226,50,91,34,00
227,43,89,42,00
228,44,87,48,00
229,36,85,55,00
230,36,83,60,00
231,27,81,66,00
232,27,79,71,00
233,26,76,76,00
234,16,73,81,00
235,14,71,86,00
236,14,68,90,00
237,15,65,92,00
238,14,63,95,00
239,13,60,96,00
240,13,57,97,00
241,14,54,97,00
242,29,52,94,00
243,42,50,91,00
244,51,48,87,00
245,61,47,83,00
246,66,46,79,00
247,74,45,77,00
248,78,45,75,00
249,82,45,74,00
250,83,45,73,00
251,86,45,73,00
252,87,44,73,00
253,88,45,74,00
254,88,46,77,00
255,89,47,80,00
256,88,48,83,00
257,87,50,85,00
258,89,51,88,00
259,88,53,89,00
260,89,55,91,00
261,89,57,91,00
262,88,59,91,00
263,89,61,91,00
264,90,63,89,00
265,90,66,86,00
266,90,68,82,00
267,90,71,77,00
268,90,73,71,00
269,90,76,64,00
270,91,79,55,00
271,91,81,43,00
272,90,83,33,00
273,90,85,25,00
274,91,86,19,00
275,90,87,13,00
276,91,88,09,00
277,92,88,06,00
278,90,89,04,00
279,91,89,03,00
280,90,89,02,00
281,89,89,01,00
282,89,90,01,00
283,89,90,01,00
284,91,90,01,00
285,91,90,01,00
286,94,90,01,00
287,94,90,01,00
288,93,90,02,00
289,94,90,02,00
290,93,91,02,00
291,94,91,02,00
292,92,91,02,00
293,92,91,02,00
294,91,91,02,00
295,91,91,02,00
296,90,91,02,00
297,91,91,02,00
298,92,91,02,00
299,92,91,02,00
