time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,87,00,00,00
1,86,00,00,00
2,81,00,00,00
3,69,00,00,00
4,59,00,00,00
5,51,00,00,00
6,45,00,00,00
7,38,00,00,00
8,32,00,00,00
9,28,00,00,00
10,26,00,00,00
11,23,00,00,00
12,20,00,00,00
13,18,00,00,00
14,16,00,00,00
15,11,00,00,00
16,08,00,00,00
17,06,00,00,00
18,03,00,00,00
19,01,00,00,00
20,01,00,00,00
21,06,00,00,00
22,20,00,00,00
23,31,00,00,00
24,42,00,00,00
25,50,00,00,00
26,59,00,00,00
27,66,00,00,00
28,72,00,00,00
29,77,38,66,00
30,82,38,66,00
31,85,38,65,00
32,87,38,66,00
33,88,38,69,00
34,90,39,72,00
35,91,41,75,00
36,89,42,78,00
37,91,44,81,00
38,92,46,84,00
39,91,48,86,00
40,92,50,88,00
41,93,53,89,00
42,95,55,89,00
43,97,58,89,00
44,96,60,89,00
45,95,63,87,00
46,94,66,84,00
47,94,69,80,00
48,96,72,75,00
49,95,75,68,00
50,96,78,59,00
51,94,81,49,00
52,95,84,41,00
53,96,86,34,00
54,96,88,27,00
55,97,89,21,00
56,97,91,17,00
57,96,92,13,00
58,96,92,10,00
59,97,93,08,00
60,96,94,06,00
61,96,94,05,00
62,95,94,04,00
63,97,94,04,00
64,96,95,03,00
65,96,95,03,00
66,96,95,02,00
67,98,95,02,00
68,98,96,02,00
69,98,96,01,00
70,99,96,01,00
71,97,96,01,00
72,96,96,01,00
73,96,96,01,00
74,94,96,01,00
75,95,96,01,00
76,95,96,01,00
77,96,96,01,00
78,95,96,01,00
79,96,96,01,00
80,93,96,01,00
81,93,96,01,00
82,91,96,02,00
83,91,96,03,00
84,91,96,03,00
85,91,95,03,00
86,90,95,04,00
87,92,95,04,00
88,91,95,04,00
89,90,95,05,00
90,90,94,05,00
91,90,94,05,00
92,89,94,05,00
93,88,94,06,00
94,88,93,06,00
95,89,93,06,00
96,89,93,06,00
97,91,93,06,00
98,88,92,06,00
99,86,92,06,00
100,86,92,06,00
101,77,91,08,00
102,67,90,12,00
103,56,89,19,00
104,48,87,26,00
105,42,85,32,00
106,36,83,39,00
107,32,81,44,00
108,29,79,50,00
109,25,77,54,00
110,21,74,59,00
111,17,72,64,00
112,15,69,68,00
113,13,67,72,00
114,11,64,75,00
115,09,61,78,00
116,06,58,80,00
117,06,55,82,00
118,03,53,84,00
119,00,50,85,00
120,13,47,84,00
121,23,45,82,00
122,39,43,80,00
123,49,42,77,00
124,57,41,75,00
125,62,40,72,00
126,66,39,69,00
127,68,38,66,00
128,73,38,64,00
129,75,37,63,00
130,78,37,62,00
131,80,37,62,00
132,82,38,64,00
133,84,39,67,00
134,85,40,70,00
135,84,41,72,00
136,85,43,75,00
137,86,45,77,00
138,86,47,79,00
139,87,49,80,00
140,87,51,81,00
141,88,53,81,00
142,87,56,80,00
143,87,58,79,00
144,89,61,77,00
145,87,63,74,00
146,87,66,70,00
147,88,69,65,00
148,91,72,58,00
149,91,75,48,00
150,92,77,39,00
151,91,80,31,00
152,90,81,25,00
153,92,83,21,00
154,90,84,18,00
155,92,85,15,00
156,92,86,13,00
157,91,87,11,00
158,90,87,09,00
159,89,88,07,00
160,92,88,06,00
161,91,88,05,00
162,91,89,05,00
163,90,89,04,00
164,90,89,04,00
165,91,89,04,00
166,90,90,03,00
167,90,90,03,00
168,92,90,03,00
169,90,90,02,00
170,91,90,02,00
171,91,90,02,00
172,89,90,02,00
173,88,90,02,00
174,89,90,02,00
175,90,90,01,00
176,91,91,01,00
177,90,91,01,00
178,91,91,01,00
179,90,91,00,00
180,90,90,00,00
181,90,90,00,00
182,89,90,01,00
183,89,90,01,00
184,89,90,01,00
185,88,90,01,00
186,89,90,00,00
187,90,90,00,00
188,89,90,00,00
189,90,90,00,00
190,89,90,00,00
191,89,90,00,00
192,89,90,00,00
193,89,90,00,00
194,88,90,00,00
195,89,90,00,00
196,88,90,01,00
197,88,89,01,00
198,86,89,01,00
199,80,89,03,00
200,68,88,09,00
201,58,87,15,00
202,50,86,22,00
203,46,84,28,00
204,38,83,35,00
205,33,81,41,00
206,28,79,47,00
207,25,77,52,00
208,21,74,57,00
209,18,72,62,00
210,14,69,67,00
211,11,67,71,00
212,09,64,75,00
213,07,61,78,00
214,06,58,80,00
215,04,56,83,00
216,02,53,85,00
217,00,50,86,00
218,05,47,86,00
219,21,45,85,00
220,87,45,84,00
221,86,44,84,00
222,90,44,84,00
223,90,45,84,00
224,91,45,85,00
225,91,45,85,00
226,91,45,85,00
227,91,45,85,00
228,92,45,86,00
229,93,45,87,00
230,92,46,89,00
231,92,47,91,00
232,91,49,94,00
233,92,50,95,00
234,92,52,97,00
235,92,54,98,00
236,92,56,99,00
237,91,58,99,00
238,93,61,99,00
239,92,63,97,00
240,92,66,96,00
241,92,69,93,00
242,91,71,89,00
243,92,74,84,00
244,93,77,78,00
245,93,80,71,00
246,93,83,61,00
247,93,86,48,00
248,92,89,30,00
249,93,91,02,00
250,92,92,01,00
251,92,92,00,00
252,93,92,00,00
253,90,92,00,00
254,90,92,00,00
255,90,92,00,00
256,91,92,00,00
257,90,92,00,00
258,90,92,01,00
259,91,92,01,00
260,92,92,01,00
261,91,92,00,00
262,92,92,01,00
263,92,92,01,00
264,92,92,01,00
265,93,92,01,00
266,92,92,01,00
267,93,92,01,00
268,95,92,01,00
269,93,92,01,00
270,93,92,01,00
271,93,92,01,00
272,94,92,01,00
273,93,92,01,00
274,91,92,01,00
275,91,92,01,00
276,92,92,01,00
277,92,92,01,00
278,92,92,01,00
279,82,92,04,00
280,71,91,09,00
281,63,90,15,00
282,55,89,21,00
283,48,87,28,00
284,44,86,34,00
285,39,84,39,00
286,35,82,45,00
287,31,80,50,00
288,30,78,55,00
289,25,76,59,00
290,23,74,63,00
291,19,71,67,00
292,17,69,71,00
293,15,66,74,00
294,14,63,76,00
295,12,61,79,00
296,12,58,80,00
297,09,55,81,00
298,20,53,81,00
299,33,51,79,00
