time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,32,00,00,00
1,45,00,00,00
2,54,00,00,00
3,60,00,00,00
4,68,00,00,00
5,71,00,00,00
6,77,00,00,00
7,80,00,00,00
8,81,00,00,00
9,82,00,00,00
10,83,00,00,00
11,84,00,00,00
12,84,00,00,00
13,85,00,00,00
14,85,00,00,00
15,86,00,00,00
16,86,00,00,00
17,87,00,00,00
18,86,00,00,00
19,87,00,00,00
20,85,00,00,00
21,85,00,00,00
22,84,00,00,00
23,83,00,00,00
24,84,00,00,00
25,83,00,00,00
26,84,00,00,00
27,87,00,00,00
28,87,00,00,00
29,86,78,33,00
30,87,80,25,00
31,88,82,19,00
32,87,83,14,00
33,89,84,10,00
34,89,84,07,00
35,89,85,05,00
36,90,85,04,00
37,91,86,04,00
38,90,86,04,00
39,90,86,04,00
40,89,86,04,00
41,90,87,04,00
42,90,87,04,00
43,90,87,04,00
44,92,87,04,00
45,92,87,05,00
46,91,88,05,00
47,90,88,05,00
48,91,88,05,00
49,93,88,05,00
50,93,88,06,00
51,93,89,06,00
52,92,89,06,00
53,91,89,05,00
54,90,89,04,00
55,91,90,04,00
56,91,90,03,00
57,92,90,03,00
58,92,90,02,00
59,91,90,02,00
60,91,91,01,00
61,91,91,01,00
62,91,91,01,00
63,92,91,01,00
64,92,91,01,00
65,92,91,00,00
66,91,91,00,00
67,93,91,00,00
68,92,91,00,00
69,91,91,00,00
70,92,91,00,00
71,93,92,00,00
72,93,92,00,00
73,93,92,00,00
74,93,92,00,00
75,93,92,00,00
76,92,92,00,00
77,87,92,01,00
78,74,91,07,00
79,64,90,14,00
80,54,89,22,00
81,47,87,29,00
82,39,86,37,00
83,32,84,45,00
84,27,82,52,00
85,23,79,59,00
86,20,77,65,00
87,16,74,71,00
88,15,72,76,00
89,14,69,80,00
90,09,67,85,00
91,09,64,88,00
92,07,61,91,00
93,06,58,94,00
94,04,55,95,00
95,04,52,97,00
96,07,49,97,00
97,06,47,97,00
98,07,44,96,00
99,09,41,94,00
100,11,38,92,00
101,11,36,88,00
102,13,33,84,00
103,17,30,79,00
104,21,28,73,00
105,27,26,65,00
106,30,24,56,00
107,35,22,47,00
108,42,21,40,00
109,48,20,37,00
110,58,20,38,00
111,68,21,42,00
112,78,22,50,00
113,91,24,59,00
114,92,27,68,00
115,93,29,75,00
116,92,31,81,00
117,94,34,86,00
118,93,37,90,00
119,93,39,93,00
120,93,42,96,00
121,95,45,97,00
122,95,48,98,00
123,98,51,99,00
124,99,54,99,00
125,97,57,98,00
126,98,60,96,00
127,98,63,94,00
128,97,66,91,00
129,97,69,87,00
130,98,72,83,00
131,99,75,78,00
132,99,78,73,00
133,97,81,67,00
134,99,83,60,00
135,97,85,54,00
136,98,88,46,00
137,95,90,38,00
138,95,91,31,00
139,93,93,22,00
140,92,94,15,00
141,92,95,08,00
142,91,95,05,00
143,90,95,05,00
144,91,95,05,00
145,90,95,05,00
146,89,95,06,00
147,86,95,07,00
148,88,95,08,00
149,88,94,08,00
150,89,94,08,00
151,91,94,08,00
152,90,94,09,00
153,91,94,08,00
154,91,94,08,00
155,89,93,08,00
156,89,93,08,00
157,89,93,08,00
158,88,92,08,00
159,88,92,08,00
160,88,92,08,00
161,88,91,07,00
162,88,91,07,00
163,89,91,06,00
164,89,90,05,00
165,89,90,04,00
166,89,90,03,00
167,90,90,03,00
168,90,90,02,00
169,89,89,01,00
170,91,89,01,00
171,90,89,01,00
172,89,89,01,00
173,88,89,01,00
174,88,89,01,00
175,88,89,01,00
176,87,89,01,00
177,84,89,01,00
178,83,89,02,00
179,83,89,03,00
180,82,88,04,00
181,82,88,05,00
182,80,88,06,00
183,77,87,07,00
184,73,87,09,00
185,73,86,11,00
186,67,85,14,00
187,65,85,17,00
188,58,84,21,00
189,48,82,26,00
190,36,80,34,00
191,22,78,43,00
192,08,76,55,00
193,03,73,64,00
194,04,70,72,00
195,16,67,76,00
196,34,66,77,00
197,46,64,76,00
198,59,63,75,00
199,68,62,74,00
200,70,62,73,00
201,74,61,72,00
202,76,61,71,00
203,82,61,70,00
204,86,60,70,00
205,87,60,70,00
206,90,61,70,00
207,89,61,71,00
208,90,61,71,00
209,89,61,72,00
210,90,61,72,00
211,90,62,73,00
212,91,62,74,00
213,90,63,75,00
214,89,63,76,00
215,89,64,77,00
216,89,64,78,00
217,89,65,79,00
218,88,66,79,00
219,86,67,79,00
220,87,69,78,00
221,87,71,75,00
222,88,74,68,00
223,87,77,59,00
224,87,80,47,00
225,86,82,34,00
226,85,84,25,00
227,86,85,18,00
228,85,86,13,00
229,87,86,11,00
230,88,87,08,00
231,87,87,05,00
232,85,88,03,00
233,87,88,02,00
234,88,88,02,00
235,89,88,02,00
236,87,88,02,00
237,86,88,02,00
238,85,88,02,00
239,85,87,02,00
240,83,87,03,00
241,83,87,03,00
242,83,87,03,00
243,82,86,03,00
244,84,86,03,00
245,84,86,03,00
246,83,86,03,00
247,81,86,03,00
248,82,85,03,00
249,82,85,03,00
250,83,85,03,00
251,85,85,03,00
252,85,85,03,00
253,87,85,03,00
254,85,85,03,00
255,84,85,03,00
256,84,85,03,00
257,84,85,03,00
258,84,85,03,00
259,84,85,03,00
260,84,85,03,00
261,85,85,02,01
262,87,85,02,01
263,87,85,03,00
264,90,85,03,00
265,89,85,03,00
266,90,85,04,00
267,90,85,04,00
268,91,85,05,00
269,89,85,05,00
270,91,85,05,00
271,88,86,05,00
272,88,86,05,00
273,87,86,05,00
274,84,86,05,00
275,68,85,09,00
276,61,85,14,00
277,49,84,22,00
278,42,82,29,00
279,36,81,37,00
280,30,79,44,00
281,24,77,51,00
282,19,75,58,00
283,16,72,64,00
284,13,70,70,00
285,08,67,76,00
286,06,65,81,00
287,06,62,85,00
288,03,59,89,00
289,01,57,92,00
290,02,54,95,00
291,01,51,97,00
292,00,48,98,00
293,05,46,98,00
294,20,43,96,00
295,34,41,94,00
296,46,40,91,00
297,55,39,87,00
298,60,38,84,00
299,67,37,82,00
