time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,70,00,00,00
1,68,00,00,00
2,68,00,00,00
3,67,00,00,00
4,64,00,00,00
5,64,00,00,00
6,65,00,00,00
7,67,00,00,01
8,72,00,00,01
9,75,00,00,01
10,75,00,00,01
11,76,00,00,01
12,76,00,00,01
13,76,00,00,01
14,78,00,00,01
15,79,00,00,01
16,78,00,00,01
17,79,00,00,01
18,79,00,00,01
19,78,00,00,01
20,76,00,00,01
21,75,00,00,01
22,73,00,00,01
23,69,00,00,01
24,62,00,00,01
25,57,00,00,01
26,52,00,00,01
27,49,00,00,01
28,49,00,00,01
29,51,69,32,01
30,57,68,32,01
31,63,68,33,01
32,66,68,33,01
33,67,68,33,01
34,63,68,33,01
35,52,68,35,01
36,46,67,38,01
37,48,67,40,01
38,52,66,41,01
39,49,65,42,01
40,47,64,43,01
41,47,63,44,01
42,52,62,43,01
43,51,61,43,01
44,48,60,42,01
45,47,59,41,01
46,46,58,40,01
47,42,57,38,01
48,46,56,36,01
49,53,55,32,01
50,55,54,29,01
51,56,54,25,01
52,56,53,22,01
53,52,53,19,01
54,48,52,18,01
55,48,52,18,01
56,71,53,22,01
57,67,53,24,01
58,64,54,25,01
59,64,54,25,01
60,67,54,27,01
61,73,55,29,01
62,79,55,32,01
63,84,56,37,01
64,88,57,43,01
65,89,58,48,01
66,85,59,51,01
67,76,60,51,01
68,63,60,51,01
69,45,60,52,01
70,25,59,56,01
71,00,58,70,01
72,05,56,79,01
73,28,56,82,01
74,45,55,82,01
75,58,56,82,01
76,66,57,82,01
77,72,58,82,01
78,74,58,82,01
79,74,59,83,01
80,70,60,83,01
81,66,60,83,01
82,63,60,83,01
83,61,61,83,01
84,59,61,82,01
85,58,61,82,01
86,58,61,81,01
87,59,61,81,01
88,62,61,81,01
89,62,61,81,01
90,63,60,81,00
91,62,60,81,00
92,63,60,79,00
93,61,59,77,00
94,61,58,74,00
95,59,57,71,00
96,59,56,68,00
97,61,56,66,00
98,61,55,66,00
99,63,56,66,00
100,64,57,62,00
101,67,60,47,00
102,68,62,28,00
103,68,63,17,00
104,70,64,13,00
105,71,64,13,00
106,71,64,13,00
107,72,64,13,00
108,71,64,13,00
109,69,64,11,00
110,68,64,11,00
111,67,64,11,00
112,66,64,11,00
113,66,64,11,00
114,65,65,11,00
115,66,65,10,00
116,68,65,09,00
117,68,65,08,00
118,69,66,08,00
119,68,66,08,00
120,68,66,08,00
121,69,66,08,00
122,69,67,08,00
123,70,67,07,00
124,70,67,07,00
125,70,67,06,00
126,70,68,04,00
127,70,68,03,00
128,70,68,02,00
129,71,69,01,00
130,70,69,00,00
131,70,69,00,00
132,68,69,00,00
133,66,69,00,00
134,64,69,01,00
135,60,68,03,00
136,55,68,07,00
137,50,67,12,00
138,47,66,17,00
139,46,65,21,00
140,50,65,23,00
141,53,64,25,00
142,55,64,25,00
143,53,64,26,00
144,53,63,27,00
145,54,63,28,00
146,54,62,28,00
147,55,62,28,00
148,60,62,28,00
149,63,61,28,00
150,61,61,27,00
151,59,61,27,00
152,57,60,26,00
153,54,60,26,00
154,53,59,25,00
155,53,59,25,00
156,54,58,24,00
157,56,58,22,00
158,59,57,21,00
159,63,57,19,00
160,66,57,18,00
161,69,57,18,00
162,72,57,19,00
163,74,57,21,00
164,76,58,24,00
165,75,58,26,01
166,75,59,28,01
167,74,60,29,01
168,74,61,29,01
169,74,61,29,01
170,76,62,29,01
171,78,63,30,01
172,80,64,32,01
173,82,65,33,01
174,83,66,34,01
175,84,67,35,01
176,84,68,36,01
177,83,69,36,01
178,82,70,36,01
179,77,70,36,01
180,72,71,35,01
181,64,71,35,01
182,53,71,36,01
183,47,70,38,01
184,49,70,39,01
185,55,70,38,01
186,64,71,37,01
187,71,71,35,01
188,75,72,34,01
189,79,72,34,01
190,80,73,34,01
191,66,73,35,01
192,40,71,41,01
193,16,70,56,01
194,01,67,74,01
195,99,68,77,01
196,74,68,77,01
197,46,67,78,01
198,32,66,82,01
199,22,64,87,01
200,18,62,93,01
201,20,60,97,01
202,25,58,98,01
203,29,56,99,01
