time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,49,00,00,00
1,50,00,00,00
2,49,00,00,00
3,48,00,00,00
4,48,00,00,00
5,47,00,00,00
6,45,00,00,00
7,43,00,00,00
8,40,00,00,00
9,38,00,00,00
10,35,00,00,00
11,33,00,00,00
12,32,00,00,00
13,31,00,00,00
14,31,00,00,00
15,31,00,00,00
16,34,00,00,00
17,37,00,00,00
18,42,00,00,00
19,46,00,00,00
20,51,00,00,00
21,53,00,00,00
22,54,00,00,00
23,55,00,00,00
24,56,00,00,00
25,56,00,00,00
26,58,00,00,00
27,59,00,00,00
28,59,00,00,00
29,59,46,49,00
30,59,46,50,00
31,59,46,52,00
32,58,46,53,00
33,58,47,54,00
34,58,47,55,00
35,58,48,56,00
36,59,48,57,00
37,60,49,58,00
38,61,49,59,00
39,62,50,59,00
40,62,51,58,00
41,62,52,56,00
42,62,53,53,01
43,63,54,49,01
44,63,55,44,01
45,63,56,38,01
46,65,57,31,01
47,64,58,25,01
48,65,59,20,01
49,64,60,17,01
50,66,60,15,01
51,65,60,15,01
52,64,61,14,01
53,64,61,13,01
54,63,61,12,01
55,63,62,11,01
56,64,62,11,01
57,65,62,11,01
58,65,62,11,01
59,66,62,11,01
60,65,63,11,01
61,67,63,11,01
62,66,63,10,01
63,64,63,09,01
64,64,64,08,01
65,64,64,07,01
66,64,64,05,01
67,64,64,04,01
68,64,64,04,01
69,63,64,03,01
70,62,64,03,01
71,60,64,04,01
72,60,64,05,01
73,60,64,06,01
74,58,64,08,02
75,60,64,09,02
76,60,63,09,02
77,59,63,10,02
78,57,63,11,02
79,57,63,12,02
80,58,62,12,02
81,60,62,12,02
82,63,62,12,02
83,60,62,12,01
84,72,62,15,01
85,52,62,18,01
86,65,62,18,01
87,54,62,19,01
88,66,62,20,01
89,60,62,19,01
90,61,61,19,01
91,37,60,29,01
92,13,59,53,01
93,03,57,75,01
94,58,56,75,01
95,99,58,86,01
96,85,58,90,01
97,64,58,90,01
98,57,58,89,01
99,54,58,89,01
100,55,58,89,01
101,56,57,89,01
102,47,57,90,01
103,61,57,90,01
104,49,57,90,01
105,55,57,90,01
106,66,57,91,01
107,57,57,91,01
108,52,57,91,01
109,57,57,91,01
110,48,56,91,01
111,56,56,91,01
112,46,56,91,01
113,37,55,93,01
114,70,55,93,01
115,44,54,93,01
116,34,53,95,01
117,34,53,96,01
118,57,52,96,01
119,37,52,97,01
120,27,50,99,02
121,46,51,98,02
122,32,51,93,02
123,33,52,81,02
124,33,52,83,02
125,36,49,70,02
126,36,48,61,02
127,43,47,59,02
128,51,47,58,02
129,52,47,58,02
130,51,47,57,02
131,55,47,57,02
132,46,47,57,02
133,61,47,57,02
134,64,47,60,02
135,55,47,60,02
136,62,47,58,02
137,55,47,58,02
138,56,47,59,02
139,49,47,58,02
140,65,47,60,02
141,66,48,62,02
142,65,48,65,02
143,68,49,66,02
144,42,48,63,02
145,61,49,64,02
146,51,50,62,02
147,61,51,61,02
148,53,50,61,02
149,56,51,60,02
150,48,52,55,02
151,43,52,55,02
152,61,53,52,02
153,54,53,48,02
154,56,54,44,02
155,68,55,42,02
156,61,56,38,02
157,58,56,35,02
158,54,57,35,02
159,63,57,35,02
160,47,57,36,02
161,48,57,37,02
162,67,57,37,02
163,62,57,37,02
164,58,57,37,02
165,46,57,38,02
166,56,57,38,02
167,64,57,38,02
168,54,57,38,02
169,57,57,38,02
170,61,57,37,02
171,45,56,38,02
172,45,56,38,02
173,60,55,37,02
174,47,56,35,02
175,52,55,35,02
176,52,55,35,02
177,56,55,34,03
178,59,55,34,03
179,44,55,36,03
180,51,55,36,03
181,30,55,42,03
182,62,55,42,03
183,49,54,42,03
184,49,54,42,03
185,49,54,40,03
186,50,53,40,03
187,49,53,40,03
188,49,53,40,03
189,50,52,39,03
190,49,52,38,03
191,50,52,38,02
192,53,52,35,02
193,55,52,34,02
194,57,52,34,02
195,57,52,34,02
196,57,52,34,02
197,59,52,32,02
198,58,52,33,02
199,58,52,33,02
200,58,52,32,02
201,59,52,32,02
202,53,53,31,02
203,33,52,36,02
204,00,50,61,02
205,00,49,78,02
206,55,49,78,02
207,91,50,88,02
208,84,51,94,02
209,76,52,97,02
210,64,52,98,02
211,60,53,96,02
212,58,53,95,02
213,56,53,95,02
214,55,53,95,02
215,55,54,95,02
216,54,54,95,02
217,55,54,95,01
218,56,54,95,01
219,56,54,95,01
220,56,55,94,01
221,55,55,94,01
222,56,55,94,01
223,55,55,94,01
224,55,55,94,01
225,55,55,94,01
226,54,55,94,01
227,53,55,94,01
228,52,54,94,01
229,51,54,94,01
230,50,54,94,01
231,47,53,94,01
232,45,53,95,01
233,45,54,93,01
234,44,55,76,01
235,45,56,54,01
236,46,56,55,01
237,48,55,43,01
238,50,54,33,01
239,54,53,24,01
240,57,53,21,01
241,58,53,21,01
242,61,53,22,01
243,62,53,23,01
244,63,53,25,01
245,62,53,26,01
246,62,54,27,01
247,62,54,28,01
248,61,54,29,01
249,62,54,30,01
250,61,54,31,01
251,61,54,31,01
252,60,55,32,01
253,61,55,32,01
254,60,55,33,01
255,60,55,33,00
256,59,55,33,00
257,61,56,33,00
258,60,56,33,00
259,60,56,33,00
260,59,56,33,00
261,59,57,31,00
262,59,57,29,00
263,61,58,27,00
264,62,58,24,00
265,61,59,20,00
266,61,60,15,00
267,61,60,11,00
268,61,60,06,01
269,61,61,04,01
270,61,61,03,01
271,60,61,02,01
272,61,61,02,01
273,62,61,02,01
274,61,61,02,01
275,60,61,02,01
276,60,61,02,01
277,60,61,02,01
278,60,61,02,01
279,60,60,01,01
280,60,60,01,01
281,60,60,01,01
282,60,60,01,01
283,61,60,01,01
284,61,60,01,01
285,61,60,01,01
286,60,60,01,01
287,60,60,01,01
288,61,60,01,01
289,61,61,01,01
290,61,61,01,01
291,60,61,01,01
292,60,61,00,01
293,61,61,00,01
294,60,61,00,01
295,58,60,01,01
296,57,60,02,01
297,58,60,02,01
298,59,60,02,01
299,59,60,02,01
