time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,47,00,00,01
1,48,00,00,01
2,48,00,00,01
3,48,00,00,01
4,49,00,00,01
5,49,00,00,01
6,49,00,00,01
7,49,00,00,01
8,49,00,00,01
9,49,00,00,01
10,49,00,00,01
11,50,00,00,01
12,50,00,00,01
13,50,00,00,01
14,51,00,00,01
15,50,00,00,01
16,50,00,00,01
17,51,00,00,01
18,51,00,00,01
19,51,00,00,01
20,52,00,00,01
21,52,00,00,01
22,52,00,00,01
23,51,00,00,01
24,50,00,00,01
25,50,00,00,01
26,51,00,00,01
27,50,00,00,01
28,50,00,00,01
29,50,50,06,01
30,50,50,05,01
31,50,50,05,01
32,51,50,04,01
33,53,50,05,01
34,53,50,05,01
35,53,51,06,01
36,53,51,06,01
37,53,51,06,01
38,54,51,07,01
39,53,51,07,01
40,53,51,07,01
41,53,51,07,01
42,50,51,07,01
43,37,51,19,01
44,14,50,52,01
45,00,48,84,01
46,37,48,86,01
47,72,48,92,01
48,69,49,96,01
49,63,49,98,01
50,55,49,98,01
51,51,49,98,01
52,49,49,98,01
53,49,49,98,01
54,49,49,98,01
55,48,49,98,01
56,48,49,98,01
57,47,49,98,01
58,47,49,98,01
59,47,49,98,01
60,46,49,98,01
61,46,49,98,01
62,46,48,98,01
63,45,48,98,01
64,45,48,97,00
65,44,48,97,00
66,43,47,97,00
67,43,47,97,00
68,42,46,97,00
69,41,46,96,00
70,39,46,96,00
71,38,45,96,00
72,37,45,97,00
73,36,45,97,00
74,35,45,88,00
75,35,46,64,00
76,36,46,64,00
77,37,45,55,00
78,39,44,45,00
79,42,44,37,00
80,44,43,33,00
81,45,43,32,00
82,46,43,31,00
83,48,43,31,00
84,49,43,31,00
85,51,43,32,00
86,51,43,33,00
87,52,43,34,00
88,52,43,36,00
89,51,43,37,00
90,52,44,38,00
91,51,44,39,00
92,51,44,41,00
93,51,44,42,00
94,52,44,43,00
95,52,45,44,00
96,51,45,45,00
97,52,45,45,00
98,51,45,46,00
99,51,46,46,00
100,51,46,46,00
101,51,47,45,00
102,51,47,43,01
103,51,48,40,01
104,51,48,37,01
105,52,49,32,01
106,52,49,27,01
107,52,50,22,01
108,52,50,17,01
109,52,51,12,01
110,51,51,09,01
111,51,51,06,01
112,51,51,03,01
113,50,51,01,01
114,51,51,00,01
115,52,51,00,01
116,51,51,00,01
117,51,51,00,01
118,51,51,00,01
119,50,51,01,01
120,49,51,02,01
121,49,51,02,01
122,49,51,03,01
123,49,51,04,01
124,49,51,04,01
125,49,51,05,01
126,49,51,05,01
127,50,51,05,01
128,50,51,05,01
129,51,51,05,01
130,51,51,05,01
131,51,51,05,01
132,52,51,05,01
133,51,51,05,01
134,51,51,05,01
135,50,51,05,01
136,50,50,05,01
137,49,50,05,01
138,47,50,06,01
139,46,50,07,01
140,45,50,09,01
141,45,50,11,01
142,45,49,12,01
143,45,49,13,01
144,46,49,13,01
145,46,49,13,01
146,45,49,14,01
147,47,49,13,01
148,59,49,18,01
149,81,50,45,01
150,99,51,79,01
151,65,52,81,01
152,26,51,88,01
153,27,51,94,01
154,33,50,97,01
155,40,50,98,01
156,44,50,98,01
157,47,49,98,01
