time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,20,00,00,00
1,20,00,00,00
2,20,00,00,00
3,21,00,00,00
4,21,00,00,00
5,20,00,00,00
6,20,00,00,00
7,21,00,00,00
8,21,00,00,00
9,22,00,00,00
10,22,00,00,00
11,21,00,00,00
12,21,00,00,00
13,23,00,00,00
14,23,00,00,00
15,21,00,00,00
16,22,00,00,00
17,21,00,00,00
18,20,00,00,00
19,20,00,00,00
20,19,00,00,00
21,20,00,00,00
22,19,00,00,00
23,19,00,00,00
24,18,00,00,00
25,19,00,00,00
26,20,00,00,00
27,19,00,00,00
28,19,00,00,00
29,19,20,00,00
30,19,20,00,00
31,18,20,01,00
32,17,20,01,00
33,17,20,02,00
34,16,20,03,00
35,15,20,03,00
36,15,20,04,00
37,14,19,05,00
38,12,19,07,00
39,11,19,08,00
40,12,18,09,00
41,11,18,10,00
42,09,18,12,00
43,08,17,13,00
44,06,17,15,00
45,07,16,16,00
46,07,16,17,00
47,06,15,18,00
48,06,15,19,00
49,07,14,19,00
50,07,14,19,00
51,07,13,19,00
52,06,13,20,00
53,06,12,20,00
54,06,12,20,00
55,05,12,20,00
56,05,11,19,00
57,04,11,18,00
58,03,10,18,00
59,04,10,17,00
60,03,09,17,00
61,03,09,16,00
62,03,08,15,00
63,02,08,14,00
64,02,07,13,00
65,01,07,12,00
66,02,06,11,00
67,00,06,10,00
68,00,05,09,00
69,00,05,09,00
70,01,05,08,00
71,00,04,07,00
72,01,04,07,00
73,02,04,07,00
74,02,04,06,00
75,03,03,06,00
76,04,03,06,00
77,04,03,05,00
78,05,03,05,00
79,06,03,05,00
80,05,03,04,00
81,05,03,04,00
82,08,03,04,00
83,13,03,08,00
84,19,04,13,00
85,24,04,21,00
86,29,05,29,00
87,32,06,36,00
88,34,07,43,00
89,36,08,49,00
90,38,10,55,00
91,39,11,60,00
92,40,12,64,00
93,43,13,69,00
94,46,15,74,00
95,49,16,78,00
96,52,18,83,00
97,54,20,87,00
98,56,22,90,00
99,58,24,93,00
100,58,26,96,00
101,60,27,97,00
102,60,29,98,00
103,62,31,99,00
104,63,34,99,00
105,63,36,98,00
106,64,38,97,00
107,64,40,95,00
108,67,42,92,00
109,67,44,89,00
110,67,46,85,00
111,68,48,79,00
112,69,50,72,00
113,69,52,66,00
114,70,53,61,00
115,69,55,57,00
116,70,56,54,00
117,70,58,51,00
118,71,59,48,00
119,72,60,45,00
120,72,61,42,00
121,72,62,38,00
122,72,63,34,00
123,72,64,30,00
124,71,65,26,00
125,71,66,24,00
126,72,67,21,00
127,72,67,19,00
128,71,68,17,00
129,72,68,15,00
130,70,68,13,00
131,76,69,12,00
132,81,70,14,00
133,87,71,18,00
134,86,71,20,00
135,85,72,22,00
136,87,73,24,00
137,87,74,26,00
138,87,74,27,00
139,87,75,28,00
140,88,76,29,00
141,87,76,30,00
142,87,77,31,00
143,89,77,31,00
144,89,78,32,00
145,89,79,32,00
146,89,79,32,00
147,88,80,32,00
148,90,81,32,00
149,90,81,32,00
150,91,82,33,00
151,86,82,32,00
152,81,83,31,00
153,74,83,30,00
154,74,83,30,00
155,74,83,29,00
156,74,83,29,00
157,73,83,28,00
158,74,83,27,00
159,74,83,27,00
160,74,83,26,00
161,73,83,26,00
162,73,83,28,00
163,73,82,29,00
164,74,82,29,00
165,75,82,29,00
166,76,81,29,00
167,75,81,29,00
168,74,80,29,00
169,74,80,29,00
170,75,80,29,00
171,76,79,29,00
172,76,79,28,00
173,77,79,26,00
174,77,78,25,00
175,78,78,23,00
176,77,77,22,00
177,78,77,20,00
178,77,77,17,00
179,77,76,13,00
180,82,76,09,00
