time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,80,00,00,01
1,77,00,00,01
2,73,00,00,01
3,70,00,00,01
4,70,00,00,01
5,69,00,00,01
6,69,00,00,00
7,64,00,00,00
8,45,00,00,00
9,19,00,00,00
10,13,00,00,00
11,13,00,00,00
12,13,00,00,00
13,17,00,00,00
14,19,00,00,00
15,20,00,00,00
16,21,00,00,00
17,21,00,00,00
18,27,00,00,00
19,64,00,00,00
20,82,00,00,00
21,91,00,00,00
22,92,00,00,00
23,90,00,00,00
24,85,00,00,00
25,82,00,00,00
26,79,00,00,00
27,77,00,00,00
28,75,00,00,00
29,75,56,10,00
30,73,56,08,00
31,74,56,07,00
32,73,56,07,00
33,71,56,07,00
34,62,56,06,00
35,29,54,10,00
36,16,53,20,00
37,13,51,31,00
38,14,50,41,00
39,13,50,44,00
40,12,50,45,00
41,12,50,45,00
42,11,50,46,00
43,12,49,49,00
44,37,50,43,00
45,70,52,39,00
46,85,54,39,00
47,95,56,42,00
48,97,59,47,00
49,95,60,56,00
50,90,60,60,00
51,85,60,57,00
52,81,59,53,00
53,79,59,49,00
54,80,59,47,00
55,78,59,46,00
56,77,59,45,00
57,75,59,44,00
58,70,58,43,00
59,62,58,41,00
60,32,57,44,00
61,12,55,56,00
62,09,52,68,00
63,09,50,78,00
64,10,49,88,00
65,11,48,95,01
66,12,48,97,01
67,12,48,98,01
68,13,48,98,01
69,11,48,99,01
70,40,49,90,01
71,70,51,83,01
72,83,53,78,01
73,88,56,73,01
74,87,57,77,01
75,84,58,81,01
76,80,58,79,01
77,77,57,72,01
78,73,56,62,01
79,71,55,52,01
80,71,55,44,01
81,68,54,39,01
82,67,54,34,01
83,69,53,31,01
84,64,53,26,01
85,50,52,21,01
86,18,50,25,01
87,09,48,32,01
88,09,46,39,01
89,09,44,47,01
90,11,43,54,01
91,14,43,53,01
92,15,43,50,01
93,15,44,47,01
94,16,44,44,01
95,27,44,38,01
96,63,46,32,01
97,81,48,31,01
98,88,51,32,01
99,89,53,30,01
100,87,55,37,01
101,85,56,42,01
102,83,56,42,01
103,80,55,38,01
104,76,55,34,01
105,70,54,29,01
106,64,54,24,01
107,60,53,20,01
108,61,53,17,01
109,62,53,15,01
110,51,52,12,01
111,18,50,19,01
112,10,48,29,01
113,11,46,36,01
114,14,45,41,01
115,16,44,47,01
116,18,44,47,01
117,18,44,42,01
118,19,44,38,01
119,20,45,32,01
120,21,45,28,01
121,61,47,21,01
122,86,49,24,01
123,97,52,32,01
124,99,54,37,01
125,98,57,44,01
126,95,58,55,01
127,90,58,59,01
128,86,58,58,01
129,81,58,55,01
130,79,58,52,01
131,77,57,49,01
132,78,57,47,01
133,77,57,46,01
134,77,57,46,01
135,74,57,47,01
136,64,57,47,01
137,28,56,53,01
138,14,55,65,01
139,13,53,77,01
140,16,52,86,01
141,18,52,86,01
142,17,52,82,01
143,18,52,79,01
144,20,52,76,01
145,21,53,73,01
146,25,53,70,01
147,63,54,62,01
148,84,57,58,01
149,95,59,57,01
150,96,62,55,01
151,92,63,62,01
152,91,63,64,01
153,89,62,60,01
154,87,62,55,01
155,85,62,50,01
156,84,61,45,01
157,81,61,41,01
158,79,61,39,01
159,76,61,37,01
160,76,60,37,01
161,71,60,35,01
162,46,59,34,01
163,18,57,44,01
164,14,55,55,01
165,13,53,65,01
166,15,51,74,01
167,14,51,80,01
168,17,51,79,01
169,18,51,77,01
170,19,51,75,00
171,20,51,74,00
172,22,52,71,00
173,58,53,63,00
174,78,55,59,00
175,86,57,57,00
176,92,59,57,00
177,90,60,63,00
178,86,60,64,00
179,84,60,59,00
180,81,59,53,00
181,80,59,48,00
182,78,59,43,00
183,77,58,38,00
184,77,58,34,00
185,77,57,31,00
186,77,57,28,00
187,74,57,26,00
188,65,57,23,00
189,30,55,25,00
190,17,53,32,00
191,15,51,40,00
192,16,50,50,00
193,18,50,50,01
194,19,50,47,01
195,20,51,44,01
196,20,51,41,01
197,21,51,37,01
198,22,51,35,01
199,53,52,25,01
200,81,54,22,01
201,92,57,23,01
202,96,59,24,01
203,91,60,32,01
204,88,61,36,01
205,85,61,36,01
206,83,60,32,01
207,81,60,28,01
208,79,60,26,01
209,79,60,24,01
210,78,60,23,01
211,77,59,22,01
212,78,59,22,01
213,77,59,22,01
214,72,59,21,01
215,47,58,20,01
216,23,57,26,01
217,17,55,35,01
218,10,53,49,01
219,24,53,51,01
220,23,53,48,01
221,21,53,45,01
222,23,53,41,01
223,28,54,36,01
224,21,54,35,01
225,49,55,26,01
226,71,56,17,01
227,91,59,16,01
228,94,61,13,01
229,92,62,20,01
230,91,63,24,01
231,97,63,27,01
232,76,62,19,01
233,87,62,17,01
234,82,62,14,01
235,71,61,10,01
236,77,61,09,01
237,64,61,06,01
238,69,60,03,01
239,74,60,02,01
240,70,60,00,01
241,40,59,01,01
242,15,57,12,01
243,14,54,23,01
244,04,52,39,01
245,04,51,57,01
246,11,50,62,01
247,03,50,71,01
248,00,50,78,01
249,09,49,85,01
250,02,48,95,01
251,31,49,92,01
252,56,50,87,01
253,67,51,86,01
254,79,53,84,01
255,91,54,94,01
256,82,55,97,01
257,84,55,94,01
258,76,54,86,00
259,76,53,79,00
260,78,53,73,00
261,67,52,60,00
262,69,52,58,00
263,70,51,51,00
264,64,51,45,01
265,66,50,44,01
266,65,50,40,01
267,21,49,44,01
268,05,46,54,01
269,06,44,60,01
270,07,42,64,01
271,07,41,73,01
272,09,41,75,01
273,08,41,77,01
274,10,41,74,01
275,10,41,71,01
276,10,41,72,01
277,22,42,64,01
278,61,44,52,01
279,77,46,50,01
280,83,49,45,01
281,87,51,52,01
282,84,51,60,01
283,81,52,65,01
284,78,52,64,01
285,76,51,57,01
286,75,51,54,01
287,73,51,49,01
288,73,51,48,01
289,71,50,46,01
290,71,50,44,01
291,72,50,45,01
292,68,50,45,01
293,55,50,42,01
294,23,48,45,01
295,14,47,52,01
296,13,45,57,01
297,14,45,60,01
298,16,45,55,01
299,16,45,49,01
