time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,07,00,00,00
1,07,00,00,00
2,06,00,00,00
3,06,00,00,00
4,05,00,00,00
5,06,00,00,00
6,07,00,00,00
7,06,00,00,00
8,06,00,00,00
9,05,00,00,00
10,05,00,00,00
11,04,00,00,00
12,05,00,00,00
13,05,00,00,00
14,05,00,00,00
15,04,00,00,00
16,04,00,00,00
17,04,00,00,00
18,04,00,00,00
19,05,00,00,00
20,05,00,00,00
21,05,00,00,00
22,06,00,00,00
23,06,00,00,00
24,06,00,00,00
25,04,00,00,00
26,05,00,00,00
27,05,00,00,00
28,05,00,00,00
29,04,05,00,00
30,03,05,00,00
31,03,05,00,00
32,02,05,01,00
33,01,05,02,00
34,00,05,04,00
35,01,04,05,00
36,00,04,05,00
37,02,04,05,00
38,02,04,05,00
39,02,04,05,00
40,03,04,05,00
41,04,04,05,00
42,06,04,05,00
43,05,04,05,00
44,05,04,05,00
45,05,04,05,00
46,07,04,06,00
47,08,04,07,00
48,08,04,08,00
49,09,04,10,00
50,08,04,10,00
51,09,05,11,00
52,10,05,12,00
53,10,05,13,00
54,11,05,15,00
55,12,05,16,00
56,12,05,18,00
57,12,06,19,00
58,14,06,21,00
59,17,06,24,00
60,19,07,27,00
61,20,07,30,00
62,21,08,34,00
63,22,09,36,00
64,23,10,38,00
65,24,10,40,00
66,25,11,42,00
67,26,12,44,00
68,27,13,46,00
69,28,14,47,00
70,28,15,48,00
71,30,15,49,00
72,30,16,51,00
73,31,17,52,00
74,34,18,53,00
75,34,19,54,00
76,37,20,56,00
77,38,21,58,00
78,38,22,59,00
79,39,23,60,00
80,40,24,61,00
81,42,25,61,00
82,42,26,61,00
83,43,27,61,00
84,45,28,62,00
85,47,30,62,00
86,46,31,61,00
87,47,32,59,00
88,47,33,58,00
89,49,34,57,00
90,50,35,57,00
91,50,36,57,00
92,49,37,56,00
93,50,38,55,00
94,52,39,54,00
95,53,40,54,00
96,53,41,53,00
97,53,42,52,00
98,53,43,50,00
99,55,43,49,01
100,54,44,47,01
101,55,45,45,01
102,56,46,42,01
103,56,47,40,01
104,59,48,39,01
105,58,49,37,01
106,60,49,37,01
107,62,50,37,01
108,62,51,36,01
109,62,52,35,01
110,62,52,34,01
111,63,53,34,01
112,63,54,33,01
113,65,55,33,01
114,64,55,33,01
115,66,56,33,01
116,67,56,34,01
117,69,57,35,01
118,69,58,35,01
119,69,59,36,01
120,71,59,37,01
121,73,60,38,01
122,73,61,39,01
123,73,62,39,01
124,73,62,40,01
125,73,63,40,01
126,74,64,40,01
127,74,64,40,01
128,75,65,40,01
129,76,66,40,01
130,77,67,39,01
131,77,67,39,01
132,78,68,38,01
133,81,69,38,01
134,84,70,40,01
135,84,71,40,02
136,86,71,42,02
137,87,72,44,02
138,89,73,46,02
139,90,74,48,02
140,91,75,49,02
141,15,74,86,02
142,91,74,87,02
143,91,75,89,02
144,92,76,90,02
145,91,77,90,02
146,92,78,91,02
147,92,79,92,02
148,94,80,93,02
149,94,80,93,02
150,96,81,95,02
151,97,82,96,02
152,99,83,97,02
153,98,84,98,02
154,98,85,99,02
155,98,85,99,02
156,98,86,99,02
157,97,87,99,02
158,96,88,98,02
159,96,88,98,02
160,95,89,97,02
161,97,90,96,01
162,97,90,96,01
163,96,91,95,01
164,97,91,95,01
165,98,92,95,01
166,98,92,95,01
167,98,92,95,01
168,97,93,95,01
169,98,93,95,01
170,97,93,95,01
171,98,96,11,01
172,97,96,10,01
173,97,96,08,01
174,97,96,07,01
175,96,97,05,01
176,95,97,04,01
177,94,97,02,01
178,95,97,02,01
179,94,97,02,01
180,94,97,03,01
181,93,97,04,00
182,94,96,04,00
183,91,96,06,00
184,90,96,08,00
185,88,96,11,00
186,86,95,14,00
187,83,95,19,00
188,83,94,23,00
189,82,94,27,00
190,80,93,31,00
191,79,93,35,00
192,79,92,38,00
193,77,91,41,00
194,77,91,44,00
195,76,90,46,00
196,78,89,47,00
197,77,89,48,00
198,77,88,49,00
199,74,87,50,00
200,75,86,50,00
201,71,86,51,00
202,69,85,53,00
203,68,84,54,00
204,69,83,54,00
205,66,82,55,00
206,66,81,56,00
207,66,80,56,00
208,65,79,55,00
209,64,78,55,00
210,64,77,54,00
211,64,76,52,00
212,62,75,50,00
213,61,74,49,00
214,61,73,47,00
215,59,72,46,00
216,58,71,46,00
217,56,70,47,00
218,56,69,47,00
219,56,68,47,00
220,53,67,48,00
221,53,67,49,00
222,52,66,49,00
223,52,65,50,00
224,51,64,50,00
225,51,63,50,00
226,52,62,49,00
227,50,61,47,00
228,48,60,46,00
229,48,60,45,00
230,46,59,44,00
231,46,58,44,00
232,46,57,44,00
233,44,56,44,00
234,45,55,43,00
235,44,55,43,00
236,42,54,43,00
237,44,53,42,00
238,45,52,41,00
239,43,52,39,00
240,42,51,38,00
241,40,50,37,00
242,39,49,36,00
243,39,49,36,00
244,38,48,34,00
245,37,47,34,00
246,37,46,33,00
247,34,46,34,00
248,32,45,35,00
249,33,44,36,00
250,32,43,36,00
251,31,43,37,00
252,31,42,37,00
253,32,41,37,00
254,33,41,37,00
255,31,40,36,00
256,34,39,34,00
257,34,39,32,00
258,33,38,31,00
259,33,38,30,00
260,35,38,28,00
261,34,37,27,00
262,33,37,25,00
263,34,36,24,00
264,34,36,23,00
265,33,36,21,00
266,33,35,20,00
267,32,35,18,00
268,33,35,15,00
269,32,34,12,00
270,32,34,10,00
271,32,34,08,00
272,32,33,06,00
273,32,33,04,00
274,32,33,02,00
275,30,33,02,00
276,29,33,02,00
277,29,32,03,00
278,30,32,03,00
279,31,32,03,00
280,29,32,04,00
281,29,32,04,00
282,30,32,05,00
283,30,32,05,00
284,29,32,05,00
285,27,32,07,00
286,27,31,08,00
287,26,31,09,00
288,24,31,11,00
289,24,31,13,00
290,24,30,14,00
291,25,30,14,00
292,25,30,15,00
293,26,29,15,00
294,24,29,15,00
295,25,29,15,00
296,25,29,15,00
297,24,28,15,00
298,24,28,14,00
299,25,28,14,00
