time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,48,00,00,01
1,48,00,00,01
2,48,00,00,01
3,48,00,00,01
4,47,00,00,01
5,48,00,00,01
6,48,00,00,01
7,47,00,00,01
8,47,00,00,01
9,47,00,00,01
10,47,00,00,01
11,47,00,00,01
12,47,00,00,01
13,47,00,00,01
14,47,00,00,01
15,47,00,00,01
16,46,00,00,01
17,46,00,00,01
18,46,00,00,01
19,47,00,00,01
20,47,00,00,01
21,47,00,00,01
22,47,00,00,01
23,46,00,00,01
24,46,00,00,01
25,46,00,00,01
26,47,00,00,01
27,48,00,00,01
28,48,00,00,01
29,49,47,02,01
30,49,47,02,01
31,50,47,03,01
32,49,47,03,01
33,48,47,03,01
34,48,47,03,01
35,47,47,03,01
36,48,47,03,01
37,47,47,03,01
38,47,47,03,01
39,47,47,03,01
40,47,47,03,01
41,48,47,03,01
42,47,47,03,01
43,46,47,03,01
44,53,47,05,01
45,73,48,21,01
46,92,50,42,01
47,87,51,52,01
48,64,52,53,01
49,44,52,53,01
50,45,52,53,01
51,45,52,54,01
52,45,52,54,01
53,44,52,54,01
54,44,51,54,01
55,44,51,54,01
56,45,51,54,01
57,45,51,54,01
58,45,51,55,01
59,46,51,55,00
60,46,51,55,00
61,46,51,55,00
62,46,51,55,00
63,46,51,55,00
64,46,51,55,00
65,47,51,55,00
66,47,51,55,00
67,47,51,55,00
68,48,51,55,00
69,48,51,55,00
70,49,51,55,00
71,49,51,55,00
72,49,51,55,00
73,49,51,55,00
74,50,51,55,00
75,52,50,51,00
76,52,49,36,00
77,53,48,17,00
78,55,47,12,00
79,56,48,14,00
80,57,48,15,00
81,59,49,17,00
82,58,49,19,00
83,59,50,20,00
84,59,50,21,00
85,59,50,22,00
86,57,51,22,00
87,55,51,21,00
88,54,51,21,00
89,52,52,20,00
90,51,52,20,00
91,50,52,19,00
92,49,52,18,00
93,49,52,18,00
94,49,52,17,00
95,49,52,17,01
96,49,52,17,01
97,49,52,16,01
98,48,52,16,01
99,48,52,16,01
100,48,52,16,01
101,49,52,17,01
102,48,52,17,01
103,49,52,17,01
104,48,52,17,01
105,49,52,17,01
106,49,52,18,01
107,49,52,18,01
108,49,52,18,01
109,49,52,17,01
110,49,51,17,01
111,49,51,16,01
112,49,51,15,01
113,48,50,13,01
114,48,50,11,01
115,49,50,08,01
116,48,49,06,01
117,48,49,04,01
118,48,49,02,01
119,48,49,01,01
120,48,49,01,01
121,48,49,00,01
122,48,49,00,01
123,49,49,00,01
124,49,49,00,01
125,49,49,00,01
126,49,49,00,01
127,50,49,00,01
128,50,49,01,01
129,49,49,01,01
130,49,49,01,01
131,50,49,01,01
132,49,49,01,01
133,49,49,01,01
134,49,49,01,01
135,49,49,01,01
136,48,49,01,01
137,48,49,01,01
138,50,49,01,01
139,51,49,02,01
140,52,49,03,01
141,53,49,04,01
142,52,49,04,01
143,53,49,05,01
144,58,50,08,01
145,64,50,14,01
146,68,51,20,01
147,53,51,20,01
148,25,50,29,01
149,07,49,47,01
150,00,47,62,01
151,00,46,74,00
152,06,44,81,00
153,15,43,84,00
154,22,42,86,00
