time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,37,00,00,01
1,37,00,00,01
2,36,00,00,01
3,37,00,00,01
4,38,00,00,01
5,39,00,00,01
6,40,00,00,01
7,42,00,00,01
8,43,00,00,01
9,44,00,00,01
10,46,00,00,01
11,48,00,00,01
12,49,00,00,01
13,48,00,00,01
14,49,00,00,01
15,48,00,00,01
16,41,00,00,01
17,40,00,00,01
18,37,00,00,01
19,36,00,00,01
20,36,00,00,01
21,35,00,00,01
22,34,00,00,01
23,34,00,00,01
24,36,00,00,00
25,39,00,00,00
26,39,00,00,00
27,45,00,00,00
28,59,00,00,00
29,66,42,33,00
30,60,43,36,00
31,29,42,38,00
32,09,42,47,00
33,00,40,60,00
34,15,40,64,00
35,29,39,65,00
36,35,39,65,00
37,37,39,65,00
38,40,39,65,00
39,39,39,64,00
40,39,38,64,00
41,41,38,63,00
42,40,38,63,00
43,40,38,62,00
44,42,37,61,00
45,42,37,60,00
46,42,37,61,00
47,42,37,61,00
48,42,37,61,00
49,43,38,61,00
50,44,38,61,00
51,45,38,62,00
52,46,39,62,00
53,47,39,62,00
54,48,39,63,00
55,48,40,63,00
56,52,40,64,00
57,53,40,65,00
58,56,40,64,00
59,62,40,63,00
60,64,40,64,00
61,67,42,67,00
62,72,44,66,00
63,73,46,58,00
64,76,48,57,00
65,78,50,60,00
66,78,51,63,00
67,79,53,66,00
68,76,54,68,00
69,70,55,68,00
70,64,56,67,00
71,57,56,65,00
72,52,57,64,00
73,49,57,62,00
74,44,57,62,00
75,41,57,62,00
76,39,57,63,00
77,37,57,64,00
78,37,57,65,00
79,37,56,66,00
80,36,56,68,00
81,36,56,70,00
82,37,55,71,00
83,38,55,73,00
84,37,55,74,00
85,36,54,76,00
86,37,54,77,00
87,39,53,78,00
88,39,53,79,00
89,38,52,80,00
90,37,51,80,00
91,37,50,80,00
92,38,49,78,00
93,37,48,76,00
94,37,46,71,01
95,37,45,66,01
96,36,44,59,01
97,36,42,50,01
98,37,41,40,01
99,37,40,30,01
100,35,39,21,01
101,37,38,15,01
102,37,38,10,01
103,37,37,05,01
104,37,37,02,01
105,35,37,01,01
106,36,37,01,01
107,37,37,01,01
108,37,37,01,01
109,36,37,01,01
110,37,37,01,01
111,36,37,01,01
112,37,37,01,01
113,36,37,01,01
114,37,37,01,01
115,36,37,01,01
116,37,37,01,01
117,37,37,00,01
118,38,37,00,01
119,40,37,01,01
120,41,37,03,01
121,43,37,05,01
122,45,37,07,01
123,46,38,10,01
124,46,38,12,01
125,46,38,13,01
126,46,39,14,01
127,42,39,14,01
128,46,39,15,01
129,69,40,30,01
130,99,42,59,01
131,94,44,75,01
132,55,45,75,01
133,25,44,77,01
134,19,44,80,01
135,18,43,83,01
136,20,43,85,01
137,24,42,87,01
138,27,42,87,00
139,21,41,89,00
140,20,41,91,00
141,17,40,94,00
142,20,40,96,00
143,25,39,96,00
144,29,39,97,00
145,27,39,97,00
146,27,38,98,00
147,30,38,98,00
148,30,38,99,00
149,31,38,99,00
150,30,37,99,00
151,30,37,99,00
152,31,36,99,00
153,31,36,99,00
154,30,35,98,00
155,32,35,98,00
156,34,34,97,00
157,35,34,97,00
158,37,34,96,00
159,37,33,91,00
160,39,31,67,00
161,41,29,36,00
162,43,29,31,00
163,46,29,34,00
164,49,30,37,00
165,54,31,40,00
166,56,33,44,00
167,59,34,49,00
168,60,35,54,00
169,60,36,56,00
170,59,38,58,00
171,57,39,57,00
172,55,40,56,00
173,54,41,56,00
174,51,42,55,00
175,47,42,54,00
176,46,43,52,00
177,44,44,51,00
178,42,44,49,00
179,40,44,48,00
180,39,45,46,00
181,38,45,44,00
182,36,45,44,00
183,35,45,43,00
184,35,45,42,00
185,36,45,41,00
186,38,46,40,00
187,37,46,40,00
188,35,46,40,00
189,36,46,40,00
190,36,45,41,00
191,37,45,41,00
192,37,45,42,00
193,37,45,42,00
194,35,44,43,00
195,35,44,43,00
196,34,43,42,00
197,33,42,41,00
198,33,41,38,00
199,33,40,35,00
200,33,39,31,00
201,33,39,27,00
202,33,38,23,00
203,33,37,19,00
204,33,37,15,00
205,33,36,13,00
