time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,60,00,00,00
1,65,00,00,00
2,71,00,00,00
3,76,00,00,00
4,81,00,00,00
5,86,00,00,00
6,89,00,00,00
7,91,00,00,00
8,94,00,00,00
9,96,00,00,00
10,98,00,00,00
11,98,00,00,00
12,97,00,00,00
13,97,00,00,00
14,97,00,00,00
15,95,00,00,00
16,92,00,00,00
17,89,00,00,00
18,85,00,00,00
19,80,00,00,00
20,76,00,00,00
21,72,00,00,00
22,69,00,00,00
23,67,00,00,00
24,63,00,00,00
25,61,00,00,00
26,58,00,00,00
27,56,00,00,00
28,53,00,00,00
29,51,79,40,00
30,49,79,41,00
31,48,78,43,00
32,47,77,46,00
33,46,76,48,00
34,45,75,51,00
35,44,73,52,00
36,42,72,54,00
37,40,70,55,00
38,42,68,55,00
39,41,67,55,00
40,40,65,54,00
41,40,63,53,00
42,40,61,51,00
43,39,59,49,00
44,39,57,46,00
45,38,55,42,00
46,37,53,39,00
47,37,51,35,00
48,37,50,32,00
49,37,48,29,00
50,36,47,26,00
51,36,46,23,00
52,36,45,21,00
53,35,44,19,00
54,34,43,17,00
55,34,42,15,00
56,33,41,13,00
57,33,40,12,00
58,33,40,11,00
59,33,39,10,00
60,31,38,09,00
61,30,38,09,00
62,30,37,08,00
63,30,37,08,00
64,29,36,08,00
65,28,36,08,00
66,27,35,08,00
67,27,35,09,00
68,28,34,08,00
69,29,34,08,00
70,28,34,08,00
71,29,33,08,00
72,29,33,08,00
73,29,32,07,00
74,29,32,07,00
75,29,32,07,00
76,29,32,06,00
77,30,31,06,00
78,30,31,05,00
79,31,31,05,00
80,32,31,04,00
81,33,31,04,00
82,34,31,03,00
83,35,31,03,00
84,35,31,03,00
85,36,31,04,00
86,37,31,04,00
87,38,31,05,00
88,39,31,06,00
89,39,31,07,00
90,39,32,07,00
91,40,32,08,00
92,39,32,09,00
93,39,32,09,00
94,40,33,09,00
95,41,33,10,00
96,41,34,10,00
97,41,34,10,00
98,40,35,10,00
99,39,35,10,00
100,39,35,09,00
101,38,36,09,00
102,36,36,08,00
103,35,36,08,00
104,34,36,07,00
105,33,36,07,00
106,31,36,06,00
107,31,36,06,00
108,29,36,06,00
109,29,36,07,00
110,28,36,07,00
111,28,36,08,00
112,27,36,09,00
113,26,35,10,00
114,26,35,11,00
115,25,35,12,00
116,25,34,12,00
117,25,34,13,00
118,25,34,13,00
119,23,33,14,00
120,22,33,14,00
121,23,32,15,00
122,23,31,15,00
123,23,31,15,00
124,23,30,15,00
125,23,30,14,00
126,22,29,14,00
127,22,29,13,00
128,22,28,12,00
129,21,27,11,00
130,22,27,10,00
131,22,26,09,00
132,21,26,08,00
133,21,25,07,00
134,20,25,06,00
135,20,24,06,00
136,20,24,05,00
137,18,24,05,00
138,17,23,05,00
139,17,23,05,00
140,15,22,05,00
141,15,22,06,00
142,15,21,06,00
143,15,21,06,00
144,14,21,06,00
145,14,20,07,00
146,14,20,07,00
147,14,20,07,00
148,14,19,07,00
149,14,19,07,00
150,14,19,07,00
151,13,18,07,00
152,13,18,07,00
153,14,18,07,00
154,15,17,06,00
155,14,17,06,00
156,14,17,06,00
157,14,17,06,00
158,13,16,05,00
159,14,16,05,00
160,13,16,04,00
161,13,15,04,00
162,12,15,03,00
163,13,15,03,00
164,13,15,02,00
165,13,14,01,00
166,12,14,01,00
167,11,14,00,00
168,11,14,00,00
169,11,14,00,00
170,10,13,00,00
171,11,13,00,00
172,10,13,01,00
173,09,13,01,00
174,09,13,01,00
175,09,13,02,00
176,09,12,02,00
177,09,12,02,00
178,09,12,02,00
179,08,12,02,00
180,09,12,03,00
181,08,11,03,00
182,09,11,03,00
183,09,11,03,00
184,08,11,03,00
185,07,11,03,00
186,07,10,03,00
187,06,10,03,00
188,05,10,04,00
189,05,10,04,00
190,04,09,04,00
191,05,09,04,00
192,07,09,04,00
193,05,09,04,00
194,05,08,03,00
195,05,08,03,00
196,03,08,03,00
197,02,07,03,00
198,01,07,04,00
199,01,07,04,00
200,02,07,04,00
201,01,06,04,00
202,02,06,04,00
203,03,06,04,00
204,04,06,04,00
205,04,05,04,00
206,06,05,04,00
207,08,05,04,00
208,11,05,04,00
209,14,06,05,00
210,17,06,07,00
211,21,06,09,00
212,26,07,13,00
213,32,08,18,00
214,38,09,23,00
215,43,10,28,00
216,49,11,33,00
217,56,13,40,00
218,62,15,46,00
219,67,17,52,00
220,73,19,58,00
221,78,22,65,00
222,83,24,71,00
223,88,27,77,00
224,91,30,82,00
225,94,33,87,00
226,97,36,91,00
227,98,39,94,00
228,99,42,97,00
229,00,42,97,00
230,99,46,98,00
231,98,49,99,00
232,96,52,99,00
233,92,55,97,00
234,89,58,95,00
235,87,60,92,01
236,84,63,89,01
237,80,65,84,01
238,78,68,80,01
239,75,70,75,01
240,71,71,70,01
241,68,73,65,01
242,64,74,61,01
243,61,75,58,01
244,59,76,56,01
245,56,76,54,01
246,53,77,53,01
247,52,76,54,01
248,51,76,55,01
249,49,75,56,01
250,48,75,58,01
251,46,73,60,01
252,45,72,61,01
253,43,71,62,01
254,40,69,63,01
255,39,67,63,01
256,39,65,63,01
257,38,63,62,01
258,38,61,60,01
259,37,62,53,01
260,38,60,52,01
261,37,58,49,01
262,37,56,46,01
263,36,55,44,01
264,36,53,41,01
265,35,51,38,01
266,34,49,36,01
267,34,48,33,01
268,33,46,30,01
269,33,45,27,01
270,33,44,25,01
271,32,43,22,01
272,32,41,20,01
273,31,40,19,01
274,30,40,17,01
275,30,39,15,01
276,29,38,14,01
277,28,37,13,01
278,28,36,12,01
279,27,36,11,01
280,27,35,11,01
281,27,34,10,01
282,27,34,09,01
283,26,33,09,01
284,26,33,09,01
285,27,32,09,00
286,26,32,09,00
287,26,31,09,00
288,27,31,08,00
289,26,31,08,00
290,26,30,08,00
291,27,30,07,00
292,27,30,06,00
293,27,29,06,00
294,27,29,05,00
295,28,29,05,00
296,29,29,04,00
