time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,14,00,00,01
1,13,00,00,01
2,09,00,00,01
3,04,00,00,01
4,01,00,00,01
5,00,00,00,01
6,05,00,00,01
7,14,00,00,01
8,18,00,00,01
9,26,00,00,01
10,28,00,00,01
11,36,00,00,01
12,35,00,00,01
13,35,00,00,01
14,35,00,00,01
15,30,00,00,01
16,28,00,00,01
17,23,00,00,01
18,20,00,00,01
19,22,00,00,01
20,16,00,00,01
21,17,00,00,01
22,16,00,00,01
23,19,00,00,01
24,19,00,00,01
25,15,00,00,01
26,19,00,00,01
27,20,00,00,01
28,16,00,00,01
29,20,19,10,01
30,17,19,09,01
31,22,19,09,01
32,25,20,08,01
33,25,21,06,01
34,31,22,03,01
35,40,23,00,01
36,41,24,00,01
37,40,25,01,01
38,45,26,05,01
39,45,27,08,01
40,41,27,10,01
41,31,27,09,01
42,32,27,09,01
43,27,27,08,01
44,19,26,08,01
45,17,26,08,01
46,16,25,09,01
47,11,25,11,01
48,13,25,12,01
49,09,24,14,01
50,10,24,15,01
51,34,24,16,01
52,03,24,19,01
53,08,24,21,01
54,23,24,20,01
55,48,25,24,01
56,53,26,29,01
57,59,27,35,01
58,45,28,36,01
59,49,29,38,01
60,75,31,49,01
61,86,33,62,01
62,75,35,69,01
63,55,36,71,01
64,93,38,83,01
65,66,39,86,01
66,53,39,87,01
67,25,39,87,01
68,44,39,87,01
69,52,39,88,01
70,33,39,88,01
71,19,38,89,01
72,16,38,91,01
73,40,38,90,01
74,17,38,91,01
75,13,38,91,01
76,48,39,90,01
77,16,39,89,01
78,53,41,87,01
79,71,43,86,01
80,52,44,82,01
81,89,46,89,01
82,77,48,85,01
83,69,51,80,01
84,99,53,85,01
85,88,54,89,01
86,87,55,93,01
87,90,57,97,01
88,80,58,98,01
89,73,58,99,01
90,62,58,98,01
91,43,57,96,01
92,46,56,95,01
93,36,55,96,01
94,43,53,91,01
95,34,52,92,01
96,42,52,92,01
97,26,52,92,01
98,20,51,95,01
99,30,50,97,01
100,19,50,99,01
101,20,50,99,01
102,33,51,96,01
103,51,51,95,01
104,59,52,91,01
105,70,54,86,00
106,68,55,87,00
107,77,57,82,00
108,80,58,84,00
109,82,58,86,00
110,74,59,87,00
111,72,58,84,00
112,62,58,82,00
113,50,57,82,00
114,46,55,75,00
115,43,54,71,00
116,29,52,69,00
117,25,50,65,00
118,29,48,62,00
119,15,46,64,00
120,15,45,67,00
121,15,44,71,00
122,11,42,75,00
123,11,42,79,00
124,08,40,83,00
125,10,40,86,00
126,18,39,88,00
127,31,39,88,00
128,41,40,86,00
129,48,40,86,00
130,58,42,85,00
131,62,43,85,00
132,69,44,87,00
133,66,45,89,00
134,67,45,90,00
135,64,45,88,00
136,57,44,87,00
137,48,43,83,00
138,41,42,78,00
139,37,41,71,00
140,33,39,66,00
141,29,38,62,00
142,28,37,59,00
143,20,36,59,00
144,12,35,61,00
145,12,34,63,00
146,07,33,66,00
147,13,32,68,00
148,15,32,69,00
149,11,32,70,00
150,12,32,70,00
151,20,32,69,00
152,24,32,68,00
153,41,33,66,00
154,56,35,65,00
155,58,37,64,00
156,62,38,65,00
157,68,39,69,00
158,67,40,72,00
159,60,41,73,00
160,58,41,73,00
161,46,40,71,00
162,40,39,68,00
163,29,38,65,00
164,24,36,61,00
165,17,35,59,00
166,18,34,58,00
167,18,33,58,00
168,18,32,59,00
169,13,31,60,00
170,17,30,61,00
171,11,30,63,00
172,12,29,64,00
173,13,29,65,00
174,19,29,64,00
175,26,30,63,00
176,35,31,60,00
177,43,32,60,00
178,56,33,61,00
179,61,35,62,00
