time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,16,00,00,00
1,21,00,00,00
2,17,00,00,00
3,21,00,00,00
4,22,00,00,00
5,27,00,00,00
6,25,00,00,00
7,28,00,00,00
8,29,00,00,00
9,34,00,00,00
10,37,00,00,00
11,42,00,00,00
12,40,00,00,00
13,51,00,00,00
14,51,00,00,00
15,52,00,00,01
16,53,00,00,01
17,56,00,00,01
18,58,00,00,01
19,63,00,00,01
20,57,00,00,01
21,63,00,00,01
22,63,00,00,01
23,54,00,00,01
24,55,00,00,01
25,54,00,00,01
26,55,00,00,01
27,46,00,00,01
28,45,00,00,01
29,44,43,44,01
30,40,44,41,01
31,32,44,39,01
32,32,44,36,01
33,35,45,34,01
34,36,45,32,01
35,26,45,32,01
36,30,45,31,01
37,24,45,32,01
38,15,45,35,01
39,21,44,37,01
40,20,44,40,01
41,10,43,44,01
42,15,42,47,01
43,12,41,49,01
44,10,39,52,01
45,08,38,54,01
46,07,36,56,01
47,13,35,57,01
48,07,33,57,02
49,07,31,56,02
50,07,30,55,02
51,10,28,53,02
52,09,26,50,02
53,04,24,48,02
54,02,23,47,02
55,09,21,43,02
56,09,20,39,02
57,07,18,36,02
58,09,17,33,02
59,09,16,29,02
60,09,15,26,02
61,16,14,24,02
62,12,14,22,02
63,11,13,19,02
64,11,12,14,02
65,07,11,12,03
66,09,11,09,03
67,04,10,07,03
68,10,10,07,03
69,07,09,05,03
70,08,09,02,03
71,07,09,03,03
72,09,09,02,03
73,08,09,02,03
74,05,08,02,03
75,08,08,02,03
76,08,08,02,03
77,07,08,01,03
78,06,08,01,03
79,05,08,02,03
80,05,08,02,03
81,04,08,02,03
82,09,08,02,03
83,02,08,02,03
84,08,08,01,03
85,02,08,02,03
86,06,08,02,03
87,04,08,02,03
88,05,07,02,03
89,02,07,03,03
90,13,07,04,03
91,06,07,02,03
92,06,07,02,03
93,09,07,01,03
94,08,07,01,03
95,00,06,02,03
96,10,06,02,03
97,01,06,02,03
98,07,06,02,03
99,07,06,02,03
100,08,06,02,03
101,05,06,02,02
102,02,06,02,02
103,07,06,02,02
104,05,06,02,02
105,11,06,03,02
106,05,06,03,02
107,04,06,03,02
108,07,06,03,02
109,06,06,03,02
110,06,06,03,02
111,05,06,03,02
112,10,06,03,02
113,10,06,03,02
114,06,06,03,02
115,10,06,03,02
116,12,07,04,02
117,05,07,03,02
118,06,07,03,02
119,06,07,03,02
120,08,07,02,02
121,01,06,03,02
122,05,06,03,02
123,06,06,03,02
124,09,06,03,02
125,04,07,02,02
126,12,07,02,01
127,09,07,02,01
128,05,07,02,01
129,06,07,02,01
130,14,07,03,01
131,11,07,03,01
132,11,07,03,01
133,09,08,03,01
134,08,08,03,01
135,05,07,03,01
136,10,08,03,01
137,07,08,02,01
138,10,08,02,01
139,06,08,02,01
140,07,08,02,01
141,09,08,02,01
142,06,08,02,01
143,11,08,02,01
144,09,08,02,00
145,12,08,02,00
146,08,08,02,00
147,14,08,03,00
148,13,08,03,00
149,11,09,03,00
150,14,09,03,00
151,17,09,03,00
152,12,10,03,00
153,15,10,03,00
154,17,10,04,00
