time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,14,00,00,01
1,22,00,00,01
2,19,00,00,01
3,16,00,00,01
4,17,00,00,01
5,16,00,00,01
6,15,00,00,01
7,10,00,00,01
8,16,00,00,01
9,11,00,00,01
10,15,00,00,01
11,16,00,00,01
12,12,00,00,01
13,10,00,00,01
14,14,00,00,01
15,10,00,00,01
16,10,00,00,01
17,08,00,00,01
18,17,00,00,01
19,11,00,00,01
20,08,00,00,01
21,04,00,00,01
22,16,00,00,01
23,06,00,00,01
24,07,00,00,00
25,08,00,00,00
26,10,00,00,00
27,10,00,00,00
28,04,00,00,00
29,08,12,11,00
30,07,12,12,00
31,08,11,10,00
32,05,11,09,00
33,06,10,09,00
34,01,10,10,00
35,06,10,09,00
36,03,09,09,00
37,02,09,10,00
38,01,08,10,00
39,05,08,10,00
40,06,08,09,00
41,00,07,09,00
42,00,07,09,00
43,02,07,10,00
44,02,06,09,00
45,05,06,09,00
46,03,06,08,00
47,05,06,08,00
48,03,05,06,00
49,05,05,05,00
50,02,05,05,00
51,04,05,05,00
52,13,05,04,00
53,08,05,04,00
54,08,05,04,00
55,12,05,05,00
56,17,05,08,00
57,16,06,10,00
58,21,06,14,00
59,25,07,19,00
60,24,07,23,00
61,30,08,29,00
62,32,09,35,00
63,35,10,40,00
64,34,11,44,00
65,44,12,52,00
66,45,14,58,00
67,47,15,63,00
68,51,17,69,00
69,52,18,75,00
70,52,20,79,00
71,58,22,84,00
72,62,24,89,00
73,57,26,91,00
74,64,28,95,00
75,61,30,97,00
76,61,32,97,00
77,65,34,99,00
78,67,36,99,00
79,70,38,99,00
80,65,40,96,00
81,66,42,93,00
82,74,44,94,00
83,71,46,91,00
84,70,48,86,01
85,71,50,82,01
86,75,52,79,01
87,73,54,74,01
88,71,56,69,01
89,73,57,65,01
90,78,59,60,01
91,73,61,55,01
92,74,62,50,01
93,66,63,45,01
94,71,64,37,01
95,70,65,33,01
96,71,66,29,01
97,72,67,25,01
98,75,68,22,01
99,70,68,19,01
100,74,69,15,01
101,75,70,13,01
102,74,70,13,01
103,75,71,10,01
104,74,71,09,01
105,74,71,07,01
106,76,72,05,01
107,74,72,04,01
108,72,72,03,01
109,74,72,03,01
110,73,73,01,01
111,77,73,00,01
112,78,73,01,01
113,74,73,01,01
114,76,73,01,01
115,79,74,01,01
116,76,74,02,01
117,82,74,04,01
118,83,74,06,01
119,79,75,06,01
120,80,75,07,01
121,83,75,08,01
122,82,75,09,01
123,83,76,08,01
124,83,76,09,01
125,81,77,08,01
126,86,77,09,01
127,85,78,10,01
128,92,78,14,01
129,83,79,13,01
130,91,79,15,00
131,86,79,15,00
132,85,80,15,00
133,92,80,17,00
134,87,81,17,00
135,90,81,17,00
136,87,82,17,00
137,93,82,18,00
138,92,83,18,00
139,96,84,19,00
140,95,85,19,00
141,95,85,19,00
142,97,86,20,00
143,94,86,19,00
144,93,87,18,00
145,95,88,18,00
146,92,88,16,00
147,97,89,16,00
148,99,89,18,00
149,97,90,17,00
150,97,90,16,00
151,95,91,16,00
152,93,91,14,00
153,96,91,14,00
154,90,92,12,00
155,92,92,10,00
156,92,92,09,00
157,91,92,08,00
158,90,92,08,00
159,90,93,06,00
160,94,93,06,00
161,88,93,06,00
162,86,93,05,00
163,87,93,06,00
164,82,92,08,00
165,82,92,10,00
166,79,92,13,00
167,80,91,16,00
168,84,91,17,00
169,78,91,19,00
170,78,90,20,00
171,74,89,23,00
172,70,88,27,00
173,75,88,28,00
174,70,87,31,00
175,68,86,34,00
176,67,85,37,00
177,65,84,39,00
178,62,83,41,00
179,64,82,42,00
180,65,81,43,00
181,57,80,45,00
182,59,78,47,00
183,53,77,49,00
184,56,76,51,00
185,50,75,53,00
186,45,73,56,00
187,49,72,58,00
188,50,70,58,00
189,50,69,58,00
190,49,67,56,00
191,52,66,54,00
192,42,65,55,01
193,37,63,57,01
194,38,62,58,01
195,48,60,56,01
196,43,59,56,01
197,41,58,55,01
198,41,57,52,01
199,36,55,51,01
200,40,54,49,01
201,42,53,46,01
202,42,52,45,01
203,42,51,41,01
204,39,50,38,01
205,40,49,36,01
206,39,48,33,01
207,43,47,30,01
208,41,46,28,01
209,37,46,25,01
210,43,45,20,01
211,42,44,18,01
212,41,44,15,01
213,37,43,14,02
214,41,43,11,02
215,43,42,10,02
216,43,42,09,02
217,40,42,09,02
218,49,42,08,02
219,40,42,07,02
220,41,41,06,02
221,43,41,03,02
222,46,41,03,02
223,37,41,03,02
224,42,41,03,02
225,38,41,02,02
226,37,41,02,02
227,42,41,02,02
228,36,41,03,02
229,36,41,03,02
230,41,41,03,02
231,38,41,03,02
232,36,40,04,02
233,38,40,04,02
234,35,40,05,02
235,37,40,05,02
236,37,40,05,02
237,36,40,05,02
238,32,39,07,02
239,29,39,09,02
240,36,39,09,02
241,29,39,11,01
242,29,38,12,01
243,29,38,14,01
244,34,38,14,01
245,28,37,15,01
246,28,37,15,01
247,31,36,16,01
248,30,36,13,01
249,28,35,14,01
250,27,35,14,01
251,27,34,14,01
252,26,34,12,01
253,29,33,13,01
254,26,33,12,01
255,25,32,13,01
256,22,32,14,01
257,20,31,14,01
258,28,31,14,01
259,18,30,16,01
260,20,30,16,01
261,24,29,15,01
262,20,29,16,01
263,20,28,15,01
264,19,27,16,01
265,18,27,15,01
266,20,26,14,01
267,16,26,14,01
268,14,25,16,01
269,21,25,16,01
270,16,24,15,01
271,14,24,16,01
272,19,23,16,01
