time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,56,00,00,01
1,61,00,00,01
2,60,00,00,01
3,62,00,00,01
4,66,00,00,01
5,67,00,00,01
6,66,00,00,01
7,50,00,00,01
8,25,00,00,01
9,06,00,00,01
10,04,00,00,01
11,25,00,00,01
12,59,00,00,01
13,76,00,00,01
14,87,00,00,01
15,75,00,00,01
16,78,00,00,01
17,83,00,00,01
18,77,00,00,01
19,71,00,00,01
20,67,00,00,01
21,59,00,00,01
22,67,00,00,01
23,65,00,00,01
24,65,00,00,01
25,67,00,00,01
26,63,00,00,01
27,55,00,00,01
28,46,00,00,01
29,46,58,61,01
30,53,58,62,01
31,60,58,62,01
32,65,58,62,01
33,67,59,62,01
34,64,59,62,01
35,57,58,61,01
36,60,58,61,01
37,64,58,61,01
38,61,60,57,01
39,43,61,47,01
40,28,62,37,01
41,14,61,42,01
42,14,60,51,01
43,28,58,54,01
44,56,57,50,01
45,89,58,53,01
46,97,58,57,01
47,96,59,60,01
48,85,59,62,01
49,85,59,63,01
50,79,60,64,01
51,77,60,65,01
52,73,61,66,01
53,70,61,66,01
54,74,61,66,01
55,73,61,67,01
56,73,62,67,01
57,63,62,67,01
58,50,62,67,01
59,50,62,66,01
60,49,62,66,01
61,46,62,67,01
62,48,61,68,01
63,57,61,68,01
64,57,61,68,01
65,59,61,68,01
66,56,60,68,01
67,56,60,68,01
68,54,60,68,01
69,54,60,67,01
70,50,61,64,01
71,50,62,56,01
72,53,64,47,01
73,55,64,42,00
74,54,64,42,00
75,58,63,39,00
76,61,62,34,00
77,63,61,27,00
78,66,60,23,00
79,67,60,19,00
80,65,59,17,00
81,67,59,15,00
82,64,59,13,00
83,61,58,12,00
84,67,58,11,00
85,65,58,09,00
86,66,58,07,00
87,71,58,09,00
88,78,59,12,00
89,80,60,15,00
90,74,61,15,00
91,65,61,14,00
92,59,62,12,00
93,51,62,13,00
94,37,61,18,00
95,27,60,25,00
96,11,58,38,00
97,08,57,49,00
98,05,55,59,00
99,08,54,66,00
100,24,53,69,00
101,32,52,70,00
102,58,52,70,00
103,63,52,70,00
104,84,53,73,00
105,86,54,76,00
106,92,55,80,00
107,90,56,83,00
108,88,57,86,00
109,91,58,88,00
110,85,59,90,00
111,80,59,91,00
112,79,59,92,00
113,85,60,93,00
114,86,61,95,00
115,87,62,96,00
116,76,62,97,00
117,71,62,97,00
118,66,62,96,00
119,66,61,95,00
120,58,61,95,00
121,52,60,95,00
122,52,60,95,00
123,55,60,95,00
124,63,61,94,00
125,70,62,91,00
126,68,64,84,00
127,67,66,75,00
128,59,68,63,00
129,57,70,49,00
130,54,71,41,00
131,51,71,36,00
132,46,71,38,00
133,49,70,40,00
134,50,69,41,00
135,54,68,41,00
136,54,67,39,00
137,54,66,37,00
138,56,65,34,00
139,57,64,31,00
140,53,63,29,00
141,53,62,28,00
142,54,61,26,00
143,56,60,22,00
144,57,59,17,00
145,57,58,10,00
146,57,57,07,00
147,62,57,05,00
148,61,57,04,00
149,63,57,03,00
150,60,57,03,00
151,60,57,03,00
152,62,57,03,00
153,61,57,03,00
154,61,57,03,00
155,56,57,01,00
156,48,56,00,00
157,39,55,03,00
158,22,54,14,00
159,15,53,24,00
160,10,51,34,00
161,09,50,43,00
162,11,49,49,00
163,12,47,54,00
164,25,47,56,00
165,39,46,56,00
166,60,46,56,00
167,72,47,58,00
168,86,48,63,00
169,91,49,69,00
170,99,50,76,00
171,95,52,82,00
172,90,53,85,00
173,88,54,89,00
174,89,55,92,00
175,88,56,94,00
176,76,57,95,00
177,69,57,95,00
178,71,58,96,00
179,70,58,96,00
180,71,58,96,00
181,76,59,97,00
182,72,59,98,00
183,73,59,98,00
184,63,59,98,00
185,48,59,98,00
186,44,59,99,00
187,47,59,98,00
188,55,60,94,00
189,57,62,89,00
190,56,63,82,00
191,61,65,73,00
192,58,67,64,00
193,57,68,53,00
194,55,69,46,00
195,54,70,43,00
196,51,69,44,00
197,51,69,46,00
198,44,67,47,00
199,53,66,45,00
200,52,64,41,00
201,53,63,37,00
202,60,62,33,00
203,64,61,29,00
204,63,60,24,00
205,59,59,19,00
206,65,59,17,00
207,60,59,16,00
208,61,58,15,00
209,59,58,14,00
210,59,58,12,00
211,58,57,09,00
212,59,57,07,00
213,59,56,04,00
214,67,56,05,00
215,70,57,06,00
216,72,58,06,01
217,70,59,06,01
218,61,59,06,01
219,54,59,06,01
220,34,58,12,01
221,26,57,20,01
222,08,55,34,01
223,00,53,48,01
224,01,52,58,01
225,02,50,66,01
226,11,48,71,01
227,24,48,72,01
228,47,48,72,01
229,56,48,72,01
230,70,48,74,01
231,81,49,77,01
232,80,50,79,00
233,82,51,81,00
234,83,51,84,00
235,82,52,86,00
236,79,52,88,00
237,78,53,89,00
238,77,54,90,00
239,79,54,92,00
240,85,55,94,00
241,89,56,97,00
242,82,57,98,00
243,75,57,99,00
244,70,58,99,00
245,65,57,99,00
246,59,57,98,00
247,57,56,98,00
248,55,56,98,00
249,53,56,98,00
250,50,57,97,00
251,50,58,95,00
252,56,59,88,00
253,54,61,78,00
254,54,63,67,00
255,61,65,54,00
256,64,66,41,00
257,67,68,32,00
258,62,68,30,00
259,60,69,30,00
260,59,68,30,00
261,57,67,30,00
262,53,66,30,00
263,55,66,29,00
264,47,64,29,00
265,48,63,29,00
266,51,62,28,00
267,53,61,27,00
268,60,61,25,00
269,60,60,23,00
270,61,59,19,00
271,58,58,12,00
272,60,58,07,00
273,60,57,03,00
274,57,57,01,00
275,54,56,00,00
276,52,56,00,00
277,53,56,00,00
278,58,56,00,00
279,62,57,01,00
280,68,57,02,00
281,68,58,03,01
282,66,58,03,01
283,59,58,03,01
284,44,58,05,01
285,36,57,10,01
286,20,56,20,01
287,08,54,33,01
288,00,52,45,01
289,02,50,54,01
290,10,48,59,01
291,12,47,63,01
292,32,46,64,01
293,48,46,64,01
294,71,46,66,01
295,79,47,69,01
296,94,49,75,01
297,94,50,81,01
298,90,51,85,01
299,93,52,89,01
