time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,71,00,00,00
1,56,00,00,00
2,73,00,00,00
3,77,00,00,00
4,73,00,00,00
5,88,00,00,00
6,91,00,00,00
7,83,00,00,00
8,91,00,00,00
9,80,00,00,00
10,70,00,00,00
11,66,00,00,00
12,64,00,00,00
13,62,00,00,00
14,65,00,00,00
15,70,00,00,01
16,71,00,00,01
17,71,00,00,01
18,68,00,00,01
19,64,00,00,01
20,60,00,00,01
21,63,00,00,01
22,58,00,00,01
23,56,00,00,01
24,58,00,00,01
25,57,00,00,01
26,59,00,00,01
27,58,00,00,01
28,59,00,00,01
29,61,68,28,01
30,65,68,28,01
31,63,68,27,01
32,66,68,27,01
33,63,67,27,01
34,65,67,27,01
35,65,66,24,01
36,66,66,20,01
37,66,65,18,01
38,70,64,12,01
39,68,64,09,01
40,69,64,09,01
41,72,64,10,01
42,72,64,10,01
43,70,65,11,01
44,68,65,11,01
45,69,65,11,01
46,70,65,11,01
47,74,65,11,01
48,74,65,12,01
49,72,65,12,01
50,76,66,13,01
51,75,66,14,01
52,73,67,13,01
53,78,67,13,01
54,75,68,13,01
55,79,69,13,01
56,75,69,12,01
57,74,70,11,01
58,74,70,10,01
59,76,71,09,01
60,77,71,09,01
61,78,72,09,01
62,80,72,09,01
63,74,73,08,01
64,76,73,07,01
65,76,73,07,01
66,72,73,06,01
67,78,74,05,01
68,77,74,05,00
69,76,74,05,00
70,79,75,05,00
71,78,75,05,00
72,79,75,05,00
73,78,75,05,00
74,78,76,04,00
75,78,76,03,00
76,76,76,02,00
77,76,76,02,00
78,75,76,02,00
79,74,76,01,00
80,75,76,01,00
81,77,76,01,00
82,72,76,01,00
83,68,76,03,00
84,70,76,03,00
85,72,76,04,00
86,73,76,04,00
87,71,75,04,00
88,74,75,04,00
89,70,75,05,00
90,71,75,05,00
91,69,75,06,00
92,67,74,06,00
93,69,74,06,00
94,72,74,06,00
95,65,74,07,00
96,67,73,08,00
97,67,73,08,00
98,72,73,08,00
99,67,73,08,00
100,67,72,08,00
101,66,72,08,00
102,68,71,07,00
103,68,71,07,00
104,68,71,06,00
105,69,71,05,00
106,63,70,06,00
107,51,69,10,00
108,28,68,23,00
109,03,65,42,00
110,01,63,55,00
111,04,60,64,00
112,08,58,70,00
113,14,56,74,00
114,27,55,76,00
115,55,54,75,00
116,72,54,75,00
117,76,55,76,00
118,75,55,76,00
119,77,55,76,00
120,77,55,77,00
121,77,55,77,00
122,79,56,78,00
123,77,56,79,00
124,80,56,80,00
125,79,57,81,00
126,80,57,81,00
127,81,58,82,00
128,85,58,83,00
129,83,59,85,00
130,86,59,86,00
131,90,60,88,00
132,91,61,89,00
133,88,61,91,00
134,91,62,92,00
135,93,63,94,00
136,90,64,95,00
137,90,65,96,00
138,91,67,94,00
139,89,70,87,00
140,87,73,77,00
141,80,76,65,00
142,77,78,52,00
143,74,80,36,00
144,68,81,21,00
145,71,82,17,00
146,64,82,19,00
147,71,81,19,01
148,69,81,20,01
149,71,81,21,01
150,67,81,22,01
151,72,80,23,01
152,69,80,23,01
153,70,80,24,01
154,66,79,25,01
155,69,79,26,00
156,72,79,26,00
