time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,88,00,00,00
1,84,00,00,00
2,91,00,00,00
3,87,00,00,00
4,87,00,00,00
5,87,00,00,00
6,92,00,00,00
7,91,00,00,00
8,86,00,00,00
9,93,00,00,00
10,89,00,00,00
11,99,00,00,00
12,90,00,00,00
13,88,00,00,00
14,91,00,00,00
15,90,00,00,00
16,90,00,00,00
17,91,00,00,00
18,92,00,00,00
19,90,00,00,00
20,89,00,00,00
21,88,00,00,00
22,92,00,00,00
23,90,00,00,00
24,88,00,00,00
25,88,00,00,00
26,92,00,00,00
27,88,00,00,00
28,89,00,00,00
29,82,89,03,00
30,87,89,03,00
31,81,89,03,00
32,84,89,04,00
33,88,89,04,00
34,93,89,04,00
35,85,89,04,00
36,87,89,04,00
37,88,89,04,00
38,89,89,04,00
39,84,89,04,00
40,86,89,04,00
41,88,88,02,00
42,86,88,02,00
43,86,88,02,00
44,86,88,02,00
45,73,87,05,00
46,66,87,10,00
47,55,85,18,00
48,43,84,27,00
49,44,82,33,00
50,38,80,40,00
51,34,79,46,00
52,23,76,54,00
53,25,74,60,00
54,17,72,67,00
55,20,70,71,00
56,12,67,76,00
57,07,64,82,00
58,09,62,86,00
59,14,59,89,00
60,10,57,91,00
61,08,54,94,00
62,05,52,96,00
63,05,49,97,00
64,12,46,95,00
65,25,44,94,00
66,36,43,91,00
67,53,41,87,00
68,56,40,84,00
69,60,39,81,00
70,71,39,79,00
71,72,38,76,00
72,72,38,74,00
73,80,38,73,00
74,81,38,72,00
75,80,38,73,00
76,81,38,75,00
77,81,39,78,00
78,86,41,82,00
79,83,42,85,00
80,82,43,87,00
81,88,45,90,00
82,85,47,92,00
83,85,49,93,00
84,80,51,93,00
85,86,53,93,00
86,84,56,92,00
87,88,59,89,00
88,91,61,86,00
89,90,64,84,01
90,81,66,79,01
91,90,69,73,01
92,87,72,64,01
93,88,74,53,01
94,87,77,42,01
95,93,79,32,01
96,87,81,24,01
97,86,82,19,01
98,88,83,15,01
99,89,84,10,01
100,90,85,09,01
101,89,85,07,01
102,88,86,05,01
103,91,86,05,01
104,87,86,04,01
105,91,87,04,01
106,90,87,03,01
107,90,87,03,01
108,88,87,03,01
109,88,88,03,01
110,88,88,02,01
111,86,88,02,01
112,86,88,02,01
113,86,88,02,01
114,83,88,01,01
115,91,88,01,01
116,90,88,01,01
117,87,88,01,01
118,84,88,01,01
119,87,88,01,01
120,90,88,00,01
121,92,88,00,01
122,85,88,01,01
123,91,88,01,01
124,93,88,01,01
125,85,88,01,01
126,88,88,01,01
127,84,88,01,01
128,90,88,01,01
129,85,88,01,01
130,94,88,02,01
131,87,88,02,01
132,88,88,02,01
133,90,88,02,01
134,88,88,02,01
135,90,88,02,01
136,88,88,02,00
137,84,88,02,00
138,87,88,02,00
139,91,88,02,00
140,93,88,02,00
141,83,88,03,00
142,87,88,03,00
143,79,88,04,00
144,71,87,08,00
145,55,86,16,00
146,55,85,22,00
147,44,84,30,00
148,37,82,38,00
149,35,80,45,00
150,27,78,53,00
151,20,76,60,00
152,18,74,67,00
153,17,71,73,00
154,17,69,78,00
155,17,66,82,00
156,13,64,86,00
157,08,61,90,00
158,06,58,93,00
159,05,56,96,00
160,03,53,98,00
161,06,50,99,00
162,08,47,99,00
163,06,45,98,00
164,13,42,97,00
165,09,39,94,00
166,15,37,91,00
167,08,34,89,00
168,11,32,85,00
169,18,29,78,00
170,24,27,70,00
171,25,25,63,00
172,34,23,54,00
173,34,22,45,00
174,43,21,38,00
175,46,21,37,00
176,58,21,37,00
177,60,21,41,00
178,77,23,49,00
179,88,24,60,00
180,83,26,67,00
181,89,29,75,00
182,87,31,81,00
183,83,33,85,00
184,87,35,89,00
185,90,38,93,00
186,81,40,95,00
187,86,43,96,00
188,88,45,97,00
189,86,48,97,00
190,85,51,95,00
191,90,54,94,00
192,87,56,92,01
193,85,59,89,01
194,90,62,87,01
195,89,64,83,01
196,86,67,79,01
197,89,69,73,01
198,91,72,67,01
199,91,74,61,01
200,88,77,54,01
201,87,79,47,01
202,92,81,41,01
203,85,82,33,01
204,88,84,26,01
205,88,85,17,01
206,91,86,11,01
207,86,87,03,01
208,87,87,01,01
209,85,87,02,01
210,92,88,02,01
211,92,88,02,01
212,90,88,02,02
213,86,88,01,02
214,90,88,02,02
215,91,88,02,02
216,89,88,00,02
217,91,89,00,02
218,89,89,00,02
219,86,89,00,02
220,85,89,00,02
221,85,88,01,02
222,92,89,01,02
223,88,89,01,02
224,86,88,01,02
225,89,88,01,02
226,87,89,01,02
227,84,88,01,02
228,85,88,01,02
229,86,88,01,02
230,82,88,02,02
231,86,88,02,02
232,88,88,01,02
233,85,88,01,02
234,90,88,01,02
235,87,88,01,02
236,85,87,01,02
237,89,88,01,02
238,83,87,02,01
239,89,88,02,01
240,80,87,02,01
241,84,87,02,01
242,84,87,02,01
243,85,87,02,01
244,87,87,02,01
245,79,86,03,01
246,80,86,03,01
247,77,85,04,01
248,77,85,05,01
249,69,84,08,01
250,77,84,08,01
251,72,84,10,01
252,67,83,12,01
253,56,82,17,01
254,50,81,22,01
255,48,79,27,01
256,36,78,35,01
257,14,75,47,01
258,05,73,59,00
259,00,70,70,00
260,02,67,78,00
261,13,65,83,00
262,31,63,84,00
263,43,61,83,00
264,47,60,82,00
265,55,59,81,00
266,63,58,80,00
267,67,57,78,00
268,72,57,77,00
269,71,56,75,00
270,84,57,76,00
271,75,56,75,00
272,80,56,75,00
273,80,56,74,00
274,76,56,73,00
275,90,56,74,00
276,83,56,75,00
277,86,56,75,00
278,81,56,76,00
279,85,57,77,00
280,80,57,77,00
281,84,58,78,00
282,83,58,79,00
283,85,59,81,00
284,87,60,82,00
285,84,61,82,00
286,91,63,83,00
287,90,66,79,00
288,90,69,73,00
289,84,71,63,00
290,87,74,51,00
291,87,77,39,00
292,87,79,31,00
293,84,80,25,00
294,87,81,19,00
295,91,82,15,00
296,91,83,12,00
297,86,84,10,00
298,89,85,08,00
299,95,85,08,00
