time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,65,00,00,00
1,68,00,00,00
2,62,00,00,00
3,65,00,00,01
4,63,00,00,01
5,63,00,00,01
6,61,00,00,01
7,64,00,00,01
8,64,00,00,01
9,63,00,00,01
10,60,00,00,01
11,60,00,00,01
12,62,00,00,01
13,60,00,00,01
14,56,00,00,01
15,56,00,00,01
16,53,00,00,01
17,53,00,00,01
18,51,00,00,01
19,50,00,00,01
20,47,00,00,01
21,47,00,00,01
22,46,00,00,01
23,49,00,00,01
24,50,00,00,01
25,53,00,00,01
26,60,00,00,01
27,57,00,00,01
28,65,00,00,01
29,62,58,28,01
30,63,58,28,01
31,68,58,28,01
32,69,58,29,01
33,65,58,29,01
34,71,58,32,01
35,73,59,34,02
36,69,59,36,02
37,72,59,37,02
38,71,59,39,02
39,72,60,40,02
40,67,60,41,02
41,68,60,42,02
42,65,60,42,02
43,67,61,42,02
44,66,61,43,02
45,68,61,43,02
46,70,62,43,02
47,73,63,43,02
48,67,63,42,02
49,67,64,40,02
50,70,64,37,01
51,69,65,33,01
52,72,66,28,01
53,70,67,23,01
54,69,67,17,01
55,70,68,12,01
56,68,68,11,01
57,71,69,07,01
58,71,69,06,01
59,70,69,05,01
60,72,69,03,01
61,69,69,03,01
62,74,70,04,01
63,72,70,04,01
64,72,70,04,01
65,75,70,04,01
66,71,70,04,01
67,71,70,04,01
68,74,70,05,01
69,75,70,06,01
70,75,70,06,01
71,71,70,06,01
72,73,71,05,01
73,74,71,05,01
74,69,71,04,01
75,70,71,04,01
76,68,71,04,01
77,71,71,04,01
78,70,71,03,01
79,70,71,03,01
80,69,71,03,01
81,71,71,02,01
82,70,71,02,01
83,71,71,02,01
84,71,71,02,01
85,74,71,02,01
86,75,72,03,01
87,73,72,03,01
88,71,72,03,01
89,73,72,03,01
90,73,72,03,01
91,75,72,03,01
92,73,72,03,01
93,75,72,03,01
94,76,72,04,01
95,66,72,05,01
96,35,71,32,01
97,04,69,73,01
98,38,67,78,01
99,86,68,80,01
100,96,68,85,01
101,88,69,87,01
102,81,69,88,01
103,78,69,88,01
104,74,70,88,01
105,70,70,88,01
106,74,70,88,01
107,71,70,88,01
108,70,70,88,01
109,71,70,88,01
110,69,70,88,01
111,69,70,88,01
112,65,70,88,01
113,72,70,88,01
114,69,70,88,01
115,69,69,88,01
116,68,69,88,01
117,68,69,88,01
118,69,69,88,01
119,60,68,88,01
120,61,68,88,01
121,61,68,88,01
122,56,67,89,01
123,59,66,89,01
124,62,66,88,01
125,55,66,89,01
126,57,66,84,01
127,65,68,54,01
128,61,69,46,01
129,60,68,44,01
130,61,67,34,01
131,65,66,28,01
132,63,66,24,01
133,66,65,22,01
134,69,65,21,01
135,65,65,20,01
136,67,65,19,01
137,67,65,18,01
138,70,65,18,01
139,69,65,17,01
140,70,65,17,01
141,70,65,18,01
142,71,65,18,01
143,73,65,19,01
144,71,65,19,01
145,72,65,20,01
146,69,65,20,01
147,72,65,21,01
148,73,65,22,01
149,72,66,22,01
150,71,66,22,01
151,74,67,23,01
152,71,67,21,01
153,73,68,20,01
154,69,68,19,01
155,70,68,16,01
156,73,69,14,01
157,73,69,14,01
158,74,69,13,01
159,74,70,10,01
160,71,70,08,01
161,73,71,07,01
162,73,71,05,01
163,72,71,04,01
164,78,71,06,01
165,74,72,04,01
166,73,72,04,01
167,74,72,03,01
168,75,72,03,01
169,70,72,02,01
170,72,72,02,01
171,71,72,02,01
172,73,72,02,01
173,70,72,02,01
174,71,72,02,01
175,72,72,02,01
176,70,72,02,02
177,72,72,02,02
178,67,72,03,02
179,70,72,03,02
180,68,72,04,02
181,75,72,04,02
182,78,72,05,02
183,68,72,06,02
184,70,72,05,02
185,67,72,06,02
186,66,72,07,02
187,69,72,08,02
188,68,71,08,02
189,72,71,08,02
190,69,71,08,02
191,69,71,08,02
192,71,71,08,02
193,69,71,08,02
194,71,71,06,02
195,70,71,06,02
196,67,71,06,02
197,68,70,06,02
198,68,70,05,02
199,71,70,05,02
200,74,70,05,01
201,79,71,08,01
202,74,71,08,01
203,76,71,09,01
204,77,71,10,01
205,75,71,11,01
206,69,71,11,01
207,69,71,11,01
208,74,71,11,01
209,69,71,11,01
210,69,71,11,01
211,63,71,12,01
212,69,70,11,01
213,62,70,12,01
214,66,70,13,01
215,68,70,13,01
216,62,70,14,01
217,63,70,15,01
218,65,70,15,01
219,68,70,15,01
220,64,69,16,01
221,60,69,18,01
222,56,69,21,01
223,56,68,24,01
224,54,68,27,01
225,58,67,28,01
226,63,67,28,01
227,68,67,28,01
228,64,67,28,01
229,69,67,28,01
230,73,67,28,01
231,72,66,26,01
232,74,66,26,01
233,71,66,25,01
234,73,66,24,01
235,71,66,23,01
236,73,66,24,01
237,72,66,24,01
238,73,66,24,01
