time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,12,00,00,00
1,10,00,00,00
2,16,00,00,00
3,16,00,00,00
4,21,00,00,00
5,57,00,00,00
6,79,00,00,00
7,82,00,00,00
8,90,00,00,00
9,87,00,00,00
10,80,00,00,00
11,75,00,00,00
12,80,00,00,00
13,70,00,00,00
14,68,00,00,00
15,69,00,00,00
16,65,00,00,00
17,66,00,00,00
18,64,00,00,00
19,58,00,00,01
20,59,00,00,01
21,23,00,00,01
22,15,00,00,01
23,05,00,00,01
24,02,00,00,01
25,03,00,00,01
26,05,00,00,01
27,09,00,00,01
28,10,00,00,01
29,09,43,41,01
30,32,44,34,01
31,64,46,27,01
32,83,48,30,01
33,87,51,32,01
34,94,53,39,01
35,96,54,53,01
36,90,55,58,01
37,86,55,59,01
38,82,55,56,01
39,80,54,52,01
40,73,54,50,01
41,71,54,49,01
42,76,54,48,01
43,74,54,49,01
44,65,54,48,01
45,56,53,46,01
46,24,52,51,01
47,16,50,60,01
48,08,48,71,01
49,05,47,83,01
50,11,45,91,01
51,09,45,96,01
52,09,44,99,01
53,16,45,94,01
54,11,45,89,01
55,16,45,83,01
56,39,47,71,01
57,69,49,63,01
58,87,51,61,01
59,93,54,59,01
60,95,56,67,01
61,90,57,75,01
62,80,57,73,01
63,84,57,72,01
64,69,56,63,01
65,74,55,53,01
66,75,55,47,01
67,74,54,43,01
68,69,54,38,01
69,69,53,35,01
70,69,53,33,01
71,59,53,31,01
72,22,51,34,01
73,10,49,42,01
74,07,47,52,01
75,04,45,65,01
76,12,45,70,01
77,12,45,72,01
78,12,45,69,01
79,17,45,63,01
80,14,45,62,01
81,27,46,54,01
82,68,48,46,01
83,80,50,45,01
84,85,53,41,01
85,90,55,40,01
86,92,57,48,01
87,85,57,53,01
88,84,57,52,01
89,86,57,48,01
90,75,56,40,01
91,64,56,31,01
92,67,55,27,01
93,61,54,20,01
94,59,54,19,01
95,60,54,16,01
96,51,53,12,01
97,18,51,17,01
98,04,49,31,01
99,03,46,44,01
100,10,44,50,01
101,06,43,58,01
102,08,42,64,01
103,09,42,65,01
104,15,43,61,01
105,15,43,55,01
106,13,43,54,01
107,53,44,47,01
108,75,46,46,01
109,91,49,53,01
110,99,52,61,01
111,97,54,70,01
112,94,55,81,01
113,87,55,83,01
114,78,55,81,01
115,75,54,75,01
116,79,54,69,01
117,77,54,66,01
118,73,53,62,01
119,77,53,58,01
120,70,53,56,01
121,72,53,58,01
122,57,53,57,01
123,18,51,65,01
124,17,50,73,01
125,09,48,83,01
126,07,47,95,01
127,15,47,96,01
128,17,47,90,01
129,14,48,83,01
130,12,48,82,01
131,17,48,77,01
132,19,48,71,01
133,58,50,60,01
134,80,52,56,01
135,87,55,54,01
136,95,57,52,01
137,88,58,58,01
138,83,59,61,01
139,84,58,58,01
140,85,58,51,01
141,81,57,43,01
142,78,57,36,01
143,72,56,31,01
144,75,56,30,01
145,70,56,28,01
146,68,56,25,01
147,69,56,23,01
148,41,54,22,01
149,15,52,29,01
150,08,50,41,01
151,11,48,49,01
152,08,47,60,01
153,17,47,60,01
154,14,47,62,01
155,17,47,58,01
156,14,47,54,01
157,17,47,53,01
158,18,47,52,01
159,60,49,45,01
160,76,51,39,01
161,83,53,37,01
162,93,56,39,01
163,87,56,46,01
164,84,57,48,01
165,81,56,45,01
166,80,56,38,01
167,76,56,33,01
168,78,55,31,01
169,73,55,27,01
170,75,55,23,01
171,76,54,21,01
172,73,54,19,01
173,64,54,17,01
174,59,53,14,01
175,25,52,18,01
176,07,50,31,01
177,08,48,42,01
178,13,47,50,01
179,14,47,51,01
180,13,47,48,01
181,17,47,45,01
182,14,48,41,01
183,13,47,44,01
184,19,48,41,01
185,52,49,34,01
186,72,51,27,01
187,87,53,28,01
188,86,55,25,01
189,91,56,35,01
190,82,56,37,01
