time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,00,00,00,00
1,01,00,00,00
2,13,00,00,00
3,29,00,00,00
4,45,00,00,00
5,56,00,00,00
6,58,00,00,00
7,61,00,00,00
8,67,00,00,00
9,68,00,00,00
10,68,00,00,00
11,66,00,00,00
12,58,00,00,00
13,43,00,00,00
14,34,00,00,00
15,28,00,00,00
16,23,00,00,00
17,20,00,00,00
18,17,00,00,00
19,14,00,00,00
20,10,00,00,00
21,07,00,00,00
22,05,00,00,00
23,03,00,00,00
24,03,00,00,00
25,06,00,00,00
26,27,00,00,00
27,45,00,00,00
28,65,00,00,00
29,74,34,78,00
30,81,37,81,00
31,87,39,84,00
32,87,42,88,00
33,85,44,92,00
34,83,45,96,00
35,76,46,98,00
36,68,46,99,00
37,55,46,99,00
38,49,45,97,00
39,42,44,96,00
40,43,43,94,00
41,37,42,93,00
42,34,42,93,00
43,32,41,93,00
44,29,41,93,00
45,29,41,93,00
46,30,41,92,00
47,31,42,91,00
48,29,42,90,00
49,29,43,89,00
50,38,44,86,00
51,47,45,81,00
52,56,47,77,00
53,62,49,71,00
54,67,51,65,00
55,68,53,58,00
56,68,54,56,00
57,66,55,56,00
58,61,55,56,00
59,56,54,55,00
60,52,53,52,00
61,49,52,47,00
62,45,51,42,00
63,43,49,36,00
64,42,48,30,00
65,38,47,26,00
66,29,45,25,00
67,26,44,27,00
68,20,43,30,00
69,21,43,32,00
70,20,42,35,00
71,21,41,37,00
72,33,41,37,00
73,36,41,37,00
74,49,42,36,00
75,58,43,36,00
76,64,44,38,00
77,73,45,40,00
78,77,47,43,00
79,80,49,46,00
80,82,50,50,00
81,85,52,55,00
82,86,53,59,00
83,84,53,62,00
84,80,54,64,00
85,76,54,65,00
86,73,54,66,00
87,64,54,65,00
88,54,54,65,00
89,50,54,65,00
90,47,53,65,00
91,49,53,65,00
92,49,54,65,00
93,39,53,66,00
94,29,53,67,00
95,32,53,68,00
96,31,53,67,00
97,32,53,67,00
98,52,54,63,00
99,68,56,59,00
100,74,58,55,00
101,79,59,51,00
102,83,61,50,00
103,87,63,50,00
104,90,64,52,00
105,90,65,54,00
106,90,66,57,00
107,88,67,58,00
108,83,67,59,00
109,77,67,59,00
110,74,66,58,00
111,65,66,57,00
112,53,65,56,00
113,47,63,55,00
114,43,62,56,00
115,41,61,56,00
116,33,60,59,00
117,26,58,62,00
118,26,58,66,00
119,31,57,68,00
120,29,56,70,00
121,30,56,72,00
122,47,56,72,00
123,67,57,72,00
124,79,58,71,00
125,85,60,70,00
126,89,62,70,00
127,93,64,70,00
128,96,65,73,00
129,98,66,76,00
130,98,67,79,00
131,99,68,81,00
132,90,68,82,00
133,73,68,81,00
134,65,67,79,00
135,59,66,78,00
136,54,65,76,00
137,49,63,75,00
138,45,62,75,00
139,39,61,76,00
140,38,60,77,00
141,35,59,78,00
142,29,58,81,00
143,31,57,83,00
144,38,57,83,00
145,32,57,84,00
146,47,57,83,00
147,65,59,80,00
148,73,60,77,00
149,87,62,76,00
150,93,64,75,00
151,95,66,74,00
152,90,68,75,00
153,93,69,77,00
154,94,69,78,00
155,88,69,79,00
156,83,69,78,01
157,72,68,76,01
158,63,67,74,01
159,57,66,71,01
160,50,64,68,01
161,47,63,65,01
162,46,61,63,01
163,40,60,64,01
164,35,59,66,01
165,32,58,68,01
166,35,57,70,01
167,38,57,71,01
168,32,57,72,01
169,33,56,73,01
170,44,57,72,01
171,57,57,71,01
172,73,59,69,01
173,87,61,68,01
174,92,62,70,01
175,95,64,70,01
176,96,66,72,01
177,97,67,75,01
178,90,68,76,01
179,84,68,76,01
180,77,67,74,01
181,66,66,71,01
182,54,65,70,01
183,49,63,68,01
184,46,62,66,01
185,47,60,64,01
186,38,59,64,01
187,31,58,66,01
188,29,56,68,01
189,25,55,71,01
190,77,56,73,01
191,69,57,73,01
192,58,57,72,01
193,63,58,72,01
194,70,59,70,01
195,72,61,68,01
196,68,62,66,01
197,70,63,64,01
198,67,64,60,01
199,74,65,57,01
200,75,66,56,01
