time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,33,00,00,00
1,34,00,00,00
2,37,00,00,00
3,38,00,00,00
4,32,00,00,00
5,32,00,00,00
6,33,00,00,00
7,31,00,00,00
8,29,00,00,00
9,29,00,00,00
10,29,00,00,00
11,29,00,00,00
12,28,00,00,00
13,26,00,00,00
14,25,00,00,00
15,23,00,00,00
16,22,00,00,00
17,21,00,00,00
18,20,00,00,00
19,16,00,00,00
20,16,00,00,00
21,20,00,00,01
22,22,00,00,01
23,23,00,00,01
24,26,00,00,01
25,30,00,00,01
26,33,00,00,01
27,33,00,00,01
28,37,00,00,01
29,43,28,29,01
30,46,29,33,01
31,48,29,37,01
32,49,30,40,01
33,51,30,43,01
34,52,31,47,01
35,53,31,51,01
36,55,32,54,01
37,56,33,58,01
38,57,34,61,01
39,57,35,64,01
40,57,36,67,01
41,57,37,69,01
42,60,38,71,01
43,58,39,73,01
44,57,40,73,01
45,55,41,73,01
46,52,42,71,01
47,53,43,69,01
48,54,44,67,01
49,52,45,62,01
50,52,47,57,01
51,53,48,52,01
52,55,49,47,01
53,55,50,42,01
54,55,51,36,01
55,55,52,32,01
56,52,52,27,01
57,52,53,21,01
58,54,54,16,01
59,52,54,13,01
60,52,54,11,01
61,53,54,10,01
62,54,54,09,01
63,51,54,09,01
64,50,54,10,01
65,49,54,10,01
66,50,54,11,01
67,52,54,11,01
68,52,54,11,01
69,51,54,11,01
70,50,53,11,01
71,51,53,10,01
72,50,53,09,01
73,49,52,08,02
74,51,52,07,02
75,52,52,07,02
76,50,52,07,02
77,49,52,07,02
78,49,52,08,01
79,49,52,08,01
80,49,51,08,01
81,49,51,08,01
82,51,51,08,01
83,51,51,07,01
84,52,51,06,01
85,52,51,06,01
86,50,51,06,01
87,50,51,05,01
88,53,51,05,01
89,49,51,05,01
90,49,50,05,01
91,48,50,05,01
92,48,50,04,01
93,49,50,04,01
94,49,50,04,01
95,50,50,04,01
96,50,50,04,01
97,49,50,04,01
98,49,50,04,01
99,50,50,04,01
100,51,50,04,01
101,49,50,04,01
102,48,50,04,01
103,48,50,04,01
104,48,50,04,01
105,49,50,04,01
106,50,50,04,01
107,51,50,04,01
108,50,50,04,01
109,51,50,04,01
110,52,50,05,01
111,51,50,05,01
112,51,50,05,01
113,52,50,05,01
114,51,50,05,01
115,51,50,04,01
116,51,50,04,01
117,51,50,04,01
118,50,50,04,01
119,49,50,04,01
120,49,50,04,01
121,49,50,04,01
122,49,50,03,01
123,49,50,03,01
124,49,50,03,01
125,49,50,03,01
126,49,50,03,01
127,49,50,03,01
128,51,50,04,01
129,65,50,13,01
130,89,52,35,01
131,99,53,53,01
132,65,54,54,01
133,35,53,56,01
134,34,53,58,01
135,31,52,61,01
136,25,52,65,01
137,13,50,73,01
138,02,49,84,01
139,00,47,93,01
140,11,46,98,01
141,29,45,99,01
142,43,45,99,01
143,49,45,98,01
144,49,45,98,01
145,50,45,98,01
146,51,45,98,01
147,51,45,98,01
148,51,45,98,01
149,51,45,98,01
150,51,45,99,01
151,51,45,99,01
152,51,45,99,01
153,51,45,99,01
154,51,45,99,01
155,51,45,99,01
156,51,45,99,01
157,51,45,99,01
158,51,45,99,01
159,51,45,98,01
160,51,43,89,00
161,51,42,75,00
162,51,41,73,00
163,51,42,73,00
164,51,42,73,00
165,52,43,73,00
166,52,44,71,00
167,52,45,66,00
168,51,47,55,00
169,51,48,37,00
170,52,50,18,00
171,51,50,05,00
172,51,51,01,00
173,51,51,01,00
174,51,51,00,00
175,51,51,00,00
176,50,51,00,00
177,49,51,01,00
178,49,51,01,00
179,49,51,02,00
180,49,51,02,00
181,49,51,02,00
182,48,50,03,00
183,47,50,04,00
184,46,50,05,00
185,45,50,06,00
186,44,50,08,00
187,44,50,09,00
188,43,49,10,00
189,43,49,11,00
190,43,49,12,00
191,42,48,13,00
192,43,48,14,00
193,44,48,14,00
194,44,48,14,00
195,45,48,14,00
196,47,47,14,00
197,48,47,13,00
198,49,47,13,00
199,49,47,13,00
200,49,47,13,00
201,49,47,12,00
202,50,47,12,00
203,51,47,12,00
204,52,47,12,00
205,52,47,13,00
206,53,47,13,00
207,53,47,14,00
208,53,47,15,00
209,52,48,15,00
210,52,48,16,00
211,51,48,16,00
212,56,48,17,00
213,56,48,19,00
214,56,49,19,00
215,56,49,20,00
216,56,49,21,00
217,54,50,21,00
218,56,50,20,00
219,56,51,20,00
220,53,51,19,00
221,53,51,17,00
222,52,52,16,00
223,53,52,14,00
224,52,52,13,00
225,50,52,12,00
226,50,52,11,00
227,55,53,10,00
228,54,53,10,01
229,52,53,09,01
230,52,53,09,01
231,52,53,08,01
232,52,53,08,01
233,54,53,08,01
234,55,53,08,01
235,55,54,08,01
236,52,53,08,01
237,51,53,08,01
238,50,53,08,01
239,52,53,09,01
240,52,53,08,01
241,52,53,08,01
242,52,53,08,01
243,51,53,08,01
244,51,53,08,01
245,52,53,07,01
246,52,53,07,01
247,51,52,07,01
248,52,52,06,01
249,53,52,05,01
250,52,52,05,01
251,50,52,05,01
252,49,52,06,01
253,50,52,06,01
254,52,52,06,01
255,51,52,06,01
256,51,52,06,01
257,52,52,05,01
258,52,52,05,01
259,52,52,05,01
260,52,52,05,01
261,53,52,05,01
262,54,52,05,01
263,53,52,05,01
264,49,52,05,01
265,49,51,05,01
266,51,51,05,01
267,51,51,05,01
268,51,51,05,01
269,52,51,05,01
270,52,51,05,01
271,50,51,05,01
272,50,51,05,01
273,49,51,05,01
274,51,51,05,01
275,52,51,05,01
276,54,51,06,01
277,56,51,06,01
278,59,52,09,01
279,59,52,10,01
280,55,52,11,01
281,52,52,11,01
282,51,52,10,01
283,49,52,10,01
284,49,52,11,01
285,50,52,11,01
286,51,52,11,01
287,51,52,11,01
288,51,52,11,01
289,49,52,11,01
290,49,52,11,01
291,49,52,11,01
292,49,51,11,01
293,49,51,11,01
294,55,51,12,01
295,64,52,15,01
296,67,52,20,01
297,74,53,27,01
298,85,54,38,01
299,83,55,45,01
