time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,73,00,00,00
1,77,00,00,00
2,80,00,00,00
3,83,00,00,00
4,86,00,00,00
5,89,00,00,00
6,91,00,00,00
7,93,00,00,00
8,94,00,00,00
9,95,00,00,00
10,96,00,00,00
11,97,00,00,00
12,97,00,00,00
13,96,00,00,00
14,96,00,00,00
15,95,00,00,00
16,94,00,00,00
17,92,00,00,00
18,90,00,00,00
19,88,00,00,00
20,86,00,00,00
21,83,00,00,00
22,80,00,00,00
23,78,00,00,00
24,74,00,00,00
25,71,00,00,00
26,68,00,00,00
27,65,00,00,00
28,61,00,00,00
29,58,84,34,00
30,54,84,38,00
31,51,83,42,00
32,48,82,46,00
33,44,80,50,00
34,41,79,55,00
35,38,77,59,00
36,35,75,63,00
37,32,73,66,00
38,29,71,70,00
39,27,69,72,00
40,24,66,75,00
41,22,64,77,00
42,21,61,78,00
43,19,59,78,00
44,18,56,79,00
45,17,54,78,00
46,17,51,77,00
47,17,49,76,00
48,18,46,74,00
49,24,44,71,00
50,31,42,67,00
51,37,41,63,00
52,42,39,58,00
53,48,38,54,00
54,53,38,51,00
55,57,37,49,00
56,62,37,47,00
57,66,37,48,00
58,70,37,49,00
59,73,38,52,00
60,76,39,55,00
61,79,39,59,00
62,82,41,64,00
63,84,42,68,00
64,86,43,72,00
65,87,45,76,00
66,88,47,80,00
67,89,49,82,00
68,90,51,85,00
69,90,53,86,00
70,90,55,87,00
71,89,57,87,00
72,89,60,86,00
73,88,62,84,00
74,87,64,81,00
75,85,66,77,00
76,83,69,72,00
77,81,71,66,00
78,79,73,59,00
79,76,74,52,00
80,73,76,46,00
81,70,77,40,00
82,66,78,36,00
83,62,78,33,00
84,58,78,31,00
85,54,78,32,00
86,49,78,35,00
87,44,77,39,00
88,38,76,45,00
89,32,75,51,00
90,26,73,57,00
91,20,71,64,00
92,13,69,72,00
93,06,66,79,00
94,06,64,85,00
95,06,61,90,00
96,05,58,93,00
97,05,55,96,00
98,05,52,98,00
99,05,50,99,00
100,05,47,99,00
101,05,44,99,00
102,05,41,97,00
103,05,38,96,00
104,05,36,93,00
105,05,33,90,00
106,05,30,87,00
107,05,28,83,00
108,05,25,79,00
109,05,23,74,00
110,05,21,69,00
111,05,19,63,00
112,05,17,57,00
113,05,15,51,00
114,04,13,45,00
115,04,11,39,00
116,04,10,33,00
117,04,08,27,00
118,04,07,20,00
119,03,06,15,00
120,03,06,09,00
121,03,05,05,00
122,03,05,02,00
123,03,04,02,00
124,03,04,02,00
125,02,04,02,00
126,02,04,02,00
127,02,04,03,00
128,02,04,03,00
129,02,04,03,00
130,02,04,03,00
131,02,04,03,00
132,02,04,03,00
133,02,03,03,00
134,01,03,03,00
135,01,03,03,00
136,01,03,03,00
137,01,03,03,00
138,01,03,03,00
139,01,03,03,00
140,01,03,03,00
141,01,02,03,00
142,01,02,03,00
143,01,02,03,00
144,01,02,03,00
145,01,02,02,00
146,01,02,02,00
147,01,02,02,00
148,01,02,02,00
149,01,02,02,00
150,01,02,02,00
151,01,02,01,00
152,01,01,01,00
153,01,01,01,00
154,01,01,01,00
155,01,01,01,00
156,01,01,01,00
157,01,01,01,00
158,01,01,01,00
159,01,01,01,00
160,00,01,01,00
161,00,01,01,00
162,00,01,01,00
163,00,01,01,00
164,00,01,01,00
165,00,01,01,00
166,00,01,01,00
167,00,01,01,00
168,00,01,00,00
169,00,01,00,00
170,00,01,00,00
171,00,01,00,00
172,00,01,00,00
173,00,01,00,00
174,00,01,00,00
175,00,01,00,00
176,00,01,00,00
177,00,00,00,00
178,00,00,00,00
179,00,00,00,00
180,00,00,00,00
181,00,00,00,00
182,00,00,00,00
183,00,00,00,00
184,00,00,00,00
185,00,00,00,00
186,00,00,00,00
187,00,00,00,00
188,00,00,00,00
189,00,00,00,00
190,00,00,00,00
191,00,00,00,00
192,00,00,00,00
193,01,00,00,00
194,01,00,00,00
195,01,00,01,00
196,02,00,01,00
197,03,00,01,00
198,03,01,02,00
199,04,01,03,00
200,05,01,04,00
201,07,01,05,00
202,08,01,06,00
203,10,02,08,00
204,12,02,10,00
205,15,03,12,00
206,17,03,14,00
207,20,04,17,00
208,23,05,20,00
209,27,05,23,00
210,31,06,27,00
211,34,08,31,00
212,38,09,35,00
213,43,10,39,00
214,47,12,44,00
215,51,14,48,00
216,56,15,53,00
217,60,17,57,00
218,64,20,62,00
219,68,22,67,00
220,72,24,71,00
221,76,27,75,00
222,80,29,79,00
223,83,32,83,00
224,86,35,86,00
225,89,38,89,00
226,92,41,91,00
227,94,44,93,00
228,96,47,94,00
229,97,50,95,00
230,98,53,95,00
231,99,56,94,00
232,99,59,93,00
233,99,62,91,00
234,99,65,89,00
235,98,68,86,00
236,97,71,82,00
237,95,73,78,00
238,94,75,73,00
239,92,78,68,00
240,89,79,63,00
241,87,81,57,00
242,84,83,52,00
243,81,84,47,00
244,78,85,42,00
245,75,86,38,00
246,72,86,34,00
247,68,87,33,00
248,64,87,33,00
249,61,86,34,00
250,57,86,37,00
251,53,85,41,00
252,50,84,45,00
253,46,83,50,00
254,42,81,55,00
255,39,80,59,00
256,36,78,64,00
257,32,76,68,00
258,29,74,72,00
259,26,71,75,00
260,24,69,78,00
261,21,66,80,00
262,19,64,82,00
263,17,61,83,00
264,16,58,84,00
265,15,55,84,00
266,14,53,84,00
267,13,50,83,00
268,13,47,81,00
269,14,45,79,00
270,15,42,76,00
271,16,40,73,00
272,18,38,69,00
273,20,35,65,00
274,22,34,61,00
275,24,32,56,00
276,27,30,52,00
277,30,29,47,00
278,33,28,43,00
279,36,27,38,00
280,39,27,35,00
281,42,26,33,00
282,44,26,32,00
283,46,26,32,00
284,48,26,33,00
285,49,27,35,00
286,50,27,37,00
287,50,28,39,00
288,50,28,41,00
289,49,29,42,00
290,48,30,43,00
291,46,31,44,00
292,44,32,44,00
293,42,32,44,00
294,39,33,43,00
295,36,34,41,00
296,33,35,40,00
297,30,35,38,00
298,27,36,36,00
299,24,36,35,00
