time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,12,00,00,00
1,12,00,00,00
2,11,00,00,00
3,11,00,00,00
4,10,00,00,00
5,10,00,00,00
6,10,00,00,00
7,09,00,00,00
8,09,00,00,00
9,09,00,00,00
10,08,00,00,00
11,07,00,00,00
12,07,00,00,00
13,06,00,00,00
14,06,00,00,00
15,06,00,00,00
16,05,00,00,00
17,05,00,00,00
18,05,00,00,00
19,04,00,00,00
20,05,00,00,00
21,04,00,00,00
22,04,00,00,00
23,04,00,00,00
24,03,00,00,00
25,03,00,00,00
26,02,00,00,00
27,01,00,00,00
28,01,00,00,00
29,01,06,03,00
30,00,06,02,00
31,00,05,02,00
32,01,05,02,00
33,01,05,02,00
34,04,05,01,00
35,05,04,00,00
36,09,04,00,00
37,12,04,01,00
38,16,05,03,00
39,19,05,06,00
40,24,06,11,00
41,28,06,16,00
42,32,07,22,00
43,37,08,29,00
44,40,09,35,00
45,44,11,41,00
46,48,12,47,00
47,52,14,54,00
48,55,15,60,00
49,59,17,66,00
50,61,19,72,00
51,64,21,77,00
52,65,23,82,00
53,68,25,86,00
54,68,27,89,00
55,70,30,92,00
56,71,32,94,00
57,71,34,95,00
58,72,37,96,00
59,73,39,95,00
60,73,41,94,00
61,73,44,91,00
62,73,46,88,00
63,74,49,84,00
64,75,51,80,00
65,75,53,75,00
66,76,56,70,00
67,76,58,64,00
68,77,60,59,00
69,78,62,53,00
70,80,64,47,00
71,80,65,42,00
72,82,67,37,00
73,83,69,33,00
74,85,70,29,00
75,86,71,26,00
76,88,73,23,00
77,88,74,22,00
78,90,75,21,00
79,91,76,20,00
80,92,77,20,00
81,92,78,20,00
82,93,79,20,00
83,93,80,21,00
84,93,81,21,00
85,93,82,21,00
86,93,82,21,00
87,93,83,21,00
88,91,84,20,00
89,90,84,19,00
90,88,85,18,00
91,87,85,17,00
92,84,86,16,00
93,81,86,14,00
94,77,86,14,00
95,74,86,14,00
96,69,86,16,00
97,65,85,19,00
98,62,85,23,00
99,60,84,27,00
100,59,83,31,00
101,57,83,35,00
102,56,82,39,00
103,54,81,43,00
104,53,80,46,00
105,53,79,49,00
106,52,77,52,00
107,51,76,54,00
108,51,75,56,00
109,50,74,57,00
110,50,72,57,00
111,49,71,58,00
112,48,69,58,00
113,48,68,57,00
114,47,66,56,00
115,46,65,54,00
116,46,63,52,00
117,45,62,49,00
118,45,60,46,00
119,44,58,43,00
120,44,57,39,00
121,43,56,34,00
122,43,54,30,00
123,42,53,25,00
124,42,52,21,00
125,41,51,18,00
126,41,50,15,00
127,40,49,13,00
128,40,48,11,00
129,39,47,10,00
130,39,47,10,00
131,38,46,09,00
132,38,46,09,00
133,37,45,08,00
134,37,44,08,00
135,36,44,08,00
136,35,43,08,00
137,35,43,08,00
138,34,42,08,00
139,33,42,08,00
140,33,41,08,00
141,32,40,08,00
142,31,40,08,00
143,31,39,08,00
144,30,39,09,00
145,30,38,09,00
146,29,38,09,00
147,29,37,09,00
148,28,37,09,00
149,28,36,09,00
150,27,35,09,00
151,27,35,09,00
152,26,34,09,00
153,26,34,09,00
154,25,33,09,00
155,25,33,09,00
156,24,32,09,00
157,24,32,09,00
158,23,31,09,00
159,23,30,09,00
160,22,30,08,00
161,22,29,08,00
162,22,29,08,00
163,21,28,08,00
164,21,28,07,00
165,20,27,07,00
166,20,27,07,00
167,19,26,07,00
168,19,26,06,00
169,18,25,06,00
170,18,25,06,00
171,17,24,06,00
172,17,24,06,00
173,16,23,06,00
174,16,23,05,00
175,15,22,05,00
176,15,22,05,00
177,14,21,06,00
178,14,21,06,00
179,12,20,06,00
180,12,20,06,00
181,11,19,06,00
182,11,19,07,00
183,11,18,07,00
184,11,18,07,00
185,10,17,07,00
186,10,17,07,00
187,09,16,07,00
188,10,16,07,00
189,09,15,07,00
190,08,15,07,00
191,07,14,07,00
192,07,14,07,00
193,06,13,07,00
194,05,13,07,00
195,05,12,07,00
196,05,12,07,00
197,05,11,07,00
