time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,65,00,00,01
1,59,00,00,01
2,60,00,00,01
3,68,00,00,01
4,65,00,00,01
5,63,00,00,01
6,58,00,00,01
7,56,00,00,01
8,58,00,00,01
9,61,00,00,01
10,65,00,00,01
11,61,00,00,01
12,59,00,00,01
13,58,00,00,01
14,49,00,00,01
15,48,00,00,01
16,59,00,00,01
17,67,00,00,01
18,58,00,00,01
19,38,00,00,01
20,14,00,00,01
21,08,00,00,01
22,09,00,00,01
23,39,00,00,01
24,65,00,00,01
25,85,00,00,01
26,81,00,00,01
27,78,00,00,01
28,75,00,00,01
29,65,56,54,01
30,75,57,55,01
31,71,57,56,01
32,63,57,56,01
33,64,57,56,01
34,52,57,56,01
35,53,56,56,01
36,53,56,56,01
37,58,56,56,01
38,70,57,57,01
39,55,56,57,01
40,55,56,56,01
41,52,56,56,01
42,44,55,57,01
43,48,55,57,01
44,48,55,57,01
45,53,55,57,01
46,53,55,57,01
47,51,54,56,01
48,52,54,56,01
49,52,54,55,01
50,59,56,46,01
51,61,58,33,01
52,55,59,16,01
53,37,59,16,01
54,18,58,28,01
55,10,55,36,01
56,08,53,44,01
57,30,51,43,01
58,63,51,41,01
59,93,52,49,01
60,95,52,56,01
61,86,53,59,01
62,88,54,65,01
63,75,54,66,01
64,75,55,68,01
65,80,56,70,01
66,69,56,71,01
67,54,56,71,01
68,52,56,70,01
69,57,56,70,01
70,49,55,70,01
71,61,56,70,01
72,61,56,70,01
73,53,56,70,01
74,53,57,70,01
75,46,56,70,01
76,49,56,70,01
77,53,56,70,01
78,59,57,70,01
79,66,57,70,01
80,57,57,70,01
81,55,57,70,01
82,49,57,70,01
83,57,57,69,01
84,63,59,62,01
85,51,60,50,01
86,27,61,42,01
87,06,60,52,01
88,00,58,68,01
89,14,55,70,01
90,53,54,63,01
91,82,54,62,01
92,93,54,64,01
93,79,54,65,01
94,73,54,64,01
95,65,53,62,01
96,53,53,61,01
97,55,53,61,01
98,57,53,61,01
99,67,53,61,01
100,74,54,63,01
101,65,54,63,01
102,66,54,64,01
103,60,55,64,01
104,56,55,64,01
105,67,55,64,01
106,63,56,64,01
107,59,56,64,01
108,53,56,64,01
109,46,55,64,01
110,51,55,64,01
111,47,55,64,01
112,53,55,64,01
113,56,55,64,01
114,55,55,64,01
115,61,55,64,01
116,56,56,61,01
117,52,57,48,01
118,57,59,28,01
119,63,61,12,01
120,58,61,12,01
121,41,60,11,01
122,16,57,16,01
123,05,55,31,01
124,08,53,41,01
125,37,52,41,01
126,67,52,43,01
127,86,53,49,01
128,80,54,52,01
129,72,54,53,01
130,72,54,52,01
131,66,54,53,01
132,64,54,52,01
133,53,54,52,01
134,54,54,52,01
135,59,53,51,01
136,56,53,51,01
137,60,53,51,01
138,54,53,51,01
139,49,53,51,01
140,49,53,51,01
141,40,53,52,01
142,45,53,52,01
143,46,53,52,01
144,53,52,52,01
145,58,52,52,01
146,54,52,52,01
147,55,52,52,01
148,54,52,52,01
149,62,52,52,01
150,60,52,52,01
151,58,53,51,01
152,60,54,44,01
153,47,56,29,01
154,27,56,19,01
155,10,55,31,01
156,08,54,43,01
157,08,51,48,01
158,38,50,44,01
159,73,50,44,01
160,93,50,51,01
161,88,51,57,01
162,79,52,60,01
163,76,52,62,01
164,60,53,63,01
165,61,53,63,01
166,67,53,64,01
167,64,53,64,01
168,72,54,65,01
169,67,54,66,01
170,71,55,67,01
171,68,56,67,01
172,58,56,66,01
173,62,57,66,01
174,52,57,66,01
175,53,57,66,01
176,56,57,66,01
177,52,57,66,01
178,62,57,66,01
179,58,57,66,01
180,52,56,66,01
181,49,56,66,01
182,41,56,67,01
183,48,56,67,01
184,51,56,64,01
185,49,58,53,01
186,62,59,40,01
187,65,61,22,01
188,73,62,19,01
189,59,62,18,01
190,25,60,20,01
191,07,57,32,01
192,03,55,46,01
193,37,53,44,01
194,58,53,44,01
195,65,53,45,01
196,60,53,44,01
197,55,53,43,01
198,55,52,41,01
199,65,52,41,01
200,65,52,40,01
201,66,52,40,01
202,63,52,40,01
203,55,52,40,01
204,61,52,40,01
205,56,52,40,01
206,58,52,40,01
207,53,52,40,01
208,47,52,40,01
209,52,52,40,01
210,49,52,40,01
211,55,52,40,01
212,57,52,39,01
213,47,52,39,01
214,54,52,39,01
215,48,52,39,01
216,56,52,39,01
217,66,52,39,01
218,75,52,39,01
219,86,53,45,01
220,74,55,43,01
221,76,57,31,01
222,80,60,12,01
223,58,60,08,01
224,38,60,12,01
225,09,58,30,01
226,05,56,46,01
