time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,65,00,00,00
1,66,00,00,00
2,66,00,00,00
3,66,00,00,00
4,68,00,00,00
5,67,00,00,00
6,69,00,00,00
7,69,00,00,00
8,69,00,00,00
9,70,00,00,00
10,70,00,00,00
11,71,00,00,00
12,72,00,00,00
13,73,00,00,00
14,72,00,00,00
15,74,00,00,00
16,74,00,00,00
17,74,00,00,00
18,75,00,00,00
19,75,00,00,00
20,75,00,00,00
21,75,00,00,00
22,75,00,00,00
23,75,00,00,00
24,76,00,00,00
25,76,00,00,00
26,76,00,00,00
27,76,00,00,00
28,76,00,00,00
29,76,72,10,00
30,76,72,09,00
31,76,73,09,00
32,77,73,08,00
33,76,73,07,00
34,76,74,07,00
35,76,74,06,00
36,76,74,05,00
37,76,75,05,00
38,76,75,04,00
39,76,75,04,00
40,76,75,03,00
41,76,75,02,00
42,76,75,02,00
43,76,76,01,00
44,76,76,00,00
45,76,76,00,00
46,76,76,00,00
47,70,76,02,00
48,70,76,03,00
49,71,75,04,00
50,73,75,04,00
51,73,75,04,00
52,72,75,04,00
53,73,75,04,00
54,72,75,05,00
55,70,75,05,00
56,68,74,06,00
57,68,74,07,00
58,68,74,07,00
59,70,74,08,00
60,68,73,08,00
61,67,73,09,00
62,66,73,09,00
63,68,72,09,00
64,67,72,09,00
65,67,72,10,00
66,67,72,10,00
67,65,71,10,00
68,68,71,10,00
69,66,71,10,00
70,66,70,09,00
71,62,70,10,00
72,48,69,14,00
73,27,67,26,00
74,01,65,44,00
75,00,62,56,00
76,01,60,65,00
77,06,58,71,00
78,12,56,74,00
79,24,54,76,00
80,53,53,75,00
81,71,53,75,00
82,73,53,75,00
83,74,53,75,00
84,76,54,76,00
85,76,54,76,00
86,76,54,77,00
87,78,54,77,00
88,76,55,78,00
89,80,55,79,00
90,78,55,79,00
91,79,56,80,00
92,80,56,81,00
93,81,57,82,00
94,83,57,83,00
95,87,58,84,00
96,88,58,86,00
97,89,59,88,00
98,90,60,89,00
99,90,61,91,00
100,93,62,92,00
101,94,63,94,00
102,92,64,95,00
103,91,66,94,00
104,89,69,87,00
105,85,72,78,00
106,80,75,66,00
107,74,77,54,00
108,72,79,40,00
109,70,81,25,00
110,69,81,21,00
111,66,81,22,00
112,67,81,23,00
113,68,81,24,00
114,69,80,25,00
115,68,80,25,00
116,68,80,26,00
117,69,79,27,00
118,67,79,27,00
119,70,79,28,00
120,69,79,28,00
121,68,78,29,00
122,68,78,30,00
123,68,77,30,00
124,68,77,30,00
125,70,76,30,00
126,70,76,29,00
127,71,75,28,00
128,72,74,27,00
129,72,74,26,00
130,73,73,23,00
131,69,72,20,00
132,69,72,17,00
133,68,71,14,00
134,68,70,10,00
135,69,70,06,00
136,68,69,04,00
137,67,69,03,00
138,68,69,03,00
139,68,69,03,00
140,67,69,03,00
141,68,69,03,00
142,67,69,03,00
143,67,69,03,00
144,68,69,03,00
145,68,69,03,00
146,68,69,03,00
147,67,69,03,00
148,63,69,04,00
149,49,68,11,00
150,22,66,26,00
151,02,64,44,00
152,01,62,55,00
153,02,60,64,00
154,06,58,71,00
155,13,56,74,00
156,28,54,75,00
157,57,54,75,00
158,74,54,75,00
159,76,54,75,00
160,76,54,75,00
161,77,54,76,00
162,78,55,77,00
163,81,55,78,00
164,82,56,79,00
165,80,56,80,00
166,80,56,80,00
167,81,57,81,00
168,82,57,82,00
169,83,58,83,00
170,86,58,85,00
171,89,59,86,00
172,88,60,88,00
173,91,61,89,00
174,92,61,91,00
175,95,62,93,00
176,96,63,94,00
177,98,64,96,00
178,99,65,98,00
179,96,67,99,00
180,94,69,97,00
181,93,72,90,00
182,87,75,80,00
183,82,78,68,00
184,79,80,55,00
185,76,83,40,00
186,70,84,27,00
187,71,84,24,00
188,69,84,24,00
189,69,84,25,00
190,70,84,26,00
191,69,83,27,00
192,69,83,28,00
193,70,83,29,00
194,70,82,30,00
195,70,82,31,00
196,70,82,31,00
197,70,81,32,00
198,68,81,33,00
199,69,80,33,00
200,70,80,34,00
201,69,79,34,00
202,72,79,34,00
203,70,78,33,00
204,72,77,32,00
205,71,77,31,01
206,72,76,29,01
207,74,75,26,01
208,73,74,23,01
209,72,73,19,01
210,72,73,16,01
211,72,72,11,01
212,72,71,08,01
213,72,71,05,01
214,72,71,04,01
215,72,71,03,01
216,72,71,03,01
217,73,71,03,01
218,72,71,03,01
219,71,71,03,01
220,71,71,03,01
221,70,71,02,01
222,70,71,02,01
223,71,71,02,01
224,71,71,02,01
225,71,71,02,01
226,71,71,02,01
227,71,71,02,01
228,71,71,02,01
229,70,71,01,01
230,70,71,01,01
231,70,71,01,01
232,70,71,01,01
233,70,71,02,01
234,69,71,02,01
235,69,71,02,01
236,69,71,02,01
237,68,71,02,01
238,68,71,02,01
239,67,70,02,01
240,68,70,03,01
241,67,70,03,01
242,67,70,03,01
243,67,70,03,01
244,67,70,03,00
245,67,70,03,00
246,66,69,04,00
247,66,69,04,00
248,66,69,04,00
249,65,69,04,00
250,65,68,04,00
251,65,68,04,00
252,64,68,05,00
253,64,68,05,00
254,64,68,05,00
255,63,67,05,00
256,63,67,06,00
257,63,67,06,00
258,62,67,06,00
259,61,66,06,00
260,61,66,06,00
261,61,66,06,00
262,60,65,07,00
263,60,65,07,00
264,60,65,07,00
265,60,64,07,00
266,59,64,07,00
267,59,64,07,00
268,59,64,07,00
269,59,63,07,00
270,59,63,07,00
271,60,63,07,00
272,61,62,06,00
273,62,62,06,00
274,63,62,06,00
275,63,62,05,00
276,63,62,05,00
277,63,62,04,00
278,66,62,04,00
279,69,62,05,00
280,74,62,08,00
281,81,63,13,00
282,74,63,14,00
283,58,63,14,00
284,49,63,16,00
285,35,62,22,00
286,19,60,32,00
287,19,59,39,00
288,26,57,42,00
289,36,57,44,00
290,50,56,44,01
291,50,56,44,01
292,38,55,45,01
293,40,55,46,01
294,45,54,46,01
295,43,53,46,01
296,48,53,46,01
297,45,53,46,01
298,41,52,46,01
299,56,52,46,01
