time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,47,00,00,01
1,45,00,00,01
2,60,00,00,01
3,48,00,00,01
4,39,00,00,01
5,33,00,00,01
6,19,00,00,01
7,16,00,00,01
8,14,00,00,01
9,16,00,00,01
10,17,00,00,01
11,18,00,00,01
12,30,00,00,01
13,47,00,00,01
14,64,00,00,01
15,69,00,00,01
16,69,00,00,01
17,63,00,00,01
18,58,00,00,01
19,58,00,00,01
20,59,00,00,01
21,61,00,00,01
22,56,00,00,01
23,51,00,00,01
24,47,00,00,01
25,40,00,00,01
26,57,00,00,01
27,50,00,00,01
28,41,00,00,01
29,30,44,39,01
30,26,43,41,01
31,20,43,43,01
32,15,41,45,01
33,16,40,47,01
34,18,39,50,01
35,24,39,51,01
36,25,39,50,01
37,40,40,47,01
38,61,41,46,01
39,66,43,45,01
40,65,45,44,01
41,63,46,42,01
42,53,47,41,01
43,51,47,41,01
44,50,47,39,01
45,53,46,37,01
46,49,45,34,01
47,46,45,32,01
48,44,44,31,01
49,41,44,30,01
50,56,44,30,01
51,40,43,28,01
52,39,43,27,01
53,31,42,27,01
54,22,41,29,01
55,19,40,32,01
56,14,39,34,01
57,11,38,37,01
58,13,37,40,01
59,16,36,42,01
60,12,36,44,01
61,24,36,44,00
62,35,37,41,00
63,40,37,39,00
64,40,38,37,00
65,36,38,36,00
66,30,39,36,00
67,27,38,36,00
68,23,37,35,00
69,26,36,30,00
70,24,34,26,00
71,26,33,20,00
72,25,32,18,00
73,29,31,16,00
74,46,31,15,00
75,38,31,12,00
76,33,30,09,00
77,25,29,07,00
78,20,29,06,00
79,13,28,07,00
80,12,26,02,00
81,10,25,02,00
82,09,24,02,00
83,09,24,04,00
84,00,23,08,00
85,04,22,10,00
86,14,22,11,00
87,21,23,10,00
88,21,23,09,00
89,22,23,08,00
90,20,23,08,00
91,15,23,08,00
92,14,22,08,00
93,14,22,06,00
94,14,21,03,00
95,15,20,01,00
96,18,20,00,00
97,25,20,00,00
98,47,20,06,00
99,43,21,10,00
100,40,21,13,00
101,27,22,13,00
102,19,21,13,00
103,17,21,12,00
104,16,20,07,00
105,17,19,05,00
106,18,19,03,00
107,26,19,03,00
108,36,19,06,01
109,61,21,17,01
110,80,23,36,01
111,82,26,51,01
112,84,28,64,01
113,86,31,74,01
114,72,33,77,01
115,75,35,79,01
116,78,37,84,01
