time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,98,00,00,00
1,98,00,00,00
2,98,00,00,00
3,98,00,00,00
4,98,00,00,00
5,98,00,00,00
6,98,00,00,00
7,98,00,00,00
8,98,00,00,00
9,98,00,00,00
10,98,00,00,00
11,97,00,00,00
12,97,00,00,00
13,98,00,00,00
14,98,00,00,00
15,98,00,00,00
16,97,00,00,00
17,97,00,00,00
18,97,00,00,00
19,97,00,00,00
20,97,00,00,00
21,96,00,00,00
22,97,00,00,00
23,96,00,00,00
24,96,00,00,00
25,96,00,00,00
26,96,00,00,00
27,96,00,00,00
28,96,00,00,00
29,96,97,01,00
30,96,97,01,00
31,96,97,01,00
32,95,97,01,00
33,95,97,01,00
34,94,97,01,00
35,94,97,02,00
36,91,96,03,00
37,82,96,07,00
38,69,95,13,00
39,57,93,22,00
40,49,92,29,00
41,42,90,37,00
42,36,88,44,00
43,30,86,51,00
44,25,83,58,00
45,21,81,64,00
46,17,78,70,00
47,14,75,75,00
48,11,72,80,00
49,08,69,85,00
50,07,66,88,00
51,05,63,91,00
52,03,60,94,00
53,02,57,96,00
54,00,54,98,00
55,00,51,99,00
56,04,48,99,00
57,13,45,97,00
58,22,42,94,00
59,33,40,91,00
60,41,39,87,00
61,53,37,83,00
62,62,36,79,00
63,68,35,76,00
64,73,34,73,00
65,77,34,70,00
66,82,34,69,00
67,85,34,69,00
68,87,34,72,00
69,89,35,75,00
70,90,37,79,00
71,91,38,83,00
72,92,40,87,00
73,93,42,90,00
74,93,45,92,00
75,94,47,94,00
76,94,50,96,00
77,95,52,96,00
78,95,55,96,00
79,95,58,95,00
80,95,61,93,00
81,95,64,91,00
82,96,67,87,00
83,97,70,82,00
84,97,73,76,00
85,97,77,68,00
86,97,80,59,00
87,97,83,51,00
88,96,85,42,00
89,97,87,35,00
90,97,89,27,00
91,97,90,22,00
92,98,92,18,00
93,99,93,14,00
94,98,94,11,00
95,98,94,09,00
96,98,95,07,00
97,98,95,06,00
98,98,96,05,00
99,99,96,05,00
100,99,96,04,00
101,99,96,04,00
102,99,97,03,00
103,99,97,03,00
104,99,97,03,00
105,99,97,02,00
106,99,97,02,00
107,98,97,02,00
108,98,98,02,00
109,98,98,01,00
110,98,98,01,00
111,98,98,01,00
112,98,98,01,00
113,98,98,01,00
114,97,98,01,00
115,97,98,01,00
116,97,98,01,00
117,97,98,00,00
118,97,98,00,00
119,97,98,00,00
120,97,98,00,00
121,97,98,00,00
122,97,98,00,00
123,97,98,01,00
124,97,98,01,00
125,96,98,01,00
126,96,98,01,00
127,96,98,01,00
128,96,98,01,00
129,96,97,01,00
130,96,97,01,00
131,96,97,01,00
132,96,97,01,00
133,96,97,01,00
134,96,97,01,00
135,96,97,01,00
136,96,97,01,00
137,96,97,01,00
138,96,97,01,00
139,96,97,01,00
140,96,97,01,00
141,96,96,00,00
142,96,96,00,00
143,95,96,00,00
144,96,96,00,00
145,95,96,00,00
146,95,96,00,00
147,95,96,00,00
148,95,96,00,00
149,95,96,00,00
150,95,96,00,00
151,95,96,00,00
152,95,96,00,00
153,94,96,00,00
154,93,95,01,00
155,87,95,03,00
156,76,94,09,00
157,64,93,16,00
158,56,92,23,00
159,51,91,30,00
160,46,89,36,00
161,39,87,42,00
162,33,85,49,00
163,30,83,54,00
164,27,80,60,00
165,24,78,65,00
166,20,76,69,00
167,17,73,74,00
168,15,70,78,00
169,13,67,81,00
170,11,65,84,00
171,09,62,86,00
172,08,59,88,00
173,07,56,89,00
174,06,53,90,00
175,04,50,90,00
176,03,47,90,00
177,02,44,90,00
178,03,41,88,00
179,10,38,85,00
180,22,35,81,00
181,36,33,76,00
182,49,32,70,00
183,59,31,65,00
184,68,30,61,00
185,75,29,59,00
186,81,30,59,00
187,84,30,63,00
188,87,31,67,00
189,89,32,71,00
190,91,34,76,00
191,92,36,81,00
192,93,38,85,00
193,93,40,88,00
194,94,42,92,00
195,94,44,94,00
196,94,47,96,00
197,95,49,97,00
198,95,52,98,00
199,95,55,98,00
200,95,58,98,00
201,95,60,96,00
202,95,63,94,00
203,96,66,91,00
204,96,69,87,00
205,95,72,83,00
206,95,75,76,00
207,96,79,68,00
208,96,82,58,00
209,96,85,48,00
210,96,87,37,00
211,96,89,29,00
212,96,91,22,00
213,96,92,16,00
214,97,93,12,00
215,97,94,09,00
216,98,94,06,00
217,97,95,05,00
218,98,95,04,00
219,98,95,03,00
220,98,96,03,00
221,98,96,02,00
222,98,96,02,00
223,98,96,02,00
224,98,96,02,00
225,98,96,02,00
226,99,96,02,00
227,99,97,02,00
228,99,97,02,00
229,99,97,02,00
230,99,97,02,00
231,98,97,02,00
232,98,97,02,00
233,98,97,02,00
234,98,97,02,00
235,98,97,01,00
236,98,97,01,00
237,98,98,01,00
238,97,98,01,00
239,97,98,01,00
240,98,98,01,00
241,98,98,00,00
242,98,98,00,00
243,97,98,00,00
244,97,98,00,00
245,97,98,00,00
246,97,98,00,00
247,97,98,00,00
248,97,98,00,00
249,97,98,00,00
250,96,98,01,00
251,96,98,01,00
252,96,98,01,00
253,96,97,01,00
254,96,97,01,00
255,96,97,01,00
256,95,97,01,00
257,94,97,01,00
258,90,97,03,00
259,81,96,07,00
260,68,95,14,00
261,57,94,22,00
262,48,92,30,00
263,41,90,38,00
264,35,88,45,00
265,30,86,52,00
266,25,83,59,00
267,21,81,65,00
268,17,78,71,00
269,14,75,76,00
270,11,73,81,00
271,09,70,85,00
272,07,67,89,00
273,04,63,92,00
274,03,60,95,00
275,01,57,97,00
276,00,54,99,00
277,03,51,99,00
278,13,48,98,00
279,28,46,96,00
280,42,44,93,00
281,53,43,89,00
282,63,41,86,00
283,71,41,83,00
284,78,40,81,00
285,82,40,79,00
286,85,39,78,00
287,88,39,77,00
