time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,02,00,00,00
1,01,00,00,00
2,00,00,00,00
3,14,00,00,00
4,29,00,00,00
5,42,00,00,00
6,51,00,00,00
7,59,00,00,00
8,63,00,00,00
9,68,00,00,00
10,72,00,00,00
11,76,00,00,00
12,79,00,00,00
13,80,00,00,00
14,82,00,00,00
15,83,00,00,00
16,84,00,00,00
17,84,00,00,00
18,85,00,00,00
19,85,00,00,00
20,86,00,00,00
21,87,00,00,00
22,87,00,00,00
23,87,00,00,00
24,88,00,00,00
25,88,00,00,00
26,89,00,00,00
27,88,00,00,00
28,89,00,00,00
29,88,67,75,00
30,89,70,68,00
31,88,73,60,00
32,89,76,48,00
33,89,79,38,00
34,89,81,30,00
35,89,82,24,00
36,89,83,19,00
37,89,84,16,00
38,90,85,12,00
39,90,86,10,00
40,90,87,08,00
41,92,87,06,00
42,91,88,05,00
43,91,88,05,00
44,92,88,04,00
45,92,88,04,00
46,91,89,04,00
47,91,89,03,00
48,92,89,03,00
49,91,89,03,00
50,91,90,02,00
51,90,90,02,00
52,91,90,02,00
53,90,90,02,00
54,90,90,01,00
55,90,90,01,00
56,90,90,01,00
57,90,90,01,00
58,90,90,01,00
59,92,90,01,00
60,91,90,01,00
61,90,90,01,00
62,91,90,01,00
63,90,90,00,00
64,90,91,00,00
65,90,91,00,00
66,89,91,00,00
67,89,91,00,00
68,89,91,00,00
69,89,90,01,00
70,89,90,01,00
71,88,90,01,00
72,88,90,01,00
73,88,90,01,00
74,88,90,01,00
75,87,90,02,00
76,87,90,02,00
77,87,90,02,00
78,88,89,02,00
79,87,89,02,00
80,87,89,02,00
81,82,89,04,00
82,66,88,10,00
83,57,87,17,00
84,50,86,24,00
85,42,84,31,00
86,36,82,38,00
87,32,80,45,00
88,26,78,51,00
89,22,76,57,00
90,18,73,63,00
91,15,71,68,00
92,12,68,72,00
93,09,65,77,00
94,07,63,81,00
95,05,60,84,00
96,04,57,87,00
97,02,54,89,00
98,00,51,91,00
99,00,48,92,00
100,03,45,92,00
101,19,43,91,00
102,31,41,88,00
103,42,40,85,00
104,51,38,82,00
105,59,38,79,00
106,64,37,77,00
107,69,36,74,00
108,75,36,73,00
109,77,35,71,00
110,79,35,70,00
111,81,35,70,00
112,83,36,72,00
113,83,37,75,00
114,84,38,78,00
