time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,95,00,00,00
1,96,00,00,00
2,96,00,00,00
3,97,00,00,00
4,97,00,00,00
5,96,00,00,00
6,97,00,00,00
7,97,00,00,00
8,97,00,00,00
9,97,00,00,00
10,97,00,00,00
11,97,00,00,00
12,97,00,00,00
13,97,00,00,00
14,98,00,00,00
15,97,00,00,00
16,96,00,00,00
17,97,00,00,00
18,97,00,00,00
19,97,00,00,00
20,96,00,00,00
21,96,00,00,00
22,96,00,00,00
23,96,00,00,00
24,98,00,00,00
25,96,00,00,00
26,96,00,00,00
27,96,00,00,00
28,96,00,00,00
29,96,97,02,00
30,95,97,02,00
31,96,97,02,00
32,95,97,02,00
33,96,97,02,00
34,95,97,02,00
35,95,96,02,00
36,95,96,02,00
37,95,96,02,00
38,96,96,02,00
39,95,96,02,00
40,95,96,02,00
41,95,96,02,00
42,94,96,02,00
43,93,96,03,00
44,93,96,03,00
45,93,96,03,00
46,93,95,03,00
47,84,95,06,00
48,66,94,15,00
49,57,93,23,00
50,50,91,30,00
51,43,89,38,00
52,38,87,45,00
53,32,85,52,00
54,28,83,58,00
55,23,81,64,00
56,20,78,70,00
57,17,75,75,00
58,14,73,80,00
59,12,70,84,00
60,09,67,88,00
61,08,64,91,00
62,07,61,93,00
63,05,58,95,00
64,04,55,97,00
65,00,52,98,00
66,10,49,98,00
67,30,47,95,00
68,40,45,92,00
69,59,44,90,00
70,59,43,86,00
71,69,42,83,00
72,79,41,82,00
73,79,41,80,00
74,89,41,79,00
75,89,40,79,00
76,89,40,78,00
77,89,40,79,00
78,89,41,81,00
79,89,42,84,00
80,89,44,87,00
81,89,45,89,00
82,99,47,93,00
83,89,49,94,00
84,99,51,97,00
85,99,54,98,00
86,99,57,99,00
87,99,59,99,00
88,99,62,98,00
89,99,65,96,00
90,99,68,94,00
91,99,71,90,00
92,99,74,85,00
93,99,77,79,00
94,99,81,71,00
95,99,84,59,00
96,99,87,47,00
97,99,89,38,00
98,99,91,30,00
99,99,92,26,00
100,99,94,20,00
101,99,95,16,00
102,99,95,14,00
103,99,96,12,00
104,99,96,12,00
105,99,97,11,00
106,99,97,10,00
107,99,97,10,00
108,99,98,09,00
109,99,98,08,00
110,99,98,07,00
111,99,99,05,00
112,99,99,05,00
113,99,99,00,00
114,99,99,00,00
115,99,99,00,00
116,99,99,00,00
117,99,99,00,00
118,99,99,00,00
119,99,99,00,00
120,99,99,00,00
121,99,99,00,00
122,99,99,00,00
123,99,99,00,00
124,99,99,00,00
125,99,99,00,00
126,99,99,00,00
127,99,99,00,00
128,99,99,00,00
129,99,99,00,00
130,99,99,00,00
131,99,99,00,00
132,99,99,00,00
133,99,99,00,00
134,99,99,00,00
135,99,99,00,00
136,99,99,00,00
137,99,99,00,00
138,99,99,00,00
139,89,99,05,00
140,89,98,07,00
141,89,98,08,00
142,89,98,09,00
143,89,97,10,00
144,89,97,10,00
145,79,96,13,00
146,59,95,22,00
147,59,94,28,00
148,50,92,34,00
149,40,90,42,00
150,40,88,48,00
151,30,86,55,00
152,30,83,61,00
153,20,81,67,00
154,20,78,73,00
155,20,76,77,00
156,10,73,82,00
157,10,70,86,00
158,10,67,89,00
159,10,64,92,00
160,10,61,94,00
161,10,58,95,00
162,10,55,95,00
163,09,52,95,00
164,25,49,93,00
165,38,47,90,00
166,50,46,86,00
167,60,44,82,00
168,68,43,79,00
169,76,43,77,00
170,81,43,76,00
171,84,42,76,00
172,87,42,75,00
173,89,42,75,00
174,90,42,75,00
175,91,43,77,00
176,92,44,80,00
177,93,45,83,00
178,93,46,86,00
179,93,48,89,00
180,94,50,91,00
181,93,52,93,00
182,94,54,94,00
183,94,57,94,00
184,94,59,94,00
185,94,62,93,00
186,94,64,91,00
187,95,67,88,00
188,94,70,84,00
189,94,73,80,00
190,95,76,74,00
191,95,79,67,00
192,95,81,59,00
193,95,84,47,00
194,95,87,37,00
195,95,89,29,00
196,95,90,22,00
197,95,91,16,00
198,96,92,12,00
199,97,93,09,00
200,96,93,07,00
201,97,94,06,00
202,96,94,05,00
203,97,94,04,00
204,97,95,04,00
205,97,95,04,00
206,97,95,03,00
207,97,95,03,00
208,97,95,03,00
209,97,95,03,00
210,97,95,03,00
211,98,96,03,00
212,97,96,03,00
213,98,96,03,00
214,97,96,03,00
215,97,96,03,00
216,97,96,03,00
217,97,96,03,00
218,97,96,03,00
219,97,96,03,00
220,97,96,02,00
221,97,97,02,00
222,96,97,02,00
223,96,97,02,00
224,96,97,02,00
225,97,97,02,00
226,96,97,02,00
227,97,97,02,00
228,96,97,01,00
229,96,97,02,00
230,96,97,02,00
231,96,97,02,00
232,95,97,02,00
233,96,97,02,00
234,96,97,02,00
235,95,97,02,00
236,95,96,02,00
237,95,96,02,00
238,95,96,02,00
239,95,96,02,00
240,95,96,03,00
241,93,96,03,00
242,93,96,03,00
243,83,95,07,00
244,66,94,15,00
245,57,93,23,00
246,49,91,31,00
247,43,90,39,00
248,36,88,46,00
249,32,85,53,00
250,27,83,59,00
251,23,81,65,00
252,20,78,71,00
253,16,75,76,00
254,14,73,81,00
255,12,70,85,00
256,10,67,88,00
257,07,64,91,00
258,06,61,94,00
259,05,58,96,00
260,03,55,98,00
261,03,52,98,00
262,14,49,98,00
263,31,47,95,00
264,44,45,92,00
265,55,44,89,00
266,64,43,86,00
267,72,42,84,00
268,78,42,81,00
269,82,41,80,00
270,85,41,78,00
271,87,41,77,00
272,89,41,77,00
273,91,41,78,00
274,92,42,81,00
275,92,43,84,00
276,93,44,87,00
277,93,46,90,00
278,93,48,93,00
279,93,50,95,00
280,94,52,96,00
281,94,54,97,00
282,96,57,98,00
283,95,60,97,00
284,95,62,96,00
285,96,65,94,00
286,95,68,91,00
287,95,71,87,00
288,95,74,82,00
289,95,77,75,00
290,96,80,66,00
291,96,83,54,00
292,97,86,43,00
293,96,88,34,00
294,96,90,26,00
295,97,91,20,00
296,96,92,15,00
297,97,93,12,00
298,98,94,09,00
299,98,94,08,00
