time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,97,00,00,00
1,97,00,00,00
2,96,00,00,00
3,96,00,00,00
4,97,00,00,00
5,96,00,00,00
6,96,00,00,00
7,95,00,00,00
8,96,00,00,00
9,95,00,00,00
10,95,00,00,00
11,96,00,00,00
12,95,00,00,00
13,94,00,00,00
14,94,00,00,00
15,94,00,00,00
16,95,00,00,00
17,93,00,00,00
18,93,00,00,00
19,93,00,00,00
20,93,00,00,00
21,87,00,00,00
22,74,00,00,00
23,64,00,00,00
24,55,00,00,00
25,48,00,00,00
26,41,00,00,00
27,35,00,00,00
28,30,00,00,00
29,26,82,53,00
30,21,79,58,00
31,18,77,63,00
32,16,74,67,00
33,13,71,71,00
34,10,68,75,00
35,07,65,78,00
36,06,62,81,00
37,03,59,84,00
38,02,56,85,00
39,01,53,87,00
40,05,50,87,00
41,21,48,85,00
42,32,46,83,00
43,45,44,80,00
44,53,43,77,00
45,61,41,74,00
46,68,41,72,00
47,74,40,69,00
48,77,39,67,00
49,82,39,66,00
50,84,39,65,00
51,87,39,65,00
52,87,39,66,00
53,89,40,69,00
54,90,41,72,00
55,90,43,75,00
56,90,44,78,00
57,91,46,80,00
58,91,48,82,00
59,91,50,83,00
60,91,53,84,00
61,93,55,84,00
62,94,58,84,00
63,93,60,83,00
64,93,63,81,00
65,94,66,78,00
66,94,69,74,00
67,94,72,69,00
68,94,75,63,00
69,95,78,54,00
70,94,81,44,00
71,95,84,36,00
72,95,86,29,00
73,95,87,23,00
74,96,89,18,00
75,97,90,14,00
76,95,91,11,00
77,96,92,08,00
78,96,92,06,00
79,96,93,05,00
80,96,93,04,00
81,97,93,04,00
82,98,94,04,00
83,97,94,03,00
84,98,94,03,00
85,98,95,03,00
86,99,95,03,00
87,98,95,03,00
88,98,95,03,00
89,99,96,03,00
90,98,96,02,00
91,98,96,02,00
92,98,96,02,00
93,97,96,02,00
94,97,96,02,00
95,96,96,01,00
96,97,97,01,00
97,97,97,01,00
98,97,97,01,00
99,96,97,01,00
100,97,97,01,00
101,96,97,00,00
102,96,97,00,00
103,95,97,00,00
104,95,97,00,00
105,95,97,00,00
106,96,97,00,00
107,95,97,01,00
108,95,97,01,00
109,95,97,01,00
110,95,97,01,00
111,95,97,01,00
112,94,97,01,00
113,94,96,01,00
114,94,96,02,00
115,93,96,02,00
116,94,96,02,00
117,93,96,02,00
118,93,96,02,00
119,92,95,02,00
120,82,95,05,00
121,70,94,11,00
122,59,93,17,00
123,51,91,24,00
124,44,89,31,00
125,38,87,38,00
126,32,85,44,00
127,28,83,50,00
128,23,81,55,00
129,20,78,61,00
130,16,75,65,00
131,13,73,70,00
132,10,70,74,00
133,08,67,77,00
134,05,64,81,00
135,04,61,83,00
136,03,58,85,00
137,00,54,87,00
138,00,51,88,00
139,13,49,87,00
140,25,46,86,00
141,40,44,83,00
142,50,43,80,00
143,60,42,77,00
144,68,41,75,00
145,71,40,72,00
146,75,40,70,00
147,80,39,69,00
148,83,39,67,00
149,85,39,66,00
150,87,39,67,00
151,88,39,69,00
152,90,40,72,00
153,90,42,75,00
154,90,43,77,00
155,91,45,80,00
156,91,47,82,00
157,92,49,84,00
158,92,51,85,00
159,93,54,85,00
160,93,56,85,00
161,93,59,84,00
162,93,62,83,00
163,94,65,80,00
164,93,68,77,00
165,94,71,72,00
166,94,74,67,00
