time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,59,00,00,00
1,50,00,00,00
2,44,00,00,00
3,37,00,00,00
4,31,00,00,00
5,26,00,00,00
6,22,00,00,00
7,18,00,00,00
8,17,00,00,00
9,13,00,00,00
10,10,00,00,00
11,07,00,00,00
12,06,00,00,00
13,04,00,00,00
14,03,00,00,00
15,01,00,00,00
16,02,00,00,00
17,13,00,00,00
18,28,00,00,00
19,41,00,00,00
20,53,00,00,00
21,59,00,00,00
22,66,00,00,00
23,72,00,00,00
24,76,00,00,00
25,81,00,00,00
26,83,00,00,00
27,85,00,00,00
28,87,00,00,00
29,88,39,77,00
30,89,40,80,00
31,90,42,83,00
32,90,43,86,00
33,91,45,89,00
34,92,47,91,00
35,92,49,93,00
36,93,52,94,00
37,92,54,94,00
38,93,57,94,00
39,93,59,93,00
40,94,62,92,00
41,94,65,89,00
42,94,68,85,00
43,95,71,80,00
44,95,74,73,00
45,95,77,65,00
46,97,80,54,00
47,96,83,43,00
48,96,85,35,00
49,97,87,28,00
50,97,89,23,00
51,96,90,18,00
52,97,91,14,00
53,96,92,12,00
54,97,93,09,00
55,97,93,08,00
56,97,94,07,00
57,98,94,06,00
58,99,94,06,00
59,97,95,05,00
60,98,95,05,00
61,99,95,04,00
62,97,95,04,00
63,98,96,04,00
64,98,96,03,00
65,97,96,03,00
66,97,96,03,00
67,96,96,02,00
68,97,96,02,00
69,97,97,02,00
70,96,97,01,00
71,97,97,01,00
72,97,97,01,00
73,96,97,01,00
74,97,97,00,00
75,96,97,00,00
76,97,97,00,00
77,97,97,00,00
78,97,97,00,00
79,96,97,00,00
80,96,97,00,00
81,96,97,00,00
82,96,97,00,00
83,97,97,00,00
84,95,97,00,00
85,95,97,01,00
86,97,97,01,00
87,96,97,00,00
88,95,97,00,00
89,96,97,00,00
90,96,97,00,00
91,95,96,00,00
92,95,96,00,00
93,93,96,01,00
94,93,96,01,00
95,92,96,01,00
96,86,96,04,00
97,73,95,10,00
98,64,94,17,00
99,54,92,25,00
100,46,91,33,00
101,40,89,40,00
102,34,87,47,00
103,28,84,54,00
104,24,82,61,00
105,20,79,67,00
106,17,77,73,00
107,15,74,78,00
108,12,71,82,00
109,08,68,86,00
110,07,65,90,00
111,04,62,93,00
112,03,59,95,00
113,02,56,97,00
114,01,53,99,00
115,04,50,99,00
116,04,47,99,00
117,06,44,97,00
118,08,41,95,00
119,11,38,92,00
120,12,35,89,00
121,15,32,84,00
122,18,30,78,00
123,22,27,72,00
124,26,25,65,00
125,31,23,56,00
126,36,21,47,00
127,43,20,42,00
128,50,20,39,00
129,58,20,40,00
130,68,21,44,00
131,80,22,52,00
132,93,24,61,00
133,93,26,69,00
134,94,29,76,00
135,93,31,82,00
136,95,34,87,00
137,94,36,91,00
138,94,39,94,00
139,95,42,96,00
140,96,45,98,00
141,96,48,99,00
142,97,51,99,00
143,97,54,98,00
144,95,57,96,00
145,97,61,94,00
146,96,64,92,00
147,96,67,88,00
148,96,70,85,00
149,96,72,80,00
150,97,75,76,00
151,98,78,70,00
152,97,81,64,00
153,98,83,58,00
154,97,86,51,00
155,98,88,44,00
156,96,90,37,00
157,97,92,29,00
158,97,93,21,00
159,97,94,14,00
160,97,95,07,00
161,97,96,02,00
162,97,96,02,00
163,98,96,01,00
164,97,96,01,00
165,97,96,01,00
166,97,97,01,00
167,99,97,01,00
168,98,97,01,00
169,97,97,00,00
170,98,97,00,00
171,97,97,00,00
172,97,97,00,00
173,98,97,00,00
174,97,97,00,00
175,97,97,00,00
176,96,97,00,00
177,96,97,00,00
178,97,97,00,00
179,96,97,00,00
180,96,97,00,00
181,95,97,00,00
182,95,97,00,00
183,95,97,01,00
184,95,97,01,00
185,94,97,01,00
186,95,97,01,00
187,95,97,01,00
188,93,96,02,00
189,94,96,02,00
190,93,96,02,00
191,92,96,03,00
192,92,96,03,00
193,92,96,03,00
194,92,95,04,00
195,92,95,04,00
196,90,95,04,00
197,89,95,05,00
198,89,94,05,00
199,88,94,06,00
200,87,94,06,00
201,85,93,07,00
202,83,93,08,00
203,78,92,10,00
204,76,91,12,00
205,70,91,15,00
206,66,90,19,00
207,58,88,23,00
208,48,87,30,00
209,35,85,38,00
210,20,82,48,00
211,05,79,60,00
212,00,76,70,00
213,00,73,78,00
214,13,70,82,00
215,29,68,83,00
216,42,66,83,00
217,53,65,82,00
218,62,64,81,00
219,66,63,79,00
220,72,62,78,00
221,76,62,77,00
222,81,61,76,00
223,85,61,76,00
224,85,61,75,00
225,88,61,75,00
226,88,61,75,00
227,90,61,75,00
228,89,61,75,00
229,90,61,75,00
230,90,61,75,00
231,92,61,76,00
232,93,61,77,00
233,92,62,78,00
234,93,62,79,00
235,93,63,80,00
236,94,64,81,00
237,95,65,83,00
238,94,67,83,00
239,95,69,83,00
240,95,71,80,00
241,96,74,74,00
242,95,78,65,00
243,95,81,53,00
244,95,83,42,00
245,95,86,34,00
246,95,87,27,00
247,95,89,21,00
248,95,90,17,00
249,97,91,14,00
250,96,92,11,00
251,97,92,08,00
252,98,93,07,00
253,98,93,06,00
254,98,94,05,00
255,98,94,05,00
256,99,95,05,00
257,98,95,05,00
258,98,95,04,00
259,98,95,04,00
260,97,96,03,00
261,97,96,03,00
262,97,96,03,00
263,98,96,03,00
264,99,96,03,00
265,97,96,02,00
266,97,97,02,00
267,98,97,02,00
268,97,97,02,00
269,97,97,02,00
270,97,97,01,00
271,97,97,01,00
272,98,97,01,00
273,96,97,01,00
274,96,97,01,00
275,96,97,01,00
276,96,97,01,00
277,96,97,01,00
278,96,97,01,00
279,95,97,01,00
280,96,97,01,00
281,97,97,01,00
282,96,97,01,00
283,96,97,01,00
284,95,97,01,00
285,95,97,01,00
286,95,97,01,00
287,96,97,01,00
288,94,97,01,00
289,95,96,01,00
290,93,96,02,00
291,94,96,02,00
292,93,96,02,00
293,89,96,03,00
294,73,95,10,00
295,65,94,17,00
296,54,92,25,00
297,46,91,33,00
298,39,89,40,00
299,34,87,47,00
