time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,74,00,00,00
1,75,00,00,00
2,77,00,00,00
3,77,00,00,00
4,77,00,00,00
5,78,00,00,00
6,79,00,00,00
7,79,00,00,00
8,79,00,00,00
9,79,00,00,00
10,78,00,00,00
11,77,00,00,00
12,75,00,00,00
13,74,00,00,00
14,70,00,00,00
15,64,00,00,00
16,59,00,00,00
17,54,00,00,01
18,51,00,00,01
19,52,00,00,01
20,53,00,00,01
21,59,00,00,01
22,64,00,00,01
23,67,00,00,01
24,69,00,00,01
25,65,00,00,01
26,54,00,00,01
27,48,00,00,01
28,50,00,00,01
29,54,67,37,01
30,51,66,38,01
31,49,65,39,01
32,49,64,40,01
33,53,64,39,01
34,52,63,39,01
35,49,62,39,01
36,48,61,38,01
37,46,60,37,01
38,44,58,36,01
39,47,57,34,01
40,53,57,31,01
41,55,56,27,01
42,56,55,24,01
43,56,55,21,01
44,53,54,18,01
45,49,54,17,01
46,49,53,17,01
47,71,54,20,01
48,67,54,22,01
49,64,55,23,01
50,64,55,24,01
51,67,55,25,01
52,72,56,26,01
53,77,56,29,01
54,83,56,33,01
55,87,57,39,01
56,88,58,44,00
57,83,59,46,00
58,74,60,47,00
59,61,61,47,00
60,44,60,48,00
61,25,60,53,00
62,00,58,68,00
63,05,56,77,00
64,28,55,80,00
65,43,55,80,00
66,55,56,80,00
67,64,56,80,00
68,69,57,80,00
69,72,58,80,00
70,72,58,81,00
71,68,59,81,00
72,64,59,81,00
73,61,59,81,00
74,59,60,81,00
75,57,60,81,00
76,56,60,80,00
77,56,60,80,00
78,57,59,80,00
79,59,59,80,00
80,59,59,80,00
81,59,59,79,00
82,59,58,79,00
83,59,58,78,00
84,58,57,75,00
85,58,56,72,00
86,57,55,68,00
87,58,54,65,00
88,59,53,63,00
89,60,53,63,00
90,61,54,63,00
91,63,55,59,00
92,64,57,44,00
93,66,59,25,00
94,66,61,15,00
95,68,61,11,00
96,68,62,11,00
97,69,62,12,00
98,69,62,12,00
99,68,62,11,00
100,66,62,09,00
101,65,62,09,00
102,64,62,09,00
103,64,62,09,00
104,63,62,09,00
105,63,62,08,00
106,64,62,08,00
107,66,63,07,00
108,66,63,07,00
109,67,63,07,00
110,67,63,06,00
111,67,64,06,00
112,68,64,06,00
113,68,64,06,00
114,69,65,06,00
115,69,65,05,00
116,69,65,04,00
117,69,66,03,00
118,69,66,02,00
119,70,66,01,00
120,70,67,00,00
121,70,67,00,00
122,69,67,00,00
123,68,67,00,00
124,66,67,00,00
125,64,67,00,00
126,59,67,02,00
127,54,66,05,00
128,50,66,10,00
129,48,65,14,00
130,48,64,18,00
131,51,64,19,00
132,54,64,20,00
133,56,63,21,00
134,56,63,21,00
135,55,63,22,00
136,56,63,23,00
137,56,62,23,00
138,57,62,23,00
139,62,62,23,00
140,65,62,23,00
141,64,62,22,00
142,62,61,22,00
143,60,61,21,00
144,58,61,21,00
145,56,60,20,00
146,56,60,20,00
147,58,60,19,00
148,59,59,18,00
149,62,59,17,00
150,66,59,16,00
151,69,59,16,00
152,72,59,16,00
153,75,59,18,00
154,77,60,21,00
155,78,60,24,00
156,78,61,27,00
157,77,61,29,00
158,77,62,29,01
159,77,63,29,01
160,77,64,28,01
161,78,65,28,01
162,80,66,29,01
163,82,67,30,01
164,84,68,31,01
165,85,69,32,01
166,86,70,32,01
167,86,71,33,01
168,85,72,33,01
169,83,72,33,01
170,78,73,33,01
171,74,73,32,01
172,67,73,31,01
173,56,73,33,01
174,50,73,35,01
175,52,73,36,01
176,59,73,35,01
177,68,73,34,01
178,75,74,32,01
179,78,74,32,01
180,82,75,31,01
181,83,75,32,01
182,69,75,32,01
183,44,74,38,01
184,21,72,53,01
185,05,70,71,01
186,99,70,74,01
187,74,70,74,01
188,48,69,76,01
189,33,68,80,01
190,23,66,86,01
191,19,64,92,01
192,21,62,96,01
193,26,60,98,01
194,30,59,99,01
195,34,57,99,01
196,41,55,97,01
197,49,54,94,01
198,49,53,91,01
199,44,52,89,01
200,39,50,87,01
201,37,49,85,01
202,35,48,85,01
203,33,47,85,01
204,32,47,86,01
205,31,46,87,01
206,30,45,87,01
207,30,44,86,01
208,32,42,83,01
209,34,41,79,01
210,36,39,73,01
211,36,38,65,01
212,34,37,61,01
213,32,36,61,01
214,30,37,60,01
215,29,37,56,01
216,27,35,34,01
217,27,33,22,01
218,27,33,20,01
219,27,32,21,01
220,26,33,20,01
221,23,33,19,01
222,22,33,19,01
223,20,33,20,00
224,18,32,22,00
225,18,32,24,00
226,19,31,24,00
227,20,30,22,00
228,21,29,19,00
229,24,28,17,00
230,29,28,15,00
231,31,28,14,00
232,32,28,14,00
233,33,28,14,00
234,35,28,15,00
235,36,28,15,00
236,37,28,16,00
237,37,28,17,00
238,36,29,17,00
239,35,29,18,00
240,36,29,18,00
241,39,29,18,00
242,40,29,19,00
243,44,29,21,00
244,50,30,25,00
245,54,31,30,00
246,43,31,31,00
247,43,32,32,00
248,46,33,33,00
249,47,33,34,00
250,47,34,35,00
251,45,35,35,00
252,41,35,34,00
253,39,36,32,00
254,41,37,30,00
255,45,38,28,00
256,51,39,26,00
257,56,40,25,00
258,60,41,25,00
259,61,42,26,00
260,60,43,27,00
261,59,44,27,00
262,57,45,27,00
263,58,46,27,00
264,61,47,28,00
265,66,48,30,00
266,71,49,33,00
267,73,50,35,00
268,74,51,37,00
269,74,53,39,00
270,73,54,39,00
271,74,55,40,00
272,73,56,40,00
273,73,57,41,00
274,74,58,42,00
275,74,59,43,00
276,74,60,43,00
277,73,61,42,00
278,74,62,42,00
279,75,63,42,00
280,78,64,41,00
281,80,65,41,00
282,81,66,38,00
283,81,68,35,00
284,81,69,31,00
285,81,70,27,00
286,82,71,25,00
287,83,72,24,00
288,85,73,24,00
289,86,74,24,00
290,86,75,24,00
291,85,75,22,00
292,83,76,20,00
293,82,77,16,00
294,81,78,13,00
295,79,78,11,00
296,76,78,10,00
297,74,78,10,00
298,69,78,11,00
299,64,78,13,00
