time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,69,00,00,01
1,67,00,00,01
2,67,00,00,01
3,67,00,00,01
4,68,00,00,01
5,69,00,00,01
6,70,00,00,01
7,72,00,00,01
8,73,00,00,01
9,73,00,00,01
10,72,00,00,01
11,73,00,00,01
12,73,00,00,01
13,73,00,00,01
14,72,00,00,01
15,74,00,00,01
16,75,00,00,01
17,64,00,00,01
18,36,00,00,01
19,04,00,00,01
20,37,00,00,01
21,86,00,00,01
22,93,00,00,01
23,90,00,00,01
24,84,00,00,01
25,77,00,00,01
26,73,00,00,01
27,72,00,00,00
28,70,00,00,00
29,69,69,88,00
30,69,69,88,00
31,68,69,88,00
32,68,69,88,00
33,68,69,88,00
34,68,69,88,00
35,68,69,88,00
36,68,69,88,00
37,68,69,88,00
38,68,68,88,00
39,67,68,87,00
40,65,68,87,00
41,63,68,87,00
42,60,67,88,00
43,58,67,88,00
44,58,66,88,00
45,58,66,88,00
46,59,65,88,00
47,59,65,88,00
48,60,66,83,00
49,60,68,56,00
50,61,68,48,00
51,61,68,45,00
52,62,67,38,00
53,63,66,30,00
54,63,65,25,00
55,64,65,22,00
56,65,64,20,00
57,66,64,19,00
58,67,64,18,00
59,68,64,18,00
60,69,64,18,00
61,70,64,18,00
62,70,64,19,00
63,71,64,19,00
64,71,64,20,00
65,71,64,21,00
66,71,65,22,00
67,72,65,22,00
68,72,65,23,00
69,72,65,24,00
70,72,65,25,00
71,72,65,25,00
72,72,66,25,00
73,72,66,25,00
74,72,67,24,00
75,72,67,23,00
76,72,68,22,00
77,72,68,21,00
78,72,69,19,00
79,72,69,18,00
80,73,69,16,00
81,73,70,15,00
82,73,70,13,00
83,73,70,11,00
84,73,71,10,00
85,73,71,08,00
86,73,71,06,00
87,72,71,05,00
88,72,72,03,00
89,72,72,02,00
90,72,72,01,00
91,71,72,00,00
92,71,72,00,00
93,71,72,00,00
94,71,72,00,00
95,71,72,00,00
96,71,72,00,00
97,71,72,00,00
98,71,72,00,00
99,71,72,00,00
100,71,72,00,00
101,72,72,00,00
102,72,72,00,00
103,72,72,00,00
104,72,72,00,00
105,71,72,01,00
106,68,72,02,00
107,67,72,04,00
108,66,71,06,00
109,67,71,07,00
110,69,71,07,00
111,69,71,07,00
112,70,71,07,00
113,70,71,07,00
114,70,71,07,00
115,70,71,06,00
116,70,71,06,00
117,70,70,06,00
118,69,70,06,00
119,69,70,06,00
120,69,70,06,00
121,69,70,06,00
122,71,70,05,00
123,73,70,06,00
124,75,70,07,00
125,76,70,08,00
126,75,71,09,00
127,73,71,09,00
128,72,71,09,00
129,71,71,09,00
130,70,71,09,00
131,69,70,09,00
132,68,70,09,00
133,67,70,10,00
134,67,70,10,00
135,66,70,11,00
136,66,70,11,00
137,65,70,11,00
138,65,70,12,00
139,64,70,12,00
140,64,69,13,00
141,63,69,15,00
142,60,69,17,00
143,57,68,20,00
144,54,68,24,00
145,54,67,27,00
146,55,67,29,00
147,57,66,30,00
148,60,66,31,00
149,63,66,31,00
150,66,66,30,00
151,68,66,30,00
152,70,66,30,00
153,72,66,30,00
154,73,66,29,00
155,73,66,29,00
156,73,66,28,00
157,73,66,28,00
158,73,66,29,00
159,72,66,29,00
160,72,66,29,00
161,72,66,30,00
162,72,66,30,00
163,71,66,31,00
164,70,66,31,00
165,70,66,31,00
166,70,66,31,00
167,70,67,31,00
168,70,67,32,00
169,70,67,32,00
170,70,67,32,00
171,71,67,32,00
172,70,68,31,00
173,70,68,29,00
174,71,69,26,00
175,70,69,22,00
176,70,70,17,00
177,71,70,12,00
178,71,71,08,00
179,71,71,05,00
180,71,71,03,00
181,71,71,02,00
182,71,71,02,00
183,71,71,02,00
184,70,71,02,00
185,68,71,03,00
186,67,71,03,00
187,68,71,04,00
188,67,70,04,00
189,66,70,05,00
190,65,70,06,00
191,66,70,07,00
192,66,70,07,01
193,68,69,07,01
194,70,69,07,01
195,71,69,07,01
196,72,69,08,01
197,72,69,08,01
198,72,70,08,01
199,72,70,08,01
200,72,70,08,01
201,71,70,08,01
202,70,70,08,01
203,71,70,08,01
204,61,69,11,01
205,34,68,35,01
206,00,66,74,01
207,21,64,86,01
208,79,64,87,01
209,99,65,93,01
210,92,66,97,01
211,82,66,98,01
212,74,67,98,01
213,72,67,98,01
214,70,67,98,01
215,69,67,98,01
216,68,67,98,01
217,68,67,98,01
218,68,67,98,01
219,68,67,98,01
220,67,67,98,01
221,66,67,98,01
222,67,67,98,01
223,66,67,98,01
224,65,67,98,01
225,65,66,98,01
226,63,66,98,01
227,62,66,98,01
228,61,65,98,01
229,60,65,97,01
230,58,65,97,01
231,56,64,98,01
232,54,64,98,01
233,52,63,98,01
234,50,62,99,01
235,48,63,96,01
236,47,65,74,01
237,48,65,62,01
238,49,64,63,01
239,52,63,54,01
240,56,62,45,01
241,60,61,41,01
