time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,36,00,00,00
1,37,00,00,00
2,38,00,00,00
3,39,00,00,00
4,41,00,00,00
5,43,00,00,00
6,44,00,00,00
7,45,00,00,00
8,46,00,00,00
9,46,00,00,00
10,47,00,00,00
11,47,00,00,00
12,47,00,00,01
13,47,00,00,01
14,47,00,00,01
15,46,00,00,01
16,46,00,00,01
17,46,00,00,01
18,46,00,00,01
19,46,00,00,01
20,46,00,00,01
21,46,00,00,01
22,46,00,00,01
23,47,00,00,01
24,47,00,00,01
25,47,00,00,01
26,47,00,00,01
27,47,00,00,01
28,47,00,00,01
29,48,45,23,01
30,48,45,20,01
31,48,46,16,01
32,48,46,13,01
33,49,46,09,01
34,49,47,07,01
35,49,47,05,01
36,49,47,05,01
37,49,47,05,01
38,49,47,05,01
39,49,47,05,01
40,49,47,05,01
41,49,47,06,01
42,49,48,06,01
43,49,48,06,01
44,49,48,06,01
45,49,48,06,01
46,49,48,06,01
47,48,48,06,01
48,47,48,05,01
49,47,48,05,01
50,47,48,05,01
51,46,48,05,01
52,46,48,05,01
53,46,48,05,01
54,46,48,05,01
55,47,48,05,01
56,48,48,05,01
57,50,48,05,01
58,50,48,06,01
59,50,48,06,01
60,50,48,07,01
61,50,48,07,01
62,50,48,07,01
63,50,48,08,01
64,50,48,08,01
65,51,49,08,01
66,48,48,08,01
67,35,48,19,01
68,13,47,52,01
69,00,45,83,01
70,35,45,84,01
71,69,45,91,01
72,67,46,95,01
73,61,46,97,01
74,53,47,98,01
75,50,47,98,01
76,48,47,98,01
77,48,47,98,01
78,47,47,98,01
79,47,47,98,01
80,47,47,98,01
81,47,47,98,01
82,46,47,98,01
83,46,47,98,00
84,45,47,98,00
85,45,47,98,00
86,45,46,98,00
87,44,46,98,00
88,44,46,98,00
89,44,46,98,00
90,43,46,98,00
91,42,45,97,00
92,41,45,97,00
93,40,45,97,00
94,38,44,98,00
95,37,44,98,00
96,35,43,98,00
97,35,43,98,00
98,34,44,89,00
99,34,45,65,00
100,34,45,65,00
101,35,44,56,00
102,38,43,47,00
103,40,42,39,00
104,43,42,36,00
105,44,42,34,00
106,46,42,34,00
107,47,42,33,00
108,47,42,33,00
109,48,42,33,00
110,48,42,34,00
111,48,42,34,00
112,48,42,35,00
113,48,42,36,00
114,48,42,36,00
115,48,42,37,00
116,48,42,38,00
117,47,42,38,00
118,48,42,39,00
119,48,43,40,00
120,47,43,40,00
121,48,43,41,00
122,47,43,41,00
123,47,43,41,00
124,47,44,41,00
125,47,44,40,00
