time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,04,00,00,00
1,04,00,00,00
2,04,00,00,00
3,04,00,00,00
4,04,00,00,00
5,04,00,00,00
6,04,00,00,00
7,04,00,00,00
8,04,00,00,00
9,04,00,00,00
10,04,00,00,00
11,04,00,00,00
12,03,00,00,00
13,03,00,00,00
14,03,00,00,00
15,03,00,00,00
16,03,00,00,00
17,03,00,00,00
18,03,00,00,00
19,03,00,00,00
20,03,00,00,00
21,03,00,00,00
22,03,00,00,00
23,02,00,00,00
24,02,00,00,00
25,02,00,00,00
26,02,00,00,00
27,02,00,00,00
28,02,00,00,00
29,02,03,00,00
30,02,03,01,00
31,01,03,01,00
32,01,03,01,00
33,01,03,01,00
34,01,03,01,00
35,01,03,01,00
36,01,02,01,00
37,00,02,02,00
38,00,02,02,00
39,00,02,02,00
40,00,02,02,00
41,00,02,02,00
42,00,02,02,00
43,00,02,02,00
44,00,02,02,00
45,00,01,02,00
46,00,01,02,00
47,00,01,02,00
48,00,01,02,00
49,00,01,02,00
50,01,01,01,00
51,01,01,01,00
52,01,01,01,00
53,01,01,01,00
54,01,01,00,00
55,01,01,00,00
56,02,01,00,00
57,02,01,00,00
58,02,01,00,00
59,01,01,00,00
60,02,01,00,00
61,05,01,02,00
62,10,01,06,00
63,17,02,12,00
64,24,02,19,00
65,28,03,27,00
66,32,04,34,00
67,34,06,40,00
68,36,07,46,00
69,38,08,51,00
70,40,09,55,00
71,42,11,60,00
72,44,12,64,00
73,47,14,69,00
74,50,15,73,00
75,53,17,77,00
76,56,19,81,00
77,59,21,85,00
78,62,23,89,00
79,64,25,92,00
80,65,27,95,00
81,67,30,97,00
82,68,32,98,00
83,69,34,99,00
84,70,36,99,00
85,71,39,98,00
86,72,41,97,00
87,72,43,95,00
88,73,46,92,00
89,73,48,87,00
90,73,50,82,00
91,74,53,76,00
92,74,55,70,00
93,74,57,65,00
94,75,58,61,00
95,75,60,58,00
96,75,61,55,00
97,76,63,51,00
98,76,64,48,00
99,76,66,44,00
100,77,67,40,00
101,77,68,36,00
102,78,69,32,00
103,78,70,29,00
104,78,71,25,00
105,79,72,22,00
106,79,73,19,00
107,79,73,17,00
108,79,74,15,00
109,80,74,14,00
110,86,75,14,00
111,93,76,18,00
112,99,77,23,00
113,99,78,28,00
114,99,79,31,00
115,99,80,33,00
116,99,81,36,00
117,99,82,37,00
118,99,83,39,00
119,99,83,40,00
120,99,84,41,00
121,99,85,41,00
122,99,86,42,00
123,99,87,42,00
124,99,88,42,00
125,99,88,41,00
126,99,89,41,00
127,99,90,40,00
128,99,91,39,00
129,99,91,38,00
130,93,92,36,00
131,86,92,35,00
132,80,92,34,00
133,80,92,34,00
134,80,92,34,00
135,79,93,34,00
136,79,93,33,00
137,79,93,33,00
138,79,93,33,00
139,79,92,34,00
140,79,92,35,00
141,79,92,36,00
142,79,91,37,00
143,79,90,37,00
144,79,90,38,00
145,79,89,38,00
146,79,88,38,00
147,79,88,38,00
148,79,87,37,00
149,79,86,37,00
150,79,86,36,00
151,79,85,35,00
152,79,84,33,00
153,79,84,32,00
154,79,83,30,00
155,79,82,27,00
156,79,82,24,00
157,79,81,21,00
158,78,80,16,00
159,85,80,10,00
160,92,80,10,00
161,99,80,16,00
162,99,81,21,00
163,99,82,24,00
164,99,82,27,00
165,99,83,30,00
166,99,83,32,00
167,99,84,34,00
168,99,85,35,00
169,99,85,36,00
170,95,86,37,00
171,90,86,36,00
172,85,87,36,00
173,85,87,36,00
174,85,87,35,00
175,84,87,35,00
176,84,87,34,00
177,84,87,34,00
178,83,88,33,00
179,83,88,33,00
180,83,88,32,00
181,82,88,32,00
182,82,88,31,00
183,81,88,31,00
184,81,88,30,00
185,81,88,30,00
186,80,88,30,00
187,80,88,30,00
188,79,88,30,00
189,79,88,30,00
190,78,88,31,00
191,78,87,31,00
192,78,86,30,00
193,77,86,29,00
194,77,85,28,00
195,76,84,27,00
196,76,83,25,00
197,76,83,23,00
198,75,82,20,00
199,75,81,16,00
200,74,80,13,00
201,74,80,12,00
202,74,79,12,00
203,73,79,12,00
204,73,79,12,00
205,73,78,12,00
206,72,78,12,00
207,72,77,12,00
208,72,77,12,00
209,71,77,12,00
210,71,76,12,00
211,71,76,12,00
212,71,76,11,00
213,71,75,11,00
214,71,75,11,00
215,71,75,10,00
216,71,74,10,00
217,71,74,09,00
218,71,74,09,00
219,72,74,08,00
220,72,73,07,00
221,72,73,06,00
222,73,73,06,00
223,73,73,05,00
224,73,73,04,00
225,74,73,04,00
226,74,73,03,00
227,75,72,03,00
228,75,72,03,00
229,76,73,03,00
230,76,73,04,00
231,77,73,05,00
232,77,73,05,00
233,78,73,06,00
234,78,73,07,00
235,79,73,08,00
236,79,74,09,00
237,80,74,10,00
238,80,74,11,00
239,81,74,11,00
240,81,75,12,00
241,81,75,12,00
242,82,75,13,00
243,82,76,13,00
244,82,76,13,00
245,83,77,14,00
246,83,77,14,00
247,83,77,14,00
248,84,78,14,00
249,84,78,13,00
250,84,79,13,00
251,84,79,13,00
252,84,79,13,00
253,84,80,12,00
254,84,80,12,00
255,84,80,11,00
256,84,81,10,00
257,84,81,10,00
258,84,81,09,00
259,84,82,08,00
260,84,82,08,00
261,84,82,07,00
262,83,82,06,00
263,83,83,05,00
264,82,83,04,00
265,81,83,04,00
266,80,83,04,00
267,79,83,04,00
268,77,83,05,00
269,75,82,07,00
270,75,82,08,00
271,71,82,11,00
272,69,81,15,00
273,66,81,18,00
274,63,80,22,00
275,59,80,27,00
276,56,79,32,00
277,52,78,37,00
278,50,76,42,00
279,46,75,47,00
280,43,74,52,00
281,40,72,57,00
282,38,71,62,00
283,35,69,66,00
284,33,67,71,00
285,30,66,75,00
286,27,64,79,00
287,24,62,82,00
288,22,60,85,00
289,19,57,88,00
290,17,55,91,00
291,15,53,93,00
292,15,51,94,00
293,14,48,95,00
294,14,46,94,00
295,14,44,93,00
296,15,42,92,00
297,14,40,89,00
298,12,37,87,00
299,12,35,83,00
