time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,92,00,00,00
1,93,00,00,01
2,98,00,00,01
3,99,00,00,01
4,99,00,00,01
5,97,00,00,01
6,94,00,00,01
7,92,00,00,01
8,92,00,00,01
9,91,00,00,01
10,89,00,00,01
11,89,00,00,01
12,86,00,00,01
13,68,00,00,01
14,27,00,00,01
15,13,00,00,01
16,11,00,00,01
17,11,00,00,01
18,12,00,00,01
19,13,00,00,01
20,13,00,00,01
21,14,00,00,01
22,15,00,00,01
23,15,00,00,01
24,40,00,00,01
25,74,00,00,01
26,86,00,00,01
27,92,00,00,01
28,91,00,00,01
29,85,63,98,01
30,82,63,97,01
31,80,62,95,01
32,77,62,93,01
33,75,61,90,01
34,72,60,87,01
35,71,59,84,01
36,69,58,81,01
37,69,57,79,01
38,68,57,76,01
39,65,56,73,01
40,46,54,71,01
41,15,52,71,01
42,08,49,72,01
43,08,47,75,01
44,10,47,78,01
45,12,47,78,01
46,13,47,78,01
47,15,47,77,01
48,15,47,76,01
49,16,47,76,01
50,17,47,75,01
51,48,48,72,00
52,75,50,71,00
53,86,53,71,00
54,89,54,74,00
55,89,55,76,00
56,85,55,75,00
57,82,54,74,00
58,79,54,72,00
59,75,54,71,00
60,73,53,70,00
61,72,53,69,00
62,71,53,68,00
63,70,53,68,00
64,69,53,67,00
65,66,53,67,00
66,56,52,66,00
67,22,51,68,00
68,10,49,71,00
69,09,47,74,00
70,11,46,77,00
71,13,46,77,00
72,14,46,76,00
73,16,46,75,00
74,17,46,74,00
75,18,46,73,00
76,24,47,72,00
77,63,48,69,00
78,83,51,69,00
79,91,53,70,00
80,92,56,70,00
81,88,57,72,00
82,84,57,73,00
83,81,57,72,00
84,78,57,71,00
85,76,56,69,00
86,74,56,68,00
87,71,56,67,00
88,70,55,66,00
89,70,55,65,00
90,70,55,65,00
91,66,55,64,00
92,47,54,64,00
93,14,52,67,00
94,08,50,71,00
95,08,48,74,00
96,11,47,78,00
97,13,46,79,00
98,15,46,78,00
99,15,47,77,00
100,16,47,76,00
101,17,47,76,00
102,18,47,75,00
103,38,48,73,00
104,74,50,72,00
105,88,52,73,00
106,92,54,74,00
107,91,55,77,00
108,87,55,78,00
109,82,55,76,00
110,78,55,74,00
111,76,54,73,00
112,73,54,71,00
113,71,54,70,00
114,70,53,69,00
115,70,53,69,00
116,70,53,68,00
117,69,53,68,00
118,62,53,68,00
119,29,51,68,00
120,10,49,71,00
121,08,47,74,00
122,10,46,78,00
123,12,46,78,00
124,14,46,77,00
125,15,46,76,00
126,16,47,75,00
127,18,47,74,00
128,18,47,74,00
129,19,47,73,00
130,48,48,71,00
131,77,50,70,00
132,89,52,71,00
133,92,54,74,00
134,90,55,76,00
135,87,55,76,00
136,83,54,74,00
137,80,54,73,00
138,77,54,71,00
139,74,53,70,00
140,72,53,70,00
141,69,53,69,00
142,68,53,68,00
143,68,53,68,00
144,67,53,68,00
145,64,52,67,00
146,41,51,67,00
147,13,50,70,00
148,09,48,73,00
149,10,47,76,00
150,12,47,76,00
151,14,47,75,00
152,14,48,74,00
153,15,48,74,00
154,15,48,73,00
155,15,48,73,00
156,17,48,73,00
157,36,48,72,00
158,47,49,69,00
159,51,50,67,00
160,52,50,67,00
161,51,50,65,00
162,48,48,60,00
163,47,47,55,00
164,45,45,49,00
165,44,44,44,00
166,43,42,38,00
167,42,41,34,00
168,41,40,29,00
169,41,39,25,00
170,41,38,20,00
171,40,37,16,00
172,33,36,12,00
173,16,34,09,00
174,10,32,06,00
175,11,30,03,00
176,11,29,04,00
177,12,29,04,00
178,14,30,03,00
179,15,30,02,00
180,17,30,01,00
181,18,30,01,00
182,18,30,00,00
183,46,31,00,00
184,74,33,07,00
185,85,36,17,00
186,90,38,26,00
187,89,40,35,00
188,87,41,42,00
189,84,42,47,00
190,78,43,51,00
191,75,44,54,00
192,72,45,56,00
193,70,45,58,00
194,69,46,59,00
195,70,47,61,00
196,70,48,62,00
197,68,49,63,00
198,57,49,63,00
199,22,49,65,00
200,00,47,71,00
201,00,46,76,00
202,03,45,80,00
203,05,45,82,00
204,08,45,82,00
205,09,45,82,00
206,10,45,82,00
207,11,45,83,00
208,12,44,83,00
209,12,44,84,00
210,33,45,82,00
211,72,47,82,00
212,86,49,83,00
213,94,51,88,00
214,95,51,91,00
215,94,52,92,00
216,91,52,93,00
217,88,52,92,00
218,84,51,92,00
219,80,51,91,00
220,78,51,91,00
221,76,51,91,00
222,75,51,92,00
223,74,52,92,00
224,74,52,92,00
225,71,52,93,00
226,52,51,92,00
227,16,49,94,00
228,08,48,97,00
229,08,47,99,00
230,09,48,97,00
231,11,48,95,00
232,12,48,94,00
233,13,49,92,00
234,14,49,91,00
235,15,49,90,00
236,17,49,89,00
237,59,51,86,00
238,83,53,85,00
239,93,56,84,00
240,96,58,86,00
241,94,59,89,00
242,91,59,89,00
243,86,59,88,00
244,82,58,86,00
245,80,58,84,00
246,78,57,83,00
247,76,57,81,00
248,74,56,80,00
249,73,56,80,00
250,73,56,79,00
251,69,56,79,00
252,56,55,78,00
253,21,53,79,00
254,10,51,83,00
255,09,49,86,00
256,10,48,89,00
257,11,48,90,01
258,12,48,89,01
259,13,48,88,01
260,15,48,87,01
261,15,48,87,01
262,16,48,86,01
263,21,49,85,01
264,61,50,82,01
265,82,53,81,01
266,90,55,81,01
267,93,56,85,01
268,92,56,86,01
269,87,56,85,01
270,85,56,83,01
271,81,55,81,01
272,79,55,79,00
273,77,55,78,00
274,76,54,78,00
275,74,54,77,00
276,72,54,76,00
277,73,54,76,00
278,71,54,76,00
279,66,54,75,00
280,40,53,75,00
281,14,51,78,00
282,09,49,81,00
283,10,49,83,00
284,11,49,83,00
285,13,49,82,00
286,14,49,82,00
287,15,49,81,00
288,15,49,80,00
289,16,49,80,00
290,38,50,77,00
291,72,52,75,00
292,86,54,74,00
293,92,57,75,00
294,91,58,77,00
295,87,58,78,00
296,82,58,77,00
297,78,57,75,00
298,74,57,73,00
299,72,56,71,00
