time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,96,00,00,00
1,96,00,00,00
2,97,00,00,00
3,98,00,00,00
4,98,00,00,00
5,98,00,00,00
6,99,00,00,00
7,99,00,00,00
8,99,00,00,00
9,99,00,00,00
10,99,00,00,00
11,99,00,00,00
12,99,00,00,00
13,98,00,00,00
14,98,00,00,00
15,97,00,00,00
16,97,00,00,00
17,96,00,00,00
18,95,00,00,00
19,95,00,00,00
20,94,00,00,00
21,93,00,00,00
22,92,00,00,00
23,91,00,00,00
24,91,00,00,00
25,90,00,00,00
26,89,00,00,00
27,88,00,00,00
28,87,00,00,00
29,87,95,50,00
30,86,95,55,00
31,86,94,58,00
32,85,94,62,00
33,84,94,65,00
34,84,93,68,00
35,83,93,71,00
36,83,92,73,00
37,82,92,74,00
38,81,91,76,00
39,81,90,77,00
40,80,90,78,00
41,79,89,78,00
42,78,88,79,00
43,77,88,80,00
44,76,87,80,00
45,75,86,81,00
46,74,85,81,00
47,73,85,82,00
48,73,84,82,00
49,72,83,82,00
50,71,82,83,00
51,70,82,83,00
52,70,81,84,00
53,69,80,84,00
54,68,79,85,00
55,67,79,86,00
56,66,78,88,00
57,65,77,89,00
58,64,76,90,00
59,64,75,91,00
60,63,75,92,00
61,62,74,93,00
62,61,73,94,00
63,60,72,94,00
64,59,71,95,00
65,58,71,95,00
66,56,70,97,00
67,55,69,98,00
68,55,68,98,00
69,54,67,98,00
70,54,66,98,00
71,53,65,98,00
72,52,64,98,00
73,51,64,98,00
74,50,63,98,00
75,49,62,98,00
76,48,61,99,00
77,48,60,99,00
78,47,59,99,00
79,46,58,99,00
80,45,58,99,00
81,45,57,98,00
82,44,56,98,00
83,43,55,97,00
84,42,54,96,00
85,42,53,96,00
86,41,53,95,00
87,41,52,94,00
88,40,51,93,00
89,40,50,91,00
90,39,49,89,00
91,39,49,87,00
92,39,48,85,00
93,38,47,82,00
94,38,46,79,00
95,38,46,76,00
96,37,45,75,00
97,37,44,73,00
98,37,44,71,00
99,36,43,69,00
100,36,43,66,00
101,35,42,63,00
102,35,42,60,00
103,35,41,58,00
104,34,40,56,00
105,34,40,54,00
106,33,39,52,00
107,33,39,50,00
108,33,39,49,00
109,32,38,47,00
110,32,38,46,00
111,31,37,45,00
112,31,37,44,00
113,31,36,44,00
114,30,36,43,00
115,30,35,43,00
116,29,35,44,00
117,29,35,44,00
118,28,34,44,00
119,28,34,45,00
120,27,33,45,00
121,27,33,46,00
122,27,33,46,00
123,26,32,47,00
124,26,32,47,00
125,26,31,47,00
126,25,31,47,00
127,25,31,47,00
128,24,30,47,00
129,24,30,47,00
130,24,29,47,00
131,23,29,47,00
132,23,29,47,00
133,22,28,47,00
134,21,28,47,00
135,21,27,47,00
136,20,27,48,00
137,20,26,49,00
138,19,26,49,00
