time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,55,00,00,00
1,57,00,00,00
2,57,00,00,00
3,59,00,00,00
4,60,00,00,00
5,61,00,00,00
6,62,00,00,00
7,62,00,00,00
8,62,00,00,00
9,62,00,00,00
10,62,00,00,00
11,60,00,00,00
12,58,00,00,00
13,56,00,00,00
14,54,00,00,00
15,53,00,00,00
16,52,00,00,00
17,51,00,00,00
18,51,00,00,00
19,51,00,00,00
20,50,00,00,00
21,50,00,00,00
22,50,00,00,00
23,50,00,00,00
24,50,00,00,00
25,51,00,00,00
26,51,00,00,00
27,51,00,00,00
28,51,00,00,00
29,51,55,19,00
30,51,55,19,00
31,51,55,20,01
32,51,54,20,01
33,51,54,20,01
34,51,54,19,01
35,51,54,18,01
36,51,53,17,01
37,51,53,16,01
38,51,52,14,01
39,51,52,11,01
40,50,52,09,01
41,51,51,06,01
42,51,51,04,01
43,51,51,02,01
44,50,51,01,01
45,50,51,00,01
46,50,51,00,01
47,51,51,00,01
48,50,51,00,01
49,50,51,00,01
50,50,51,00,01
51,50,51,00,01
52,50,51,00,01
53,50,51,00,01
54,50,51,00,01
55,51,51,00,01
56,50,51,00,01
57,50,51,00,01
58,50,51,00,01
59,50,51,00,01
60,50,51,00,01
61,50,50,00,01
62,51,50,00,01
63,52,51,00,01
64,52,51,01,01
65,54,51,02,01
66,53,51,03,01
67,54,51,03,01
68,53,51,04,01
69,51,51,04,01
70,51,51,04,01
71,50,51,04,01
72,51,51,04,01
73,51,51,04,01
74,51,51,04,01
75,50,51,04,01
76,51,51,04,01
77,51,51,04,01
78,51,51,04,01
79,50,51,04,01
80,57,51,06,01
81,79,52,22,01
82,99,54,42,01
83,93,55,52,01
84,69,56,53,01
85,48,56,54,01
86,49,56,54,01
87,50,56,54,01
88,50,56,54,01
89,49,56,54,01
90,48,56,54,01
91,48,56,54,01
92,49,55,54,01
93,49,55,54,01
94,49,55,55,01
95,49,55,55,01
96,49,55,55,01
97,49,55,55,01
98,49,55,55,01
99,49,55,55,00
100,49,55,56,00
101,50,55,56,00
102,50,54,56,00
103,50,54,56,00
104,50,54,56,00
105,51,54,56,00
106,51,54,56,00
107,52,54,56,00
108,52,54,56,00
109,52,55,56,00
110,53,54,55,00
111,54,54,52,00
112,55,52,36,00
113,56,51,16,00
114,57,51,09,00
115,58,51,11,00
116,59,51,12,00
117,61,52,14,00
118,61,52,16,00
119,62,52,17,00
120,62,53,18,00
121,61,53,19,00
122,59,54,19,00
123,58,54,19,00
124,56,54,19,00
125,54,54,18,00
126,53,54,18,00
127,52,55,18,00
128,51,55,17,00
129,51,55,17,00
130,51,55,17,00
131,51,55,17,00
132,51,55,17,00
133,50,55,16,00
134,51,55,16,00
135,51,55,16,00
136,51,55,16,00
137,50,55,17,00
138,51,55,17,00
139,51,55,17,00
140,51,55,17,00
141,51,55,17,00
142,51,54,18,00
143,51,54,18,00
144,51,54,18,00
145,51,54,17,00
146,52,54,17,00
147,52,53,16,00
148,52,53,15,00
149,51,53,13,00
150,51,52,11,00
151,52,52,08,00
152,52,52,06,00
153,52,51,04,00
154,52,51,02,00
155,52,51,01,00
156,52,51,01,00
157,52,51,01,00
158,52,51,01,00
159,52,51,01,00
160,52,51,01,00
161,52,51,01,00
162,52,51,01,00
163,52,51,01,00
164,52,52,01,00
165,52,52,01,00
166,52,52,01,00
167,53,52,01,00
168,53,52,01,00
169,53,52,01,00
170,52,52,01,00
171,53,52,00,00
172,52,52,00,00
173,52,52,00,00
174,53,52,01,00
175,55,52,02,00
176,56,52,03,00
177,56,52,04,00
178,56,53,05,00
179,57,53,05,00
180,62,53,08,01
181,69,54,15,01
182,73,54,21,01
183,57,55,21,01
184,27,54,30,01
185,07,52,47,01
186,00,51,63,01
187,01,49,74,01
188,07,47,81,01
189,16,46,85,01
190,23,45,86,01
191,30,44,87,01
192,37,44,87,01
193,46,44,87,01
194,51,44,87,01
195,55,44,87,00
196,57,44,87,00
197,58,44,88,00
198,58,44,88,00
199,58,44,88,00
200,60,45,89,00
201,59,45,90,00
202,60,45,90,00
203,60,45,91,00
204,61,46,91,00
205,61,46,92,00
206,62,46,93,00
207,63,46,93,00
208,65,47,94,00
209,67,47,95,00
210,67,47,96,00
211,70,47,96,00
212,72,47,96,00
213,74,48,98,00
214,78,49,99,00
215,81,52,96,00
216,85,55,89,00
217,89,58,82,00
218,92,61,75,00
219,95,63,71,00
220,95,66,67,00
221,94,68,64,00
222,92,70,62,00
223,88,71,61,00
224,83,72,59,00
225,77,73,57,00
226,72,73,56,00
227,66,73,55,00
228,61,74,54,00
229,57,74,54,00
230,54,73,56,00
231,52,73,57,00
232,51,73,59,00
233,50,72,61,00
234,48,72,63,00
235,48,72,66,00
236,48,71,68,00
237,47,71,70,00
238,47,70,73,00
239,47,69,75,00
240,47,69,77,00
241,46,68,79,00
242,46,67,81,00
243,46,66,82,00
244,46,65,83,00
245,47,64,83,00
246,46,63,82,00
247,46,61,80,00
248,46,60,77,00
249,46,58,72,00
250,45,56,66,00
251,45,55,59,00
252,46,53,51,00
253,46,52,42,00
254,45,50,34,00
255,46,49,27,00
256,46,49,20,00
257,46,48,15,00
258,46,47,11,00
259,46,47,08,00
260,46,47,06,00
261,46,47,04,00
262,46,46,03,00
263,46,46,02,00
264,47,46,01,00
265,46,46,01,00
266,47,46,01,00
267,48,46,01,00
268,47,46,01,00
269,47,46,01,00
270,47,46,01,00
271,47,46,01,00
272,48,46,01,00
273,48,46,01,00
274,47,46,02,00
275,48,46,02,00
276,48,46,02,00
277,49,46,02,00
278,48,47,02,00
279,48,47,03,00
280,48,47,03,00
281,48,47,03,00
282,48,47,03,00
283,47,47,02,00
284,48,47,02,00
285,48,47,02,00
286,49,47,03,00
287,50,47,03,00
288,51,48,04,00
289,52,48,05,00
290,52,48,05,00
291,51,48,06,00
292,50,48,06,00
293,50,48,06,00
294,49,48,06,00
295,49,48,05,00
296,49,49,05,00
297,49,49,05,00
298,49,49,05,00
299,50,49,05,00
