time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,60,00,00,00
1,63,00,00,00
2,67,00,00,00
3,70,00,00,00
4,72,00,00,00
5,73,00,00,00
6,75,00,00,00
7,77,00,00,00
8,75,00,00,00
9,72,00,00,00
10,68,00,00,00
11,62,00,00,00
12,55,00,00,00
13,50,00,00,00
14,46,00,00,00
15,44,00,00,00
16,41,00,00,00
17,40,00,00,00
18,39,00,00,00
19,39,00,00,00
20,39,00,00,00
21,38,00,00,00
22,38,00,00,00
23,39,00,00,00
24,39,00,00,00
25,39,00,00,00
26,41,00,00,00
27,40,00,00,00
28,40,00,00,00
29,40,53,75,00
30,39,52,76,00
31,39,51,76,00
32,39,50,75,00
33,39,49,73,00
34,39,48,70,01
35,38,47,66,01
36,39,46,61,01
37,39,44,53,01
38,39,43,44,01
39,37,42,35,01
40,37,41,25,01
41,39,40,17,01
42,37,40,10,01
43,37,39,06,01
44,37,39,04,01
45,37,39,02,01
46,37,39,01,01
47,37,39,01,01
48,37,39,02,01
49,36,38,02,01
50,36,38,03,01
51,36,38,03,01
52,37,38,03,01
53,36,38,04,01
54,35,38,04,01
55,36,38,04,01
56,37,38,04,01
57,37,38,04,01
58,38,38,03,01
59,40,38,03,01
60,42,38,04,01
61,42,38,06,01
62,45,38,08,01
63,46,38,10,01
64,47,39,13,01
65,46,39,14,01
66,47,39,16,01
67,45,39,17,01
68,39,39,17,01
69,38,39,17,01
70,36,39,17,01
71,35,39,18,01
72,36,39,18,01
73,33,39,18,01
74,32,39,19,01
75,33,39,20,01
76,35,39,20,01
77,36,39,20,01
78,36,38,20,01
79,42,39,21,01
80,55,39,25,01
81,62,40,33,01
82,57,41,36,01
83,28,41,37,01
84,09,40,47,01
85,00,39,60,01
86,15,38,64,01
87,28,37,65,01
88,33,37,65,01
89,36,37,65,01
90,37,37,65,01
91,38,37,64,01
92,38,37,64,01
93,39,36,63,00
94,39,36,63,00
95,40,36,62,00
96,41,36,61,00
97,41,36,61,00
98,41,36,61,00
99,41,36,61,00
100,42,36,61,00
101,42,36,62,00
102,43,36,62,00
103,45,37,62,00
104,46,37,63,00
105,47,38,63,00
106,47,38,64,00
107,47,39,64,00
108,52,39,65,00
109,53,39,67,00
110,55,39,67,00
111,60,39,66,00
112,62,40,67,00
113,65,41,71,00
114,70,43,69,00
115,72,45,60,00
116,74,47,59,00
117,76,49,62,00
118,76,50,65,00
119,77,52,68,00
120,74,53,70,00
121,69,54,70,00
122,63,55,68,00
123,56,55,67,00
124,51,56,65,00
125,49,56,63,00
126,45,56,63,00
127,42,56,62,00
128,41,56,63,00
129,39,56,63,00
130,39,56,64,00
131,39,56,64,00
132,38,56,65,00
133,37,55,67,00
134,38,55,68,00
135,40,55,69,00
136,39,55,70,00
137,38,54,72,00
138,39,54,73,00
139,40,53,74,00
140,40,53,75,00
141,40,52,76,00
142,38,52,76,00
143,38,51,76,00
144,39,50,74,00
145,39,49,72,00
146,39,47,68,00
147,39,46,62,00
148,38,45,56,00
149,39,44,47,00
150,39,42,37,00
151,39,41,28,00
152,38,41,19,00
153,39,40,13,00
154,39,40,08,00
155,39,39,04,00
156,39,39,01,00
157,38,39,01,00
158,38,39,00,00
