time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,33,00,00,00
1,32,00,00,00
2,31,00,00,00
3,31,00,00,00
4,31,00,00,00
5,30,00,00,00
6,30,00,00,00
7,30,00,00,00
8,29,00,00,00
9,29,00,00,00
10,29,00,00,00
11,29,00,00,00
12,30,00,00,00
13,30,00,00,00
14,30,00,00,00
15,30,00,00,00
16,30,00,00,00
17,31,00,00,00
18,31,00,00,00
19,32,00,00,00
20,32,00,00,00
21,33,00,00,00
22,34,00,00,00
23,34,00,00,00
24,35,00,00,00
25,35,00,00,00
26,36,00,00,00
27,37,00,00,00
28,37,00,00,00
29,38,32,04,00
30,38,32,05,00
31,39,32,06,00
32,39,33,06,00
33,39,33,07,00
34,39,33,07,00
35,39,33,08,00
36,39,34,08,00
37,39,34,08,00
38,38,34,08,00
39,38,35,07,00
40,37,35,07,00
41,37,35,07,00
42,36,35,06,00
43,36,36,06,00
44,35,36,05,00
45,33,36,05,00
46,33,36,04,00
47,32,36,04,00
48,31,36,04,00
49,30,36,04,00
50,30,36,05,00
51,29,36,05,00
52,28,36,06,00
53,27,35,07,00
54,26,35,08,00
55,26,35,09,00
56,25,34,10,00
57,24,34,11,00
58,24,34,12,00
59,23,33,12,00
60,22,33,13,00
61,22,32,13,00
62,22,31,14,00
63,21,31,14,00
64,21,30,14,00
65,20,30,14,00
66,20,29,14,00
67,19,28,14,00
68,19,28,14,00
69,19,27,14,00
70,18,26,13,00
71,18,26,13,00
72,18,25,13,00
73,17,24,12,00
74,17,24,11,00
75,16,23,11,00
76,16,23,10,00
77,16,22,10,00
78,15,22,09,00
79,15,21,09,00
80,15,21,08,00
81,14,20,08,00
82,14,20,08,00
83,14,19,07,00
84,14,19,07,00
85,14,18,06,00
86,14,18,06,00
87,13,18,06,00
88,13,17,05,00
89,13,17,05,00
90,13,17,05,00
91,13,16,04,00
92,12,16,04,00
93,12,16,04,00
94,12,15,03,00
95,12,15,03,00
96,12,15,03,00
97,12,15,03,00
98,11,14,03,00
99,11,14,03,00
100,11,14,02,00
101,11,14,02,00
102,10,13,02,00
103,11,13,02,00
104,11,13,02,00
105,10,13,02,00
106,10,13,02,00
107,10,12,01,00
108,10,12,01,00
109,10,12,01,00
110,10,12,01,00
111,10,12,01,00
112,10,12,01,00
113,10,11,01,00
114,09,11,01,00
115,09,11,01,00
116,09,11,00,00
117,09,11,00,00
118,09,11,00,00
119,09,11,00,00
120,08,10,00,00
121,08,10,00,00
122,08,10,00,00
123,08,10,00,00
124,08,10,00,00
125,08,10,00,00
126,07,10,00,00
127,07,09,00,00
128,07,09,00,00
129,07,09,00,00
130,06,09,00,00
131,06,09,01,00
132,06,09,01,00
133,06,08,01,00
134,05,08,01,00
135,05,08,01,00
136,05,08,01,00
137,04,08,02,00
138,04,08,02,00
139,04,07,02,00
140,04,07,02,00
141,04,07,02,00
142,04,07,02,00
143,04,07,02,00
144,05,06,02,00
145,05,06,02,00
146,06,06,01,00
147,07,06,01,00
148,09,06,01,00
149,11,06,02,00
150,15,06,03,00
151,18,07,06,00
152,22,07,09,00
153,27,08,13,00
154,33,09,17,00
155,38,10,22,00
156,44,11,27,00
157,50,12,33,00
158,56,14,39,00
159,62,16,45,00
160,67,18,52,01
161,72,20,58,01
162,77,22,64,01
163,82,25,70,01
164,86,28,76,01
165,90,31,81,01
166,93,33,85,01
167,96,36,90,01
168,97,40,93,01
169,99,43,96,01
170,00,43,96,01
171,99,46,98,01
172,98,49,99,01
173,96,52,99,01
174,94,55,98,01
175,91,58,96,01
176,88,61,93,01
177,85,63,90,01
178,81,66,86,01
179,77,68,81,01
180,74,70,76,01
181,70,71,71,01
182,67,73,67,01
183,64,74,63,01
184,61,75,59,01
185,59,76,57,01
186,56,76,55,01
187,54,76,55,01
188,52,76,55,01
189,50,76,56,01
190,48,75,58,01
191,47,74,59,01
192,45,73,61,01
193,44,72,63,01
194,43,71,64,01
195,42,69,65,01
196,42,67,65,01
197,41,66,64,01
198,40,64,63,01
199,40,62,62,01
200,39,63,54,01
201,39,61,52,01
202,38,59,50,01
203,38,57,47,01
204,38,55,44,01
205,38,53,41,01
206,38,52,37,01
207,37,50,34,01
208,37,49,31,01
209,36,47,28,01
210,36,46,25,00
211,36,45,22,00
212,35,44,20,00
213,34,43,18,00
214,34,42,16,00
215,34,41,14,00
216,33,40,12,00
217,32,40,11,00
218,31,39,10,00
219,31,38,09,00
220,30,38,09,00
221,30,37,08,00
222,29,37,08,00
223,29,36,08,00
224,29,36,08,00
225,28,35,08,00
226,28,35,08,00
227,28,34,08,00
228,28,34,08,00
229,28,33,08,00
230,28,33,08,00
231,28,33,08,00
232,29,32,07,00
233,29,32,07,00
234,29,32,07,00
235,30,32,06,00
236,30,31,05,00
237,31,31,05,00
238,32,31,04,00
239,32,31,04,00
240,33,31,03,00
241,33,31,03,00
242,34,31,03,00
243,35,31,03,00
244,36,31,03,00
245,36,31,03,00
246,37,31,04,00
247,37,31,05,00
248,38,31,05,00
249,38,31,06,00
250,38,32,07,00
251,38,32,07,00
252,38,32,08,00
253,38,33,08,00
254,38,33,08,00
255,38,33,08,00
256,37,34,08,00
257,37,34,08,00
258,37,34,07,00
259,36,34,07,00
260,35,35,06,00
261,35,35,06,00
262,34,35,05,00
263,33,35,05,00
264,32,35,04,00
265,31,35,04,00
266,31,35,04,00
267,30,35,04,00
268,29,35,05,00
269,28,35,05,00
270,27,35,06,00
271,27,35,07,00
272,26,34,08,00
273,25,34,09,00
274,25,34,10,00
275,24,33,10,00
276,23,33,11,00
277,23,32,12,00
278,22,32,12,00
279,22,31,13,00
280,21,31,13,00
281,21,30,14,00
282,20,30,14,00
283,20,29,14,00
284,20,28,14,00
285,19,28,14,00
286,18,27,13,00
287,18,26,13,00
288,18,26,13,00
289,17,25,12,00
290,17,25,12,00
291,17,24,12,00
292,16,23,11,00
293,16,23,11,00
294,16,22,10,00
295,15,22,10,00
296,15,21,09,00
297,15,21,09,00
298,15,20,08,00
299,14,20,08,00
