time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,57,00,00,01
1,45,00,00,01
2,45,00,00,01
3,36,00,00,01
4,34,00,00,01
5,33,00,00,01
6,36,00,00,01
7,34,00,00,01
8,45,00,00,01
9,59,00,00,01
10,55,00,00,01
11,67,00,00,00
12,78,00,00,00
13,76,00,00,00
14,88,00,00,00
15,86,00,00,00
16,89,00,00,00
17,88,00,00,00
18,87,00,00,00
19,88,00,00,00
20,77,00,00,00
21,77,00,00,00
22,77,00,00,00
23,67,00,00,00
24,65,00,00,00
25,68,00,00,00
26,67,00,00,00
27,66,00,00,00
28,53,00,00,00
29,57,63,36,00
30,52,63,36,00
31,45,63,36,00
32,44,63,36,00
33,36,63,36,00
34,34,63,36,00
35,24,63,40,00
36,23,62,46,00
37,58,63,40,00
38,61,64,38,00
39,64,64,38,00
40,67,64,38,00
41,69,64,38,00
42,70,64,37,00
43,72,64,36,00
44,75,64,33,00
45,78,63,31,00
46,80,63,29,00
47,82,63,27,00
48,82,63,25,00
49,81,62,23,00
50,80,63,24,00
51,79,63,24,00
52,76,63,24,00
53,74,63,25,00
54,71,63,25,00
55,67,63,25,00
56,64,63,25,00
57,60,63,25,00
58,56,63,24,00
59,52,63,25,00
60,48,62,26,00
61,45,62,26,00
62,43,62,26,00
63,41,63,25,00
64,40,63,22,00
65,40,63,15,00
66,41,64,05,00
67,43,63,09,00
68,46,63,11,00
69,49,62,13,00
70,53,62,13,00
71,57,61,13,00
72,62,61,12,00
73,67,61,12,00
74,71,61,11,00
75,74,61,10,00
76,77,61,09,00
77,78,61,08,00
78,79,60,07,00
79,79,60,06,00
80,77,60,05,00
81,76,60,04,00
82,75,60,03,00
83,72,60,03,00
84,69,60,03,00
85,66,60,03,00
86,62,60,03,00
87,58,60,03,00
88,55,60,03,00
89,52,60,03,00
90,48,60,03,00
91,45,60,03,00
92,41,60,03,00
93,39,60,03,00
94,38,60,04,00
95,37,60,05,00
96,37,59,07,00
97,39,59,08,00
98,40,59,10,00
99,43,59,11,00
100,46,59,12,00
101,50,58,13,00
102,54,58,13,00
103,59,58,12,00
104,64,58,11,00
105,68,57,09,00
106,72,57,08,00
107,74,57,07,00
108,75,57,06,00
109,76,57,05,00
110,76,57,05,00
111,76,57,05,00
112,76,57,05,00
113,74,57,06,00
114,72,57,06,00
115,69,57,07,00
116,65,57,07,00
117,62,58,07,00
118,59,58,07,00
119,56,58,07,00
120,51,58,07,00
121,48,58,06,00
122,47,58,05,00
123,45,58,03,00
124,43,59,01,00
125,40,59,00,00
126,38,59,00,00
127,36,59,01,00
128,23,58,09,00
129,22,57,17,00
130,35,57,20,00
131,41,57,21,00
132,48,56,22,00
133,64,57,22,00
134,66,57,23,00
135,78,57,25,00
136,82,57,28,00
137,88,58,32,00
138,87,58,35,00
139,86,58,38,00
140,88,59,42,00
141,87,59,45,00
142,84,59,47,00
143,87,60,51,00
144,77,60,52,00
145,80,60,54,00
146,76,61,55,00
147,77,61,56,00
148,71,62,57,00
149,65,62,57,00
150,66,63,56,00
151,67,63,55,00
152,57,63,53,00
153,55,64,52,00
154,44,64,52,00
155,43,64,51,00
156,45,64,49,00
