time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,05,00,00,01
1,05,00,00,01
2,04,00,00,01
3,03,00,00,01
4,02,00,00,01
5,02,00,00,01
6,01,00,00,01
7,01,00,00,01
8,01,00,00,01
9,02,00,00,01
10,03,00,00,01
11,06,00,00,01
12,08,00,00,01
13,05,00,00,01
14,04,00,00,01
15,03,00,00,01
16,03,00,00,01
17,02,00,00,01
18,82,00,00,01
19,44,00,00,01
20,07,00,00,01
21,05,00,00,02
22,04,00,00,02
23,04,00,00,02
24,06,00,00,02
25,09,00,00,02
26,12,00,00,02
27,15,00,00,02
28,19,00,00,02
29,26,10,31,02
30,35,11,36,02
31,44,12,45,02
32,47,13,55,02
33,43,15,60,02
34,26,16,60,02
35,13,16,58,02
36,08,16,57,02
37,06,16,56,02
38,06,16,55,02
39,06,17,54,02
40,05,17,53,02
41,04,17,54,02
42,03,16,55,02
43,02,16,55,02
44,02,16,56,02
45,02,16,56,02
46,02,16,56,02
47,02,16,56,02
48,02,14,18,02
49,05,12,08,02
50,08,12,08,02
51,06,12,08,02
52,05,12,08,02
53,03,12,08,02
54,03,12,09,02
55,02,12,10,02
56,21,12,11,02
57,98,15,72,02
58,14,15,72,02
59,06,14,72,02
60,03,13,69,02
61,03,12,63,02
62,04,10,53,02
63,07,09,44,02
64,09,09,42,02
65,12,09,41,02
66,15,09,42,02
67,21,09,43,02
68,29,10,46,02
69,39,11,52,02
70,45,13,60,02
71,45,14,68,02
72,33,15,69,02
73,18,15,68,02
74,09,16,67,02
75,06,16,66,02
76,05,16,66,02
77,05,16,65,02
78,05,16,65,02
79,04,16,65,02
80,03,16,66,02
81,02,16,66,02
82,02,16,67,02
83,02,16,67,02
84,02,16,67,02
85,01,16,67,02
86,02,15,69,02
87,03,12,05,02
88,07,12,05,02
89,08,12,05,02
90,05,12,05,02
91,03,12,05,02
92,02,12,05,02
93,02,11,06,02
94,07,11,06,02
95,99,14,72,02
96,22,14,72,02
97,05,14,72,02
98,04,13,71,01
99,04,12,67,01
100,05,11,58,01
101,07,09,49,01
102,09,09,44,01
103,12,08,43,01
104,15,09,43,01
105,20,09,44,01
106,27,10,47,01
107,36,11,52,01
108,43,12,59,01
109,45,13,67,01
110,38,15,70,01
111,23,15,70,01
112,12,16,68,01
113,08,16,67,01
114,06,16,67,01
115,05,16,66,01
116,05,16,65,01
117,04,16,65,01
118,03,16,66,01
119,02,16,67,01
120,01,16,67,01
121,01,16,68,01
122,01,16,68,01
123,01,16,68,01
124,00,15,69,01
125,02,12,06,01
126,06,12,06,01
127,07,12,05,01
128,04,12,05,01
129,01,12,06,01
130,01,11,07,01
131,01,11,08,01
132,02,11,08,01
133,90,14,63,01
134,32,14,65,01
135,05,14,65,01
136,03,13,65,01
137,02,12,61,01
138,03,11,54,01
139,05,09,44,01
140,07,08,36,01
141,10,08,34,01
142,14,08,34,01
143,18,08,35,01
144,25,09,38,01
145,33,10,42,01
146,41,11,50,01
147,44,12,58,01
148,39,13,62,01
149,24,14,62,01
150,12,14,61,01
151,07,15,60,01
152,05,15,59,01
153,05,15,58,01
154,04,15,58,01
155,04,15,57,01
156,03,15,58,01
157,01,15,59,01
158,01,15,59,01
159,01,15,60,01
160,00,15,60,01
161,00,15,60,01
162,01,15,60,01
163,02,12,08,01
164,06,11,03,01
165,07,11,03,01
166,04,11,03,01
167,02,11,03,01
168,01,11,03,01
169,01,11,04,01
170,02,11,05,01
171,92,13,63,01
172,32,14,65,01
173,05,13,66,01
174,03,13,66,01
175,02,12,63,01
176,03,10,57,01
177,05,09,47,01
178,08,08,40,01
179,11,08,37,01
180,14,08,37,01
181,18,08,38,01
182,25,09,41,01
183,34,10,46,01
184,42,11,53,02
185,45,12,62,02
186,40,14,66,02
187,25,14,66,02
188,12,15,65,02
189,08,15,64,02
190,06,15,63,02
191,05,15,62,02
192,05,16,61,02
193,05,16,60,02
194,05,16,60,02
195,05,16,61,02
196,03,15,61,02
197,03,16,61,02
198,03,16,60,02
199,02,16,60,02
200,93,19,99,02
201,34,17,63,02
202,08,16,62,02
203,05,16,62,02
204,05,16,62,02
205,05,16,61,02
206,06,16,60,02
207,08,16,60,02
208,11,16,60,02
209,14,17,59,02
210,20,17,60,02
211,27,17,60,02
212,38,17,63,02
213,44,18,66,02
214,44,18,67,02
215,30,17,63,02
216,14,16,58,02
217,07,16,59,02
218,05,16,59,02
219,04,15,60,02
220,04,15,60,02
221,04,15,60,02
222,03,15,61,02
223,02,15,61,02
224,03,15,61,01
225,02,15,62,01
226,02,15,62,01
227,02,15,63,01
228,02,15,63,01
229,02,15,63,01
230,03,12,06,01
231,03,11,00,01
232,04,11,01,01
233,05,11,01,01
234,07,11,01,01
235,10,11,00,01
236,08,11,00,01
237,06,11,00,01
238,05,11,01,01
239,04,10,01,01
240,04,10,00,01
241,70,11,34,01
242,61,12,49,01
243,10,11,40,01
244,07,10,31,01
245,05,09,27,01
246,05,09,27,01
247,07,09,27,01
248,09,09,26,01
249,11,09,26,01
250,14,09,26,01
251,18,10,27,01
252,24,11,28,01
253,32,12,32,01
254,40,13,38,01
255,45,14,45,01
256,43,16,50,01
257,31,17,50,01
258,17,17,49,01
259,10,17,47,01
260,08,18,46,01
261,06,18,46,01
262,05,18,45,01
263,05,18,45,01
264,04,18,46,01
265,02,17,48,01
266,02,17,49,01
267,01,17,50,01
268,01,17,51,01
269,00,17,52,01
270,00,17,53,01
271,01,14,28,01
272,03,12,05,01
273,07,12,06,01
274,06,12,06,01
275,03,12,06,01
276,01,12,07,01
277,01,12,08,01
278,01,11,09,02
279,11,11,09,02
280,96,14,69,02
281,15,14,69,02
282,03,13,69,02
283,02,12,68,02
284,02,11,62,02
285,03,10,54,02
286,05,08,44,02
287,08,08,39,02
288,11,07,38,02
289,14,07,39,02
290,19,08,40,02
