time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,73,00,00,00
1,72,00,00,00
2,71,00,00,00
3,71,00,00,00
4,74,00,00,00
5,78,00,00,00
6,81,00,00,00
7,81,00,00,00
8,87,00,00,00
9,92,00,00,00
10,98,00,00,00
11,98,00,00,00
12,94,00,00,00
13,90,00,00,00
14,86,00,00,00
15,86,00,00,00
16,83,00,00,00
17,79,00,00,00
18,76,00,00,00
19,76,00,00,00
20,69,00,00,00
21,63,00,00,00
22,56,00,00,00
23,56,00,00,00
24,50,00,00,00
25,43,00,00,00
26,37,00,00,00
27,37,00,00,00
28,31,00,00,00
29,26,71,39,00
30,21,69,45,00
31,21,67,50,00
32,17,65,56,00
33,14,63,61,00
34,10,61,66,00
35,10,59,70,00
36,09,57,73,00
37,07,54,76,00
38,06,51,77,00
39,06,49,77,00
40,04,45,76,00
41,02,42,74,00
42,00,39,72,00
43,00,36,70,00
44,00,33,67,00
45,01,30,63,00
46,01,28,59,00
47,01,25,55,00
48,02,23,50,00
49,03,20,43,00
50,04,18,37,00
51,04,16,32,00
52,07,14,27,00
53,11,13,21,00
54,14,12,15,00
55,14,11,10,00
56,28,10,08,00
57,41,11,09,00
58,55,11,16,00
59,55,12,23,00
60,62,14,31,00
61,70,15,39,00
62,77,17,48,00
63,77,19,56,00
64,83,22,63,00
65,89,24,71,00
66,95,27,78,00
67,95,30,84,00
68,95,33,89,00
69,94,36,93,00
70,94,39,96,00
71,94,42,98,00
72,95,45,99,00
73,95,49,99,00
74,96,52,99,00
75,96,55,97,00
76,92,58,95,00
77,89,61,91,00
78,85,64,87,00
79,85,66,81,00
80,79,69,75,00
81,74,71,68,00
82,69,73,60,00
83,69,75,51,00
84,69,77,42,00
85,70,79,31,00
86,70,80,23,00
87,70,81,17,00
88,69,82,15,00
89,68,82,13,00
90,67,82,12,00
91,67,82,12,00
92,68,82,13,00
93,69,82,14,00
94,70,81,14,00
95,70,81,14,00
96,68,80,14,00
97,66,79,14,00
98,64,78,13,00
99,64,77,13,00
100,67,76,12,00
101,69,75,10,00
102,72,74,08,00
103,72,74,06,00
104,81,73,03,00
105,90,73,01,00
106,99,73,03,00
107,99,73,06,00
108,93,74,07,00
109,87,74,08,00
110,81,74,08,00
111,81,74,08,00
112,78,74,08,00
113,75,75,08,00
114,73,75,07,00
115,73,75,07,00
116,65,75,08,00
117,58,74,09,00
118,50,73,12,00
119,50,73,14,00
120,45,72,17,00
121,41,71,21,00
122,36,70,25,00
123,36,69,29,00
124,31,68,33,00
125,25,66,38,00
126,20,65,43,00
127,20,63,48,00
128,16,62,53,00
129,12,60,58,00
130,09,58,62,00
131,09,56,67,00
132,07,54,70,00
133,05,51,74,00
134,03,49,76,00
135,03,46,76,00
136,02,43,74,00
137,01,39,71,00
138,00,36,68,00
139,00,33,65,00
140,00,31,63,00
141,00,28,59,00
142,01,25,55,00
143,01,23,51,00
144,01,21,46,00
145,02,18,40,00
146,03,16,34,00
147,04,14,29,00
148,04,13,25,00
149,07,11,20,00
150,11,10,15,00
151,14,09,10,00
152,14,09,07,00
153,28,08,05,00
154,41,09,08,00
155,55,10,16,00
156,55,11,24,00
157,62,12,32,00
158,70,14,40,00
159,77,16,50,00
160,77,19,57,00
161,83,21,65,00
162,89,24,72,00
163,95,27,80,00
164,95,30,85,00
165,95,33,90,00
166,94,36,94,00
167,94,39,96,00
168,94,42,98,00
169,95,45,99,00
170,95,49,99,00
171,96,52,99,00
172,96,55,97,00
173,92,58,95,00
174,89,61,91,00
175,85,64,87,00
176,85,66,81,00
177,79,69,75,00
178,74,71,68,00
179,69,73,60,00
180,69,75,51,00
181,69,77,42,00
182,70,79,31,00
183,70,80,23,00
184,70,81,17,00
185,69,82,15,00
186,68,82,13,00
187,67,82,12,00
188,67,82,12,00
189,68,82,13,00
190,69,82,14,00
191,70,81,14,00
192,70,81,14,00
193,68,80,14,00
194,66,79,14,00
195,64,78,13,00
196,64,77,13,00
197,67,76,12,00
198,69,75,10,00
199,72,74,08,00
200,72,74,06,00
201,81,73,03,00
202,90,73,01,00
203,99,73,03,00
204,99,73,06,00
205,93,74,07,00
206,87,74,08,00
207,81,74,08,00
208,81,74,08,00
209,78,74,08,00
210,75,75,08,00
211,73,75,07,00
212,73,75,07,00
213,65,75,08,00
214,58,74,09,00
215,50,73,12,00
216,50,73,14,00
217,45,72,17,00
218,41,71,21,00
219,36,70,25,00
220,36,69,29,00
221,31,68,33,00
222,25,66,38,00
223,20,65,43,00
224,20,63,48,00
225,16,62,53,00
226,12,60,58,00
227,09,58,62,00
228,09,56,67,00
229,07,54,70,00
230,05,51,74,00
231,03,49,76,00
232,03,46,76,00
233,02,43,74,00
234,01,39,71,00
235,00,36,68,00
236,00,33,65,00
237,00,31,63,00
238,00,28,59,00
239,01,26,55,00
240,01,23,51,00
241,01,21,46,00
242,02,18,40,00
243,04,16,34,00
244,06,15,29,00
245,06,13,24,00
246,11,12,19,00
247,16,11,14,00
248,21,10,11,00
249,21,10,08,00
250,33,10,07,00
251,44,10,11,00
252,56,11,19,00
253,56,12,26,00
254,61,14,33,00
255,65,15,40,00
256,70,17,47,00
257,70,19,53,00
258,78,21,60,00
259,85,24,67,00
260,93,27,74,00
261,93,30,80,00
262,92,33,84,00
263,91,36,87,00
264,90,39,89,00
265,90,42,90,00
266,89,45,91,00
267,89,48,90,00
268,88,51,89,00
269,88,54,87,00
270,86,57,84,00
271,84,59,80,00
272,82,62,75,00
273,82,65,70,00
274,78,67,64,00
275,74,69,56,00
276,70,71,48,00
277,70,73,41,00
278,69,75,33,00
279,69,76,24,00
280,69,77,17,00
281,69,78,12,00
282,66,78,11,00
283,64,79,09,00
284,62,79,09,00
285,62,79,09,00
286,63,78,10,00
287,65,78,11,00
288,67,78,11,00
289,67,77,12,00
290,66,76,11,00
291,64,75,10,00
292,63,74,09,00
293,63,74,09,00
294,65,73,08,00
295,67,72,06,00
296,70,71,04,00
297,70,71,02,00
298,78,70,00,00
299,86,70,00,00
