time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,33,00,00,00
1,33,00,00,00
2,34,00,00,00
3,35,00,00,00
4,35,00,00,00
5,36,00,00,00
6,36,00,00,00
7,36,00,00,00
8,37,00,00,00
9,37,00,00,00
10,35,00,00,00
11,35,00,00,00
12,35,00,00,00
13,34,00,00,00
14,34,00,00,00
15,34,00,00,00
16,34,00,00,00
17,34,00,00,00
18,34,00,00,00
19,34,00,00,00
20,34,00,00,00
21,34,00,00,00
22,34,00,00,00
23,34,00,00,00
24,34,00,00,00
25,34,00,00,00
26,34,00,00,00
27,34,00,00,00
28,34,00,00,00
29,35,34,00,00
30,38,35,00,00
31,43,35,04,00
32,54,36,11,00
33,68,37,23,00
34,84,38,38,00
35,95,40,53,00
36,99,42,65,00
37,94,44,73,00
38,81,46,77,00
39,63,47,77,00
40,47,47,77,00
41,33,47,77,00
42,24,47,78,00
43,20,46,80,00
44,20,46,81,00
45,21,45,82,00
46,23,45,83,00
47,24,45,84,00
48,25,44,85,00
49,25,44,86,00
50,25,44,86,00
51,25,44,87,00
52,24,43,88,00
53,23,43,89,00
54,22,42,89,00
55,21,42,90,00
56,20,42,91,00
57,20,41,92,00
58,19,41,93,00
59,18,40,95,00
60,16,39,96,00
61,15,38,97,00
62,14,37,98,00
63,13,35,97,00
64,12,33,92,00
65,10,30,83,00
66,09,27,69,00
67,07,24,53,00
68,05,21,38,00
69,04,19,28,00
70,02,18,24,00
71,02,17,24,00
72,02,16,25,00
73,03,16,27,00
74,05,15,27,00
75,08,15,27,00
76,11,14,27,00
77,15,14,26,00
78,19,14,25,00
79,22,14,25,00
80,25,14,25,00
81,27,14,25,00
82,29,14,26,00
83,30,14,28,00
84,30,14,29,00
85,31,15,31,00
86,31,15,32,00
87,31,15,34,00
88,31,16,35,00
89,30,16,36,00
90,30,17,37,00
91,30,17,38,00
92,30,18,39,00
93,29,18,39,00
94,29,19,40,00
95,28,19,40,00
96,28,20,39,00
97,28,21,39,00
98,28,22,37,00
99,28,22,36,00
100,28,23,33,00
101,28,24,30,00
102,28,25,27,00
103,28,26,22,00
104,29,27,18,00
105,29,27,14,00
106,29,28,10,00
107,30,28,06,00
108,30,29,03,00
109,30,29,01,00
110,30,29,01,00
111,31,29,01,00
112,31,29,01,00
113,31,29,01,00
114,31,29,01,00
115,31,29,01,00
116,31,29,01,00
117,31,29,01,00
118,32,29,02,00
119,33,30,02,00
120,34,30,03,00
121,34,30,04,00
122,35,30,04,00
123,35,30,05,00
124,35,30,06,00
125,35,31,06,00
126,35,31,06,00
127,34,31,06,00
128,33,31,06,00
129,33,31,06,00
130,32,32,05,00
131,32,32,05,00
132,32,32,04,00
133,32,32,04,00
134,32,32,03,00
135,32,32,03,00
136,32,32,03,00
137,32,32,03,00
138,32,32,02,00
139,32,33,02,00
140,32,33,02,00
141,32,33,02,00
142,32,33,02,00
143,32,33,02,00
144,32,33,01,00
145,32,33,01,00
146,34,33,01,00
147,38,33,02,00
148,46,33,07,00
149,59,34,17,00
150,75,36,31,00
151,88,38,46,00
