time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,99,00,00,00
1,99,00,00,00
2,99,00,00,00
3,99,00,00,00
4,99,00,00,00
5,99,00,00,00
6,99,00,00,00
7,99,00,00,00
8,99,00,00,00
9,99,00,00,00
10,99,00,00,00
11,99,00,00,00
12,99,00,00,00
13,99,00,00,00
14,99,00,00,00
15,99,00,00,00
16,99,00,00,00
17,99,00,00,00
18,99,00,00,00
19,99,00,00,00
20,99,00,00,00
21,99,00,00,00
22,99,00,00,00
23,99,00,00,00
24,99,00,00,00
25,99,00,00,00
26,99,00,00,00
27,99,00,00,00
28,99,00,00,00
29,99,99,00,00
30,99,99,00,00
31,99,99,00,00
32,99,99,00,00
33,99,99,00,00
34,99,99,00,00
35,99,99,00,00
36,99,99,00,00
37,99,99,00,00
38,99,99,00,00
39,99,99,00,00
40,99,99,00,00
41,99,99,00,00
42,99,99,00,00
43,99,99,00,00
44,99,99,00,00
45,99,99,00,00
46,99,99,00,00
47,99,99,00,00
48,99,99,00,00
49,99,99,00,00
50,99,99,00,00
51,99,99,00,00
52,99,99,00,00
53,99,99,00,00
54,99,99,00,00
55,99,99,00,00
56,99,99,00,00
57,99,99,00,00
58,99,99,00,00
59,99,99,00,00
60,99,99,00,00
61,99,99,00,00
62,99,99,00,00
63,99,99,00,00
64,99,99,00,00
65,99,99,00,00
66,99,99,00,00
67,99,99,00,00
68,99,99,00,00
69,99,99,00,00
70,99,99,00,00
71,99,99,00,00
72,99,99,00,00
73,99,99,00,00
74,99,99,00,00
75,99,99,00,00
76,99,99,00,00
77,99,99,00,00
78,99,99,00,00
79,99,99,00,00
80,99,99,00,00
81,99,99,00,00
82,99,99,00,00
83,99,99,00,00
84,99,99,00,00
85,99,99,00,00
86,99,99,00,00
87,99,99,00,00
88,99,99,00,00
89,99,99,00,00
90,99,99,00,00
91,99,99,00,00
92,99,99,00,00
93,99,99,00,00
94,99,99,00,00
95,99,99,00,00
96,99,99,00,00
97,99,99,00,00
98,99,99,00,00
99,99,99,00,00
100,99,99,00,00
101,99,99,00,00
102,99,99,00,00
103,99,99,00,00
104,12,96,36,00
105,12,93,49,00
106,12,90,59,00
107,12,87,67,00
108,12,85,74,00
109,12,82,79,00
110,12,79,84,00
111,12,76,88,00
112,12,73,91,00
113,12,70,93,00
114,12,67,95,00
115,12,64,97,00
116,12,61,98,00
117,12,59,99,00
118,12,56,99,00
119,12,53,99,00
120,12,50,98,00
121,12,47,97,00
122,12,44,95,00
123,12,41,93,00
124,12,38,91,00
125,12,35,88,00
126,12,33,84,00
127,12,30,79,00
128,12,27,74,00
129,12,24,67,00
130,12,21,59,00
131,12,18,49,00
132,12,15,36,00
133,12,12,00,00
134,12,12,00,00
135,12,12,00,00
136,12,12,00,00
137,12,12,00,00
138,12,12,00,00
139,12,12,00,00
140,12,12,00,00
141,12,12,00,00
142,12,12,00,00
143,12,12,00,00
144,12,12,00,00
145,12,12,00,00
146,12,12,00,00
147,12,12,00,00
148,12,12,00,00
149,12,12,00,00
150,12,12,00,00
151,12,12,00,00
152,12,12,00,00
153,12,12,00,00
154,12,12,00,00
155,12,12,00,00
156,12,12,00,00
157,12,12,00,00
158,12,12,00,00
159,12,12,00,00
160,12,12,00,00
161,12,12,00,00
162,12,12,00,00
163,12,12,00,00
164,12,12,00,00
165,12,12,00,00
166,12,12,00,00
167,12,12,00,00
168,12,12,00,00
169,12,12,00,00
170,12,12,00,00
171,12,12,00,00
172,12,12,00,00
173,12,12,00,00
174,12,12,00,00
175,12,12,00,00
176,12,12,00,00
177,12,12,00,00
178,12,12,00,00
179,12,12,00,00
180,12,12,00,00
181,12,12,00,00
182,12,12,00,00
183,12,12,00,00
184,12,12,00,00
185,12,12,00,00
186,12,12,00,00
187,12,12,00,00
188,12,12,00,00
189,12,12,00,00
190,12,12,00,00
191,12,12,00,00
192,12,12,00,00
193,12,12,00,00
194,12,12,00,00
195,12,12,00,00
196,12,12,00,00
197,12,12,00,00
198,12,12,00,00
199,12,12,00,00
200,12,12,00,00
201,12,12,00,00
202,12,12,00,00
203,12,12,00,00
204,12,12,00,00
205,00,12,05,00
206,00,12,07,00
207,00,11,09,00
208,00,11,10,00
209,00,10,11,00
210,00,10,11,00
211,00,10,12,00
212,00,09,13,00
213,00,09,13,00
214,00,08,13,00
215,00,08,14,00
216,00,07,14,00
217,00,07,14,00
218,00,07,14,00
219,00,06,14,00
220,00,06,14,00
221,00,05,14,00
222,00,05,14,00
223,00,05,14,00
224,00,04,13,00
225,00,04,13,00
226,00,03,13,00
227,00,03,12,00
228,00,02,11,00
229,00,02,11,00
230,00,02,10,00
231,00,01,09,00
232,00,01,07,00
233,00,00,05,00
234,00,00,00,00
235,00,00,00,00
236,00,00,00,00
237,00,00,00,00
238,00,00,00,00
239,00,00,00,00
240,00,00,00,00
241,00,00,00,00
242,00,00,00,00
243,00,00,00,00
244,00,00,00,00
245,00,00,00,00
246,00,00,00,00
247,00,00,00,00
248,00,00,00,00
249,00,00,00,00
250,00,00,00,00
251,00,00,00,00
252,00,00,00,00
253,00,00,00,00
254,00,00,00,00
255,00,00,00,00
256,00,00,00,00
257,00,00,00,00
258,00,00,00,00
259,00,00,00,00
260,00,00,00,00
261,00,00,00,00
262,00,00,00,00
263,00,00,00,00
264,00,00,00,00
265,00,00,00,00
266,00,00,00,00
267,00,00,00,00
268,00,00,00,00
269,00,00,00,00
270,00,00,00,00
271,00,00,00,00
272,00,00,00,00
273,00,00,00,00
274,00,00,00,00
275,00,00,00,00
276,00,00,00,00
277,00,00,00,00
278,00,00,00,00
279,00,00,00,00
280,00,00,00,00
281,00,00,00,00
282,00,00,00,00
283,00,00,00,00
284,00,00,00,00
285,00,00,00,00
286,00,00,00,00
287,00,00,00,00
288,00,00,00,00
289,00,00,00,00
290,00,00,00,00
291,00,00,00,00
292,00,00,00,00
293,00,00,00,00
294,00,00,00,00
295,00,00,00,00
296,00,00,00,00
297,00,00,00,00
298,00,00,00,00
299,00,00,00,00
