time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,06,00,00,00
1,05,00,00,00
2,05,00,00,00
3,05,00,00,00
4,05,00,00,00
5,05,00,00,00
6,05,00,00,00
7,05,00,00,00
8,04,00,00,00
9,04,00,00,00
10,04,00,00,00
11,04,00,00,00
12,04,00,00,00
13,03,00,00,00
14,03,00,00,00
15,03,00,00,00
16,03,00,00,00
17,03,00,00,00
18,02,00,00,00
19,02,00,00,00
20,02,00,00,00
21,02,00,00,00
22,02,00,00,00
23,01,00,00,00
24,01,00,00,00
25,01,00,00,00
26,01,00,00,00
27,00,00,00,00
28,00,00,00,00
29,00,03,02,00
30,00,03,02,00
31,00,03,02,00
32,00,02,02,00
33,01,02,01,00
34,01,02,01,00
35,02,02,01,00
36,04,02,01,00
37,05,02,01,00
38,08,02,02,00
39,10,02,03,00
40,13,03,05,00
41,16,03,08,00
42,20,04,11,00
43,24,04,15,00
44,29,05,19,00
45,34,06,23,00
46,39,07,28,00
47,43,09,33,00
48,49,10,39,00
49,54,12,44,00
50,59,14,50,00
51,64,16,56,00
52,69,18,61,00
53,74,21,67,00
54,78,23,72,00
55,82,26,78,00
56,86,29,82,00
57,90,32,87,00
58,93,35,90,00
59,95,38,94,00
60,97,41,96,00
61,98,45,98,00
62,99,48,99,00
63,99,51,99,00
64,98,54,98,00
65,97,58,97,00
66,95,61,94,00
67,93,64,91,00
68,90,66,86,00
69,87,69,81,00
70,83,71,76,00
71,79,73,70,00
72,75,75,64,00
73,71,77,58,00
74,67,78,53,00
75,63,79,48,00
76,59,80,45,00
77,56,80,42,00
78,53,80,42,00
79,50,80,42,00
80,47,80,44,00
81,45,79,47,00
82,43,78,50,00
83,41,77,54,00
84,40,76,57,00
85,39,74,60,00
86,38,73,62,00
87,38,71,64,00
88,37,69,65,00
89,37,67,66,00
90,37,65,65,00
91,37,63,65,00
92,37,61,63,00
93,38,59,61,00
94,38,57,58,00
95,38,55,54,00
96,38,53,51,00
97,39,51,47,00
98,39,50,42,00
99,39,48,38,00
100,39,47,33,00
101,39,45,29,00
102,39,44,25,00
103,39,43,21,00
104,38,42,17,00
105,38,41,14,00
