time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,54,00,00,00
1,54,00,00,00
2,54,00,00,00
3,54,00,00,00
4,54,00,00,00
5,54,00,00,00
6,54,00,00,01
7,54,00,00,01
8,54,00,00,01
9,54,00,00,01
10,54,00,00,01
11,54,00,00,01
12,54,00,00,01
13,54,00,00,01
14,54,00,00,01
15,54,00,00,01
16,54,00,00,01
17,54,00,00,01
18,54,00,00,01
19,54,00,00,01
20,54,00,00,01
21,54,00,00,01
22,54,00,00,01
23,54,00,00,01
24,54,00,00,01
25,54,00,00,01
26,54,00,00,01
27,54,00,00,01
28,54,00,00,01
29,54,54,00,01
30,54,54,00,01
31,54,54,00,01
32,54,54,00,01
33,54,54,00,01
34,53,54,00,01
35,53,54,00,01
36,53,54,00,01
37,54,54,00,01
38,54,54,00,01
39,54,54,00,01
40,54,54,00,01
41,53,54,00,01
42,53,54,01,01
43,53,54,01,01
44,52,54,01,01
45,52,54,01,01
46,49,53,03,01
47,45,53,06,01
48,42,53,09,01
49,41,52,12,01
50,39,52,15,01
51,32,51,20,01
52,38,51,21,01
53,49,50,21,01
54,61,51,22,01
55,66,51,24,01
56,67,51,26,01
57,65,52,28,01
58,49,52,28,01
59,28,51,32,01
60,14,50,40,01
61,16,48,46,01
62,27,47,48,01
63,42,47,48,01
64,52,47,48,01
65,62,47,48,01
66,66,48,50,01
67,62,48,51,01
68,57,48,51,01
69,53,48,51,01
70,54,48,51,01
71,53,48,51,01
72,52,48,51,01
73,53,48,51,01
74,53,48,51,01
75,53,48,51,01
76,53,48,51,01
77,53,48,51,01
78,52,49,51,01
79,50,49,51,01
80,46,49,50,01
81,44,50,49,01
82,31,49,50,01
83,20,48,54,01
84,04,47,60,01
85,18,45,62,01
86,47,44,60,01
87,69,44,61,01
88,64,45,62,01
89,37,45,61,01
90,16,45,61,01
91,10,45,63,01
92,25,45,63,01
93,46,45,63,01
94,68,46,64,01
95,76,46,67,01
96,73,46,68,01
97,62,46,68,01
98,52,46,68,01
99,53,46,68,01
100,53,46,68,01
101,53,46,68,01
102,53,46,68,01
103,53,46,68,01
104,52,46,68,01
105,50,46,68,01
106,42,46,67,01
107,30,45,68,01
108,16,44,71,01
109,14,43,73,01
110,49,43,73,01
111,84,44,78,01
112,99,46,86,01
113,68,48,85,01
114,32,49,81,01
115,17,49,81,01
116,21,48,83,01
117,46,47,81,01
118,64,47,81,01
119,68,48,82,01
120,61,50,79,01
121,52,51,74,01
122,52,52,72,01
123,53,52,72,01
124,54,52,71,01
125,53,51,69,01
126,53,50,68,01
127,53,50,67,01
128,52,50,67,01
129,48,50,67,01
130,41,49,67,01
131,28,49,69,01
132,16,47,72,01
133,05,46,77,01
134,08,44,81,01
135,44,44,81,01
136,79,45,84,01
137,98,48,91,01
138,77,50,90,01
139,45,51,86,01
140,20,50,89,01
141,06,47,90,01
142,17,44,85,01
143,34,43,83,01
144,61,44,84,01
145,67,46,83,01
146,66,47,82,01
147,55,48,83,01
148,52,47,82,01
149,54,47,81,01
150,53,47,80,01
151,53,47,80,01
152,52,47,80,01
153,53,47,80,01
154,45,46,80,01
155,27,45,81,01
156,13,44,84,01
157,00,42,88,01
158,09,41,91,01
159,09,39,93,01
160,09,38,95,01
161,09,38,97,01
162,09,38,98,01
163,09,38,98,01
164,08,38,98,01
165,11,37,99,01
166,31,35,95,01
167,49,33,85,01
168,70,33,83,01
169,69,34,86,01
170,67,35,89,01
171,54,37,87,01
172,52,38,86,01
173,53,39,87,01
174,53,39,86,01
175,53,38,84,01
176,53,38,83,01
177,53,38,83,01
178,52,38,83,01
179,50,38,82,01
180,42,37,82,01
181,31,36,81,01
182,16,35,82,01
183,08,34,83,01
184,06,32,84,01
185,40,33,84,01
186,68,35,86,01
187,70,37,86,01
188,39,38,84,01
189,08,38,84,01
190,10,38,84,01
191,23,39,82,01
192,45,40,79,01
193,68,42,78,01
194,77,44,78,01
195,71,46,77,01
196,59,47,76,01
197,51,47,76,01
198,53,46,75,01
199,52,46,73,01
200,49,45,72,01
201,41,45,72,01
202,30,44,72,01
203,18,43,74,01
204,08,41,77,01
205,05,40,81,01
206,39,39,80,01
207,75,40,83,01
208,97,42,91,01
209,77,42,94,01
210,43,43,94,01
211,19,42,95,01
212,05,42,97,01
213,09,42,96,01
214,31,43,93,01
215,50,43,94,01
216,59,43,93,01
217,54,42,91,01
218,51,42,91,01
219,53,44,88,01
220,53,45,85,01
221,54,46,84,01
222,53,47,84,01
223,54,46,83,01
224,50,45,80,01
225,48,45,78,01
226,34,44,78,01
227,21,43,79,01
228,05,41,83,01
229,17,40,84,01
230,59,40,85,01
231,89,42,91,01
232,95,44,97,01
233,58,45,96,01
234,31,46,93,01
235,10,46,92,01
236,09,45,95,01
237,21,44,94,01
238,48,42,87,01
239,65,42,85,01
240,68,42,87,01
241,57,44,86,01
242,52,45,82,01
243,53,47,78,01
244,53,47,77,01
